# name: Antlia B
# kind: filter
# channel: blue
# manufacturer: Antlia Pro Series
# source: https://gitlab.com/free-astro/siril-spcc-database/-/blob/main/mono_filters/Antlia_LRGB-V_Pro.json
# origin: Scanned from Transmission Chart
# license: GPL-3.0-or-later
wavelength_nm,value
412.12,0.0160247
416.76,0.0160247
421.63,0.459616
424.28,2.52774
425.2,5.8596
426.04,7.35894
426.46,10.3939
426.89,18.3156
427.07,13.1751
427.4,16.4361
427.73,25.8508
427.82,20.0072
427.87,22.3651
428.31,24.1977
428.36,26.8503
428.67,29.0925
428.78,31.0792
429.05,32.9246
429.21,35.1544
429.51,37.5379
429.56,39.8446
429.84,41.9783
429.98,44.2017
430.26,46.3417
430.4,48.5074
430.68,50.624
430.89,52.9542
431.1,55.1236
431.31,57.2216
431.53,59.6436
431.74,61.8349
431.95,65.5153
432,63.4496
432.37,67.6304
432.58,69.9083
432.79,72.2822
433,74.5985
433.31,77.0419
433.42,79.481
433.69,81.8453
433.85,84.4916
434.36,87.406
434.76,90.2198
435.8,92.4368
439.12,94.2961
443.76,94.6526
448.4,94.5128
453.04,94.5547
457.68,94.5897
462.32,94.5058
466.96,94.6386
471.6,94.5687
476.24,94.6246
480.88,94.5338
485.52,94.4149
490.16,94.4918
494.8,94.6344
499.44,94.5408
503.23,91.714
503.4,93.8524
503.66,89.8354
504.08,87.7465
504.2,85.341
504.58,80.2268
504.8,82.6609
505.13,75.6365
505.22,77.9597
505.34,73.9834
505.62,69.464
505.69,71.6767
505.85,64.1416
505.98,67.7169
506.4,60.1049
506.47,58.1058
506.54,62.1937
506.82,56.3758
506.89,51.2498
507.11,46.7646
507.31,49.0457
507.66,42.3051
507.73,40.4725
507.75,44.6337
508.08,36.5768
508.13,38.4298
508.3,34.8929
508.58,30.4257
508.65,32.6042
508.93,28.5419
509,26.594
509.39,24.5898
509.42,22.5445
509.77,20.7377
509.98,19.0606
510.4,16.4991
510.83,13.9483
511.19,11.6702
512.09,8.791
512.51,6.59774
513.72,4.57445
515.41,2.5822
519.12,0.789127
523.9,0.358531
528.54,0.120874
531.5,0.0929138
