# name: Antlia G
# kind: filter
# channel: green
# manufacturer: Antlia Pro Series
# source: https://gitlab.com/free-astro/siril-spcc-database/-/blob/main/mono_filters/Antlia_LRGB-V_Pro.json
# origin: Scanned from Transmission Chart
# license: GPL-3.0-or-later
wavelength_nm,value
480.74,0.571335
484.67,1.3146
487.21,3.34423
487.96,5.25986
488.72,7.39738
489.37,9.92374
489.65,12.1953
489.74,15.8552
490.07,14.1175
490.46,17.2282
490.79,19.7189
490.86,21.8115
491.21,23.967
491.28,25.902
491.42,28.1575
491.7,32.0019
491.76,29.5568
491.99,34.1035
492.06,39.9984
492.15,37.7137
492.48,43.1508
492.6,41.2778
492.63,45.3587
492.9,49.0329
492.99,51.3121
493.11,53.8025
493.32,56.9524
493.41,59.2695
493.74,63.3342
493.83,65.6794
494.17,69.8698
494.26,72.204
494.38,74.7523
494.59,76.1363
494.68,78.443
495.01,84.3891
495.08,80.9803
495.22,86.5163
495.43,87.6889
495.64,89.872
495.99,92.4368
498.05,94.3051
502.94,94.5051
507.45,94.6666
512.09,94.7085
516.73,95.086
521.37,94.8413
526.01,94.6106
530.65,94.4149
535.29,94.4499
539.93,94.5128
544.57,94.7994
549.21,94.9741
553.85,94.7225
557.65,93.8537
558.91,91.9139
559.41,89.5406
559.88,86.8568
560.26,82.1798
560.43,84.1328
560.69,78.5198
560.81,80.2883
561.14,75.9605
561.53,71.1692
561.7,73.399
561.87,69.5238
561.95,65.9869
562.08,67.8323
562.29,64.2954
562.37,60.7585
562.5,62.6807
562.79,56.3604
562.92,58.6141
563.22,50.0247
563.34,53.9153
563.64,45.0423
563.85,47.3138
564.06,41.1363
564.19,42.9971
564.54,35.5644
564.61,36.9613
564.65,38.8297
564.9,31.6636
564.99,33.6012
565.45,28.8847
565.87,25.6297
566.17,22.8279
566.67,20.6531
566.72,18.777
567.21,16.6113
567.63,14.0996
568.33,11.7032
568.83,9.72328
569.46,7.99712
570.23,6.01338
571.57,4.10396
574.05,2.16038
578.32,0.889765
582.75,0.646516
