# name: Antlia L
# kind: filter
# channel: lum
# manufacturer: Antlia Pro Series
# source: https://gitlab.com/free-astro/siril-spcc-database/-/blob/main/mono_filters/Antlia_LRGB-V_Pro.json
# origin: Scanned from Transmission Chart
# license: GPL-3.0-or-later
wavelength_nm,value
366.14,0.40047
370.78,0.379501
375.42,0.40047
380.06,0.40047
384.7,0.40047
389.34,0.40047
393.98,0.40047
396.94,0
398.62,0.40047
403.26,0.40047
407.9,0.40047
412.54,0.40047
417.18,0.45639
421.21,1.42566
422.67,3.47604
423.3,5.26371
423.86,7.30768
424.43,9.74507
424.52,12.0722
425.2,20.6223
425.71,18.8282
426.04,22.5061
426.18,24.6718
426.46,26.9368
426.6,29.1314
426.77,31.2286
427.03,33.3603
427.31,35.6638
427.52,38.0377
427.73,40.4934
427.94,42.6126
428.15,44.5156
428.36,46.8031
428.57,51.6855
428.85,53.4284
429.21,55.5492
429.28,57.6316
429.63,59.7589
429.84,64.0391
430.26,72.5994
430.54,68.2423
430.68,70.5426
430.98,74.0054
431.39,77.9304
431.67,79.9039
431.83,82.004
432.25,84.9676
432.72,87.644
433.28,90.1814
433.63,92.4917
434.48,94.8588
436.17,96.8524
440.12,97.6061
441.68,96.257
446.29,98.0916
450.93,97.0991
455.57,96.5399
460.21,98.1196
464.22,97.2327
468.22,96.3162
472.86,98.2174
476.87,97.4057
480.88,96.5049
485.52,98.1895
489.53,97.5499
493.53,96.3372
497.75,97.7165
501.97,98.0986
506.61,96.8125
511.25,97.4625
515.89,98.0008
520.53,97.155
525.17,97.6513
529.81,98.1965
534.45,97.12
539.09,97.0362
543.73,98.2105
548.37,98.2314
553.01,97.4346
557.65,97.9029
562.29,98.6648
566.93,98.0147
571.57,97.0641
576.21,97.5464
580.85,98.518
585.49,98.2454
590.13,97.2948
594.77,97.2039
599.41,98.1965
604.05,98.7487
608.69,98.1825
613.33,97.4066
617.97,97.5534
622.61,98.1476
627.25,98.504
631.89,98.2594
636.53,97.8749
641.17,97.847
645.81,98.0986
650.45,98.3363
655.09,97.9868
659.73,98.0287
664.37,97.7351
669.01,97.9798
673.65,97.847
678.29,97.7701
682.93,97.9938
687.57,97.176
692.21,96.2603
694.74,94.1027
695.72,91.937
696.09,89.8687
696.73,87.5378
697.18,85.1323
697.48,82.7552
697.77,79.0581
697.9,80.8265
698.2,75.4597
698.32,77.2512
698.83,73.0827
698.96,70.7079
699.03,68.268
699.46,63.2189
699.68,65.6794
699.88,59.4052
700.14,61.4146
700.31,54.0054
700.43,57.4907
700.73,49.9632
700.98,51.9623
701.28,48.2255
701.57,41.2389
701.7,43.1124
701.99,36.5076
702.21,38.8341
702.51,34.0669
702.84,29.6337
702.92,31.6544
703.38,27.1771
703.68,24.5129
704.1,20.976
704.23,22.7752
704.51,18.9051
705.28,16.2589
705.63,13.6767
706.34,11.7801
706.9,9.80658
707.74,7.79464
708.73,5.69301
710.45,3.63943
713.93,1.68452
718.36,0.694047
723,0.47736
727.64,0.40047
732.28,0.40047
736.92,0.40047
741.56,0.40047
746.2,0.40047
750.84,0.40047
755.48,0.386491
760.12,0.372511
764.76,0.393481
769.4,0.40047
774.04,0.40047
778.68,0.40047
783.32,0.40047
787.96,0.40047
790.49,0.40047
