# name: Antlia R
# kind: filter
# channel: red
# manufacturer: Antlia Pro Series
# source: https://gitlab.com/free-astro/siril-spcc-database/-/blob/main/mono_filters/Antlia_LRGB-V_Pro.json
# origin: Scanned from Transmission Chart
# license: GPL-3.0-or-later
wavelength_nm,value
584.64,0.323581
589.28,0.323581
593.92,0.386491
598.56,0.40047
603.2,0.42144
607.84,0.680067
611.7,1.78448
613.93,3.51997
615.01,5.4444
615.61,7.38201
616.28,8.83265
616.76,10.8362
616.91,12.9334
617.4,15.1504
617.85,17.9641
618.18,20.0456
618.27,21.6768
618.53,24.1336
618.69,26.0485
619.02,30.8742
619.23,32.6939
619.44,34.2125
619.53,36.5494
619.87,40.3059
619.94,42.4076
620.08,45.7907
620.29,47.226
620.38,49.5766
620.71,53.8384
620.8,56.189
621.13,60.3356
621.22,62.6917
621.34,65.0642
621.55,67.986
621.62,70.0877
621.76,73.4708
621.97,80.0576
622.06,82.3533
622.19,86.5419
622.4,89.8994
622.49,92.2391
624.29,95.3306
628.93,95.5892
633.57,95.5962
638.21,95.8688
642.85,95.9108
647.49,95.8199
652.13,95.8968
656.77,95.9108
661.41,95.6591
666.05,95.9457
670.69,95.9317
675.33,95.5753
679.97,95.5822
683.98,95.0798
686.24,92.7334
686.89,90.4069
687.63,88.0651
687.78,85.882
688.33,83.9021
688.49,81.5493
688.83,79.9807
689.04,78.2123
689.42,74.2602
689.53,72.83
689.76,69.0471
689.89,70.9463
690.1,67.4222
690.18,63.6956
690.31,65.564
690.52,61.9887
690.6,58.3288
690.73,60.1818
690.94,56.6064
691.03,53.008
691.15,54.8764
691.36,51.4292
691.45,47.7949
691.57,49.6864
691.78,46.252
691.87,42.6741
692,44.5348
692.21,41.1261
692.42,39.4602
692.71,33.5551
692.88,35.5081
693.05,31.7456
693.13,30.0489
693.68,27.568
694.19,22.8411
694.4,20.0995
694.88,18.0964
695.24,15.9936
695.75,13.9483
696.17,11.6878
696.99,9.52465
697.48,7.72416
698.53,5.96212
699.98,3.86048
702.96,2.03436
706.97,0.875785
711.61,0.498329
716.25,0.379501
