# name: Astronomik Deep Sky RGB Blue
# kind: filter
# channel: blue
# manufacturer: Astronomik
# source: https://gitlab.com/free-astro/siril-spcc-database/-/blob/main/mono_filters/Astronomik_DeepSky_RGB.json
# origin: OEM tabulated data
# license: GPL-3.0-or-later
wavelength_nm,value
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0.01
413,0.01
414,0.02
415,0.04
416,0.08
417,0.18
418,0.45
419,1.03
420,2.01
421,3.48
422,6.14
423,12.36
424,26.46
425,49.61
426,73.55
427,88.35
428,93.9
429,95.52
430,95.96
431,95.83
432,95.7
433,95.67
434,95.62
435,95.47
436,95.35
437,95.34
438,95.44
439,95.58
440,95.83
441,96.12
442,96.45
443,96.39
444,96.35
445,96.37
446,96.52
447,96.76
448,96.91
449,96.96
450,96.81
451,96.49
452,96.06
453,95.4
454,94.79
455,94.41
456,94.48
457,95.13
458,96.02
459,96.77
460,97.1
461,96.98
462,96.57
463,96.23
464,96.15
465,96.23
466,96.41
467,96.54
468,96.59
469,96.73
470,96.88
471,96.98
472,96.94
473,96.69
474,96.36
475,96.02
476,95.85
477,95.77
478,95.89
479,96.14
480,96.37
481,96.63
482,96.88
483,97.18
484,97.4
485,97.45
486,97.29
487,96.99
488,96.66
489,96.53
490,96.54
491,96.67
492,96.75
493,96.71
494,96.58
495,96.33
496,96.3
497,96.32
498,96.42
499,96.41
500,96.17
501,95.65
502,95.05
503,94.4
504,93.95
505,93.75
506,93.75
507,94.08
508,94.81
509,94.94
510,89.76
511,73.63
512,49.36
513,27.03
514,12.86
515,5.9
516,2.8
517,1.42
518,0.76
519,0.42
520,0.25
521,0.15
522,0.09
523,0.06
524,0.03
525,0.02
526,0.01
527,0.01
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0.01
664,0.02
665,0.02
666,0.02
667,0.02
668,0.02
669,0.01
670,0.01
671,0.01
672,0.01
673,0.01
674,0.01
675,0.01
676,0.01
677,0.01
678,0.01
679,0.01
680,0.01
681,0.01
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0.01
757,0.01
758,0.01
759,0.01
760,0.01
761,0.02
762,0.02
763,0.02
764,0.02
765,0.03
766,0.03
767,0.03
768,0.03
769,0.03
770,0.03
771,0.04
772,0.04
773,0.04
774,0.04
775,0.04
776,0.04
777,0.04
778,0.03
779,0.03
780,0.03
781,0.02
782,0.02
783,0.01
784,0.01
785,0.01
786,0.01
787,0.01
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0
