# name: Astronomik Deep Sky RGB Green
# kind: filter
# channel: green
# manufacturer: Astronomik
# source: https://gitlab.com/free-astro/siril-spcc-database/-/blob/main/mono_filters/Astronomik_DeepSky_RGB.json
# origin: OEM tabulated data
# license: GPL-3.0-or-later
wavelength_nm,value
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0.01
469,0.01
470,0.01
471,0.01
472,0.02
473,0.02
474,0.02
475,0.03
476,0.03
477,0.04
478,0.05
479,0.07
480,0.09
481,0.13
482,0.18
483,0.26
484,0.37
485,0.53
486,0.76
487,1.11
488,1.66
489,2.55
490,4.03
491,6.6
492,11.13
493,19.03
494,31.39
495,47.95
496,65.74
497,80.88
498,90.42
499,95.08
500,96.78
501,97.01
502,97.17
503,97.18
504,97.45
505,97.63
506,97.8
507,97.88
508,98.07
509,97.99
510,97.85
511,97.62
512,97.37
513,96.99
514,96.69
515,96.42
516,96.03
517,95.73
518,95.44
519,95.16
520,94.98
521,94.89
522,94.66
523,94.78
524,94.94
525,95.09
526,95.39
527,95.87
528,96.65
529,97.08
530,97.52
531,97.97
532,98.29
533,98.33
534,98.35
535,98.4
536,98.38
537,98.34
538,98.16
539,97.82
540,97.54
541,97.46
542,97.34
543,97.29
544,97.39
545,97.6
546,97.86
547,98.15
548,98.47
549,98.76
550,98.67
551,98.62
552,98.44
553,98.33
554,98.27
555,98.27
556,98.27
557,98.36
558,98.5
559,98.66
560,98.68
561,98.61
562,98.42
563,98.42
564,98.22
565,98.22
566,98.17
567,97.78
568,95.24
569,87.23
570,71.95
571,51.61
572,32.33
573,18.51
574,10.3
575,5.86
576,3.45
577,2.13
578,1.37
579,0.92
580,0.65
581,0.46
582,0.35
583,0.26
584,0.2
585,0.15
586,0.11
587,0.08
588,0.06
589,0.04
590,0.03
591,0.02
592,0.01
593,0.01
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0.01
732,0.01
733,0.01
734,0.02
735,0.02
736,0.02
737,0.02
738,0.02
739,0.02
740,0.02
741,0.02
742,0.02
743,0.01
744,0.01
745,0.01
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0
