# name: Astronomik Deep Sky RGB Red
# kind: filter
# channel: red
# manufacturer: Astronomik
# source: https://gitlab.com/free-astro/siril-spcc-database/-/blob/main/mono_filters/Astronomik_DeepSky_RGB.json
# origin: OEM tabulated data
# license: GPL-3.0-or-later
wavelength_nm,value
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0.01
379,0.01
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0.01
584,0.01
585,0.01
586,0.02
587,0.03
588,0.04
589,0.06
590,0.1
591,0.14
592,0.2
593,0.29
594,0.42
595,0.59
596,0.82
597,1.13
598,1.55
599,2.15
600,3.03
601,4.38
602,6.5
603,9.92
604,15.49
605,24.28
606,37.19
607,53.62
608,70.65
609,84.88
610,93.56
611,97.41
612,98.71
613,98.94
614,99.03
615,99
616,98.9
617,98.87
618,98.76
619,98.84
620,98.71
621,98.75
622,98.77
623,98.85
624,98.88
625,98.53
626,98.38
627,97.92
628,97.59
629,97.29
630,96.98
631,96.82
632,96.86
633,96.77
634,96.89
635,96.94
636,96.96
637,97.17
638,97.22
639,97.35
640,97.4
641,97.65
642,97.89
643,98.06
644,98.38
645,98.55
646,98.71
647,98.8
648,98.7
649,98.69
650,98.42
651,98.19
652,97.95
653,97.71
654,97.36
655,97.38
656,97.33
657,97.36
658,97.53
659,97.82
660,98.1
661,98.39
662,98.54
663,98.69
664,98.69
665,98.61
666,98.39
667,98.2
668,97.75
669,97.59
670,97.22
671,96.83
672,96.63
673,96.6
674,96.59
675,96.49
676,96.56
677,96.59
678,96.87
679,97.21
680,97.56
681,97.88
682,97.95
683,97.72
684,96.78
685,94.7
686,91.04
687,85.23
688,76.97
689,66.34
690,54.19
691,41.84
692,30.84
693,21.88
694,15.16
695,10.38
696,7.09
697,4.89
698,3.41
699,2.41
700,1.73
701,1.26
702,0.94
703,0.71
704,0.54
705,0.42
706,0.33
707,0.26
708,0.21
709,0.17
710,0.14
711,0.11
712,0.09
713,0.08
714,0.06
715,0.05
716,0.04
717,0.04
718,0.03
719,0.03
720,0.02
721,0.02
722,0.01
723,0.01
724,0.01
725,0.01
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0
