# name: Baader B
# kind: filter
# channel: blue
# manufacturer: Baader
# source: https://gitlab.com/free-astro/siril-spcc-database/-/blob/main/mono_filters/Baader_LRGB.json
# origin: Scanned from Transmission Chart
# license: GPL-3.0-or-later
wavelength_nm,value
370.244,0.24077
375.707,0.24077
378.829,1.52488
379.61,3.19422
381.951,5.37721
383.512,10.8989
384.293,15.7785
386.634,49.679
388.195,81.5249
388.976,87.817
390.537,92.183
393.659,93.5955
396,94.366
399.122,95.2648
402.244,96.0353
406.927,95.5217
410.829,96.1637
413.951,97.191
419.415,97.8331
424.878,97.8331
428.781,97.3194
431.902,97.5762
435.805,97.7047
438.927,96.1637
441.268,95.5217
443.61,96.2921
445.171,97.3194
450.634,98.2183
456.878,97.5762
460.781,96.8058
465.463,97.5762
468.585,98.6035
473.268,97.9615
474.829,96.4205
478.732,94.8796
480.293,94.366
481.854,95.1364
483.415,96.2921
486.537,97.3194
490.439,97.8331
495.902,97.3194
499.024,98.0899
502.146,97.3194
504.488,95.7785
505.268,92.825
506.049,88.7159
506.829,77.5441
508.39,60.9791
511.512,34.6549
513.073,25.5377
514.634,8.58748
515.415,5.37721
516.976,3.45104
520.098,2.03852
523.22,0.882825
526.341,0.369181
531.024,0.369181
