# name: Baader G
# kind: filter
# channel: green
# manufacturer: Baader
# source: https://gitlab.com/free-astro/siril-spcc-database/-/blob/main/mono_filters/Baader_LRGB.json
# origin: Scanned from Transmission Chart
# license: GPL-3.0-or-later
wavelength_nm,value
475.61,0.11236
481.854,0.24077
484.976,0.626003
488.878,2.29535
490.439,9.22953
492,23.9968
493.561,40.6902
494.341,43.13
495.122,47.496
495.902,50.9631
496.683,70.2247
498.244,92.183
499.805,96.1637
503.707,97.0626
508.39,97.5762
513.073,98.2183
515.415,97.5762
519.317,97.5762
521.659,98.2183
525.561,98.8604
529.463,98.4751
531.805,97.5762
536.488,97.0626
541.951,97.0626
545.854,96.1637
550.537,95.3933
555.22,95.1364
560.683,95.6501
563.024,96.549
565.366,97.3194
568.488,97.9615
569.268,96.0353
570.049,95.1364
570.829,87.5602
571.61,75.7464
573.171,71.1236
573.951,69.069
574.732,59.3098
575.512,51.6051
576.293,48.7801
577.073,25.5377
578.634,15.3933
580.195,12.183
580.976,7.81701
583.317,5.76244
584.098,3.96469
585.659,2.29535
586.439,1.52488
590.341,0.882825
595.805,0.24077
603.61,0.369181
624.683,0.11236
631.707,0.24077
640.293,0.11236
643.415,0.754414
644.976,1.01124
648.098,1.01124
651.22,0.626003
655.902,0.369181
662.927,0.11236
668.39,0.369181
673.073,0.369181
674.634,0.754414
679.317,0.754414
683.22,1.01124
688.683,1.01124
691.805,0.754414
699.61,0.754414
708.976,0.754414
712.878,1.01124
716,1.13965
719.122,0.754414
726.927,0.754414
729.268,0.369181
748.78,0.369181
751.122,0.754414
761.268,0.882825
763.61,0.369181
797.951,0.24077
799.512,0.626003
805.756,0.626003
811.22,1.26806
816.683,1.91011
822.927,1.26806
826.829,0.626003
830.732,0.369181
