# name: Baader L
# kind: filter
# channel: lum
# manufacturer: Baader
# source: https://gitlab.com/free-astro/siril-spcc-database/-/blob/main/mono_filters/Baader_LRGB.json
# origin: Scanned from Transmission Chart
# license: GPL-3.0-or-later
wavelength_nm,value
307.024,0.24077
311.707,1.26806
314.829,0.882825
316.39,1.7817
317.171,2.80899
319.512,1.91011
321.073,1.01124
324.195,0.24077
328.878,0.24077
334.341,0.369181
338.244,0.882825
339.024,5.12039
339.805,7.6886
341.366,7.6886
343.707,5.12039
344.488,3.45104
346.049,4.34992
346.829,5.63403
349.171,4.0931
349.951,5.12039
353.854,10.7705
354.634,13.9807
355.415,23.6116
356.976,34.0128
358.537,38.5072
360.878,45.8266
361.659,36.9663
363.219,30.2889
364,18.8604
366.341,29.5185
367.122,18.2183
368.683,13.8523
370.244,5.37721
373.366,0
390.537,0
393.659,0.882825
395.219,8.8443
396.781,36.5811
399.122,67.2713
400.683,79.0851
402.244,84.6067
403.805,89.6148
405.366,92.4398
409.268,93.4671
410.829,92.183
411.61,88.2022
413.951,91.5409
417.073,94.6228
418.634,96.549
420.976,95.3933
424.878,95.3933
426.439,96.8058
433.463,97.0626
436.585,96.549
440.488,96.8058
443.61,94.8796
445.171,94.366
446.732,94.7512
448.293,95.5217
449.854,96.4205
451.415,97.5762
456.878,97.191
460.781,96.1637
464.683,94.7512
466.244,93.8523
468.585,94.8796
474.049,96.549
481.073,96.549
488.098,97.9615
491.219,98.0899
498.244,97.191
506.049,98.2183
509.951,97.7047
513.854,97.0626
520.098,98.0899
524,98.4751
531.805,98.4751
536.488,98.2183
540.39,97.8331
545.073,97.9615
550.537,98.7319
558.341,98.6035
561.463,98.0899
565.366,98.2183
571.61,97.8331
579.415,98.8604
585.659,98.9888
590.341,98.6035
594.244,98.2183
596.585,98.2183
600.488,97.8331
602.049,98.0899
605.951,98.4751
616.098,98.4751
620.78,98.0899
623.902,98.4751
629.366,98.6035
635.61,98.7319
640.293,98.2183
645.756,97.7047
653.561,97.5762
663.707,97.3194
666.829,97.0626
670.732,97.0626
678.537,98.0899
680.878,98.4751
683.22,96.9342
686.341,92.4398
687.902,89.6148
689.463,73.1782
690.244,58.6677
694.146,41.2039
696.488,18.3467
700.39,9.87159
704.293,6.01926
705.073,4.0931
706.634,2.68058
712.878,1.52488
716.78,1.26806
720.683,0.882825
744.098,0.754414
755.024,0.11236
765.951,0.11236
