# name: Baader R
# kind: filter
# channel: red
# manufacturer: Baader
# source: https://gitlab.com/free-astro/siril-spcc-database/-/blob/main/mono_filters/Baader_LRGB.json
# origin: Scanned from Transmission Chart
# license: GPL-3.0-or-later
wavelength_nm,value
354.634,0.369181
356.976,1.13965
359.317,2.03852
361.659,3.32263
363.219,5.37721
366.341,2.68058
367.122,1.52488
370.244,0.626003
374.146,0.11236
471.707,0
550.537,0
554.439,0.24077
560.683,0.24077
566.146,0.626003
570.049,1.52488
571.61,2.55217
575.512,3.70787
576.293,7.17496
578.634,8.33066
579.415,11.0273
580.195,16.4205
581.756,18.9888
583.317,25.923
584.098,28.3628
584.878,45.1846
585.659,49.5506
586.439,62.3917
588,65.3451
588.78,76.5169
591.122,82.4238
591.902,95.7785
593.463,96.549
595.805,97.5762
600.488,96.549
604.39,97.5762
609.854,98.8604
616.098,98.7319
616.878,98.2183
623.122,98.9888
628.585,98.2183
634.049,97.7047
637.951,97.7047
643.415,98.4751
648.098,98.4751
650.439,98.2183
653.561,98.2183
655.122,97.8331
661.366,98.4751
665.268,99.2456
671.512,99.2456
674.634,98.9888
678.537,98.0899
679.317,93.5955
680.098,96.0353
681.659,83.1942
683.22,80.626
684,71.3804
685.561,65.9872
686.341,58.5393
687.902,44.5425
688.683,28.3628
691.805,10.8989
694.927,8.58748
696.488,3.06581
701.171,1.26806
705.854,0.626003
