# name: Chroma Blue
# kind: filter
# channel: blue
# manufacturer: Chroma
# source: https://gitlab.com/free-astro/siril-spcc-database/-/blob/main/mono_filters/Chroma_RGB.json
# origin: High resolution OEM tabulated data from website
# license: GPL-3.0-or-later
wavelength_nm,value
301,5.76145e-06
302,5.3253e-06
303,5.38843e-06
304,5.14651e-06
305,6.13444e-06
306,4.88723e-06
307,4.43023e-06
308,4.62965e-06
309,3.92409e-06
310,4.40933e-06
311,5.02955e-06
312,3.941e-06
313,4.53769e-06
314,3.7419e-06
315,4.24213e-06
316,2.15479e-06
317,3.13127e-06
318,3.37591e-06
319,3.02047e-06
320,2.90948e-06
321,2.77516e-06
322,2.32734e-06
323,2.21316e-06
324,2.25286e-06
325,1.77173e-06
326,1.73411e-06
327,2.05703e-06
328,2.04341e-06
329,1.81818e-06
330,1.77671e-06
331,1.20966e-06
332,1.97752e-06
333,1.89216e-06
334,1.92578e-06
335,1.66572e-06
336,1.30659e-06
337,1.67753e-06
338,1.26735e-06
339,1.83045e-06
340,1.40317e-06
341,9.5e-07
342,1.61939e-06
343,1.17706e-06
344,1.4317e-06
345,2.43098e-06
346,3.52225e-06
347,5.85324e-06
348,1.29358e-05
349,2.37379e-05
350,3.46132e-05
351,4.47504e-05
352,5.1134e-05
353,6.18222e-05
354,0.000164967
355,0.000195185
356,0.000107948
357,5.29017e-05
358,0.000102752
359,9.73376e-05
360,0.000153968
361,0.000324457
362,0.000484392
363,0.000110593
364,6.34366e-05
365,0.000229305
366,6.99832e-05
367,0.000118835
368,2.70741e-05
369,3.1502e-06
370,4.49202e-06
371,7.75406e-05
372,7.96314e-05
373,2.35552e-05
374,2.41096e-05
375,3.89169e-06
376,2.34368e-06
377,2.74535e-06
378,1.08601e-05
379,4.00334e-05
380,1.74627e-05
381,8.63656e-06
382,0.000183173
383,0.000408806
384,1.96099e-05
385,2.48388e-05
386,8.32798e-06
387,1.65751e-06
388,1.89423e-06
389,1.33217e-06
390,8.07827e-06
391,1.77443e-05
392,2.03926e-06
393,1.50935e-06
394,1.64336e-06
395,0.000144858
396,0.000258508
397,6.64015e-06
398,0.000127965
399,8.6845e-05
400,1.88225e-06
401,1.21827e-06
402,1.23976e-06
403,1.12171e-06
404,1.27772e-06
405,1.5643e-06
406,8.78843e-06
407,0.000960112
408,0.000488364
409,1.61301e-05
410,1.661e-05
411,3.04105e-05
412,8.3453e-05
413,0.000334684
414,0.00165282
415,0.00816442
416,0.0405331
417,0.201711
418,0.633505
419,0.93435
420,0.975391
421,0.977964
422,0.979313
423,0.974689
424,0.970535
425,0.973493
426,0.980161
427,0.984362
428,0.982729
429,0.97864
430,0.979133
431,0.981494
432,0.981032
433,0.979497
434,0.981226
435,0.98369
436,0.985329
437,0.986856
438,0.987927
439,0.986667
440,0.986089
441,0.987447
442,0.987286
443,0.981738
444,0.977494
445,0.979222
446,0.98468
447,0.988559
448,0.987859
449,0.986293
450,0.987229
451,0.987415
452,0.984908
453,0.982008
454,0.981889
455,0.984137
456,0.986172
457,0.986904
458,0.986994
459,0.987673
460,0.98803
461,0.987656
462,0.986845
463,0.985671
464,0.984305
465,0.98236
466,0.981262
467,0.982058
468,0.983336
469,0.98447
470,0.984486
471,0.984732
472,0.984146
473,0.98532
474,0.985815
475,0.986068
476,0.985957
477,0.984721
478,0.983512
479,0.981759
480,0.981714
481,0.982778
482,0.984081
483,0.984192
484,0.98249
485,0.979698
486,0.977529
487,0.976943
488,0.976628
489,0.975515
490,0.973809
491,0.97294
492,0.973312
493,0.973733
494,0.970445
495,0.963524
496,0.955386
497,0.951708
498,0.954094
499,0.959105
500,0.963204
501,0.964168
502,0.956546
503,0.933636
504,0.91513
505,0.872911
506,0.541921
507,0.157841
508,0.0339432
509,0.00859533
510,0.00279361
511,0.00105444
512,0.000463928
513,0.000230067
514,0.000125215
515,7.54068e-05
516,4.93539e-05
517,3.54044e-05
518,2.81531e-05
519,2.31931e-05
520,2.25735e-05
521,2.26724e-05
522,2.65805e-05
523,3.40498e-05
524,5.21549e-05
525,8.25717e-05
526,9.96047e-05
527,7.47771e-05
528,4.5929e-05
529,2.89255e-05
530,2.27898e-05
531,2.02871e-05
532,2.07182e-05
533,2.37902e-05
534,2.97466e-05
535,3.51424e-05
536,3.45004e-05
537,2.80231e-05
538,2.04839e-05
539,1.74273e-05
540,1.4845e-05
541,1.45353e-05
542,1.44667e-05
543,1.40605e-05
544,1.10782e-05
545,8.13161e-06
546,5.87646e-06
547,4.18732e-06
548,3.4036e-06
549,2.89361e-06
550,2.66394e-06
551,2.49791e-06
552,2.92441e-06
553,3.12865e-06
554,3.42404e-06
555,3.63745e-06
556,3.79384e-06
557,3.11656e-06
558,2.91423e-06
559,2.23815e-06
560,2.12822e-06
561,2.21834e-06
562,2.07033e-06
563,2.4566e-06
564,2.87888e-06
565,3.61996e-06
566,5.03394e-06
567,7.38906e-06
568,1.16317e-05
569,1.60066e-05
570,1.80309e-05
571,1.95166e-05
572,1.93556e-05
573,1.9868e-05
574,2.33753e-05
575,2.57845e-05
576,2.70844e-05
577,2.61355e-05
578,2.33603e-05
579,2.01656e-05
580,1.90666e-05
581,1.87629e-05
582,2.04964e-05
583,2.65585e-05
584,3.62234e-05
585,5.23279e-05
586,6.74955e-05
587,6.72022e-05
588,5.46773e-05
589,4.53478e-05
590,4.15754e-05
591,4.52519e-05
592,6.00048e-05
593,9.2578e-05
594,0.000128797
595,0.000103136
596,5.24563e-05
597,2.66145e-05
598,1.60117e-05
599,1.11827e-05
600,8.89191e-06
601,7.57117e-06
602,7.37032e-06
603,7.56684e-06
604,8.34113e-06
605,1.0771e-05
606,1.29928e-05
607,1.76351e-05
608,2.22788e-05
609,2.8872e-05
610,3.17676e-05
611,3.37507e-05
612,3.49897e-05
613,3.62407e-05
614,4.02096e-05
615,4.69822e-05
616,5.47093e-05
617,6.4044e-05
618,6.7299e-05
619,6.4194e-05
620,5.5954e-05
621,4.87824e-05
622,4.57363e-05
623,4.5385e-05
624,4.99367e-05
625,5.95796e-05
626,7.46735e-05
627,9.1602e-05
628,9.27652e-05
629,7.30554e-05
630,5.22709e-05
631,3.59119e-05
632,2.74679e-05
633,2.24081e-05
634,2.03674e-05
635,1.91919e-05
636,2.05e-05
637,2.21338e-05
638,2.51864e-05
639,2.97142e-05
640,3.21346e-05
641,3.09712e-05
642,2.71961e-05
643,2.21182e-05
644,1.74741e-05
645,1.4884e-05
646,1.20904e-05
647,1.17033e-05
648,1.09504e-05
649,1.13236e-05
650,1.21327e-05
651,1.32463e-05
652,1.62194e-05
653,2.01334e-05
654,2.71109e-05
655,3.82144e-05
656,5.7811e-05
657,8.30255e-05
658,0.00011247
659,0.00013256
660,0.000139578
661,0.000132527
662,0.00012839
663,0.000128184
664,0.000135274
665,0.000151826
666,0.000168519
667,0.000176884
668,0.000170172
669,0.000142931
670,0.000109587
671,8.16381e-05
672,6.22063e-05
673,4.89808e-05
674,3.99678e-05
675,3.46329e-05
676,3.00162e-05
677,2.80623e-05
678,2.67072e-05
679,2.52042e-05
680,2.77308e-05
681,2.91129e-05
682,3.13804e-05
683,3.39309e-05
684,3.74945e-05
685,4.17766e-05
686,4.45991e-05
687,4.79972e-05
688,4.73659e-05
689,4.69741e-05
690,4.59162e-05
691,4.34727e-05
692,4.14661e-05
693,3.87862e-05
694,3.9298e-05
695,4.06849e-05
696,4.15743e-05
697,4.45152e-05
698,4.91534e-05
699,5.58617e-05
700,6.12304e-05
701,6.67063e-05
702,6.82895e-05
703,6.56082e-05
704,5.94705e-05
705,5.09803e-05
706,4.45153e-05
707,3.72462e-05
708,3.15973e-05
709,2.82696e-05
710,2.50375e-05
711,2.46455e-05
712,2.24475e-05
713,2.15761e-05
714,2.22005e-05
715,2.42165e-05
716,2.46907e-05
717,2.69506e-05
718,3.1899e-05
719,3.51023e-05
720,3.84634e-05
721,4.49437e-05
722,5.28398e-05
723,5.99145e-05
724,6.683e-05
725,7.41929e-05
726,7.63652e-05
727,7.74449e-05
728,7.84611e-05
729,7.75424e-05
730,7.77573e-05
731,7.99044e-05
732,7.88336e-05
733,7.74406e-05
734,7.40119e-05
735,6.71309e-05
736,6.26402e-05
737,5.59286e-05
738,4.89748e-05
739,4.23364e-05
740,3.57834e-05
741,3.19982e-05
742,2.89524e-05
743,2.58711e-05
744,2.36675e-05
745,2.57945e-05
746,2.2492e-05
747,2.40995e-05
748,2.5693e-05
749,2.73165e-05
750,3.22745e-05
751,3.62709e-05
752,4.69364e-05
753,5.81949e-05
754,8.0268e-05
755,0.00010367
756,0.000117729
757,0.000102254
758,7.82219e-05
759,5.24957e-05
760,3.51997e-05
761,2.76853e-05
762,1.95703e-05
763,1.66728e-05
764,1.36295e-05
765,1.22627e-05
766,1.17074e-05
767,1.22866e-05
768,9.58483e-06
769,1.02493e-05
770,9.52049e-06
771,1.03061e-05
772,1.05627e-05
773,1.22879e-05
774,1.59869e-05
775,1.69507e-05
776,2.2966e-05
777,3.38576e-05
778,3.94471e-05
779,5.25093e-05
780,6.58718e-05
781,7.51508e-05
782,8.69625e-05
783,8.58454e-05
784,8.23996e-05
785,8.16487e-05
786,8.67372e-05
787,8.75986e-05
788,9.9977e-05
789,0.000103272
790,0.000104934
791,8.74344e-05
792,6.66837e-05
793,4.46043e-05
794,3.05091e-05
795,1.72673e-05
796,1.21404e-05
797,1.00679e-05
798,6.78414e-06
799,5.75506e-06
800,9.94606e-06
801,7.06437e-06
802,5.23453e-06
803,4.28997e-06
804,3.12677e-06
805,2.25945e-06
806,2.07721e-06
807,2.18781e-06
808,2.0903e-06
809,2.20386e-06
810,2.07025e-06
811,1.77189e-06
812,2.20578e-06
813,1.88512e-06
814,1.80028e-06
815,1.80724e-06
816,2.25091e-06
817,2.44034e-06
818,2.70072e-06
819,2.83335e-06
820,2.81593e-06
821,3.84251e-06
822,5.0686e-06
823,6.95545e-06
824,9.94101e-06
825,1.42946e-05
826,2.0479e-05
827,2.69405e-05
828,3.48573e-05
829,4.37249e-05
830,5.26433e-05
831,6.16426e-05
832,7.05069e-05
833,7.74894e-05
834,8.18357e-05
835,8.42729e-05
836,8.41305e-05
837,8.3172e-05
838,8.1129e-05
839,7.92847e-05
840,7.76828e-05
841,7.78114e-05
842,7.94067e-05
843,8.28505e-05
844,8.7645e-05
845,9.30833e-05
846,9.86137e-05
847,0.000101689
848,0.000103181
849,0.000102066
850,9.80455e-05
851,9.16949e-05
852,8.35308e-05
853,7.40197e-05
854,6.43602e-05
855,5.58062e-05
856,4.82308e-05
857,4.17513e-05
858,3.76324e-05
859,3.45332e-05
860,3.28672e-05
861,3.3062e-05
862,3.36389e-05
863,3.54044e-05
864,3.91143e-05
865,4.34457e-05
866,5.01278e-05
867,5.91425e-05
868,6.85127e-05
