# name: Chroma Green
# kind: filter
# channel: green
# manufacturer: Chroma
# source: https://gitlab.com/free-astro/siril-spcc-database/-/blob/main/mono_filters/Chroma_RGB.json
# origin: High resolution OEM tabulated data from website
# license: GPL-3.0-or-later
wavelength_nm,value
300,9.5e-07
301,9.5e-07
302,9.5e-07
303,1.24129e-06
304,9.5e-07
305,9.5e-07
306,9.5e-07
307,9.5e-07
308,9.5e-07
309,9.5e-07
310,1.57594e-06
311,1.23595e-06
312,1.41871e-06
313,9.5e-07
314,9.5e-07
315,9.5e-07
316,9.5e-07
317,9.5e-07
318,9.5e-07
319,9.5e-07
320,9.5e-07
321,9.5e-07
322,9.5e-07
323,9.5e-07
324,9.5e-07
325,9.5e-07
326,9.5e-07
327,9.5e-07
328,9.5e-07
329,9.5e-07
330,9.5e-07
331,9.5e-07
332,9.5e-07
333,9.5e-07
334,9.5e-07
335,9.5e-07
336,9.5e-07
337,9.5e-07
338,9.5e-07
339,9.5e-07
340,9.5e-07
341,9.5e-07
342,9.5e-07
343,9.5e-07
344,9.5e-07
345,1.27944e-06
346,4.41884e-06
347,1.42123e-05
348,4.52893e-05
349,7.80541e-05
350,7.20143e-05
351,6.57533e-05
352,9.19808e-05
353,0.00013192
354,6.54717e-05
355,1.57763e-05
356,5.42001e-06
357,3.24068e-06
358,2.8824e-06
359,3.23631e-06
360,9.10911e-06
361,2.17734e-05
362,9.87357e-06
363,3.05319e-06
364,1.57036e-06
365,1.53253e-06
366,1.41066e-06
367,1.50837e-06
368,3.66899e-06
369,2.14967e-05
370,7.77173e-06
371,1.48424e-06
372,9.5e-07
373,9.5e-07
374,9.5e-07
375,9.5e-07
376,9.5e-07
377,9.5e-07
378,1.30264e-06
379,2.28297e-06
380,1.19008e-05
381,8.36164e-06
382,1.78047e-06
383,1.18497e-06
384,1.26145e-06
385,1.23037e-06
386,2.24238e-06
387,4.47342e-06
388,3.56957e-06
389,1.35532e-06
390,9.65453e-07
391,9.5e-07
392,9.5e-07
393,9.5e-07
394,9.5e-07
395,9.5e-07
396,1.14116e-06
397,1.3268e-06
398,9.82684e-07
399,1.04588e-06
400,9.5e-07
401,9.5e-07
402,9.5e-07
403,9.5e-07
404,9.5e-07
405,9.5e-07
406,9.5e-07
407,9.5e-07
408,9.5e-07
409,9.5e-07
410,9.5e-07
411,9.5e-07
412,9.5e-07
413,9.5e-07
414,9.5e-07
415,9.5e-07
416,9.5e-07
417,9.5e-07
418,9.5e-07
419,9.5e-07
420,9.5e-07
421,9.5e-07
422,9.5e-07
423,9.5e-07
424,9.5e-07
425,9.5e-07
426,9.5e-07
427,9.5e-07
428,9.5e-07
429,9.5e-07
430,9.5e-07
431,9.5e-07
432,9.5e-07
433,9.5e-07
434,9.5e-07
435,9.5e-07
436,9.5e-07
437,9.5e-07
438,9.51055e-07
439,1.13705e-06
440,1.03203e-06
441,1.10659e-06
442,1.11478e-06
443,9.5599e-07
444,1.17806e-06
445,1.12007e-06
446,1.14943e-06
447,1.36451e-06
448,1.61297e-06
449,1.8451e-06
450,2.00583e-06
451,2.48627e-06
452,3.08102e-06
453,3.58575e-06
454,4.14249e-06
455,5.04983e-06
456,6.14033e-06
457,7.30545e-06
458,8.04936e-06
459,1.01372e-05
460,1.0722e-05
461,1.24637e-05
462,1.48956e-05
463,1.73471e-05
464,2.11059e-05
465,2.5031e-05
466,3.15102e-05
467,4.11531e-05
468,5.14957e-05
469,6.59109e-05
470,8.67679e-05
471,0.000112324
472,0.000147928
473,0.000191594
474,0.000251398
475,0.000325333
476,0.000419522
477,0.000542376
478,0.000710732
479,0.000929634
480,0.001231
481,0.00166357
482,0.00225827
483,0.00313851
484,0.00440848
485,0.00628194
486,0.0091155
487,0.0132577
488,0.0196134
489,0.0291061
490,0.0433338
491,0.0647742
492,0.0966242
493,0.143355
494,0.212613
495,0.306959
496,0.430114
497,0.572086
498,0.709829
499,0.830035
500,0.905574
501,0.94953
502,0.974022
503,0.981481
504,0.985503
505,0.986952
506,0.986787
507,0.98973
508,0.991245
509,0.990505
510,0.989858
511,0.991563
512,0.992118
513,0.990853
514,0.990939
515,0.992739
516,0.992601
517,0.991003
518,0.990833
519,0.99094
520,0.990068
521,0.990305
522,0.991239
523,0.989279
524,0.990338
525,0.988757
526,0.987512
527,0.984701
528,0.983897
529,0.981969
530,0.980324
531,0.97812
532,0.977132
533,0.978146
534,0.976863
535,0.974788
536,0.97701
537,0.977711
538,0.977749
539,0.979659
540,0.980727
541,0.981026
542,0.983054
543,0.983588
544,0.984692
545,0.985461
546,0.988202
547,0.988528
548,0.989054
549,0.991451
550,0.993138
551,0.995517
552,0.994503
553,0.99396
554,0.995924
555,0.993776
556,0.994029
557,0.993904
558,0.992677
559,0.99301
560,0.993743
561,0.993771
562,0.992757
563,0.990619
564,0.988985
565,0.988079
566,0.985386
567,0.980409
568,0.98114
569,0.979277
570,0.980201
571,0.977804
572,0.979414
573,0.980277
574,0.978698
575,0.981475
576,0.981347
577,0.979356
578,0.975224
579,0.956917
580,0.91461
581,0.837658
582,0.721158
583,0.582074
584,0.446352
585,0.328446
586,0.239871
587,0.1748
588,0.12854
589,0.095762
590,0.0724175
591,0.0554473
592,0.0429292
593,0.0332187
594,0.0260019
595,0.0201542
596,0.015658
597,0.0121069
598,0.00931816
599,0.00719771
600,0.00556159
601,0.00432391
602,0.0033911
603,0.00268819
604,0.00215863
605,0.00175133
606,0.00144257
607,0.00121428
608,0.00102575
609,0.000887928
610,0.000775458
611,0.000685231
612,0.000614726
613,0.000555748
614,0.000503661
615,0.000462299
616,0.000422267
617,0.000386843
618,0.000354456
619,0.000319556
620,0.000287681
621,0.000254128
622,0.000226127
623,0.000198169
624,0.000172344
625,0.000150731
626,0.000131943
627,0.00011509
628,0.000101404
629,8.96804e-05
630,7.94843e-05
631,7.2663e-05
632,6.70546e-05
633,6.24173e-05
634,5.85032e-05
635,5.49175e-05
636,5.22903e-05
637,5.05475e-05
638,4.93539e-05
639,4.91137e-05
640,4.85678e-05
641,4.89161e-05
642,4.92266e-05
643,4.84567e-05
644,4.83086e-05
645,4.72472e-05
646,4.62666e-05
647,4.36024e-05
648,4.16833e-05
649,3.90142e-05
650,3.61073e-05
651,3.38237e-05
652,3.0624e-05
653,2.86253e-05
654,2.6117e-05
655,2.4192e-05
656,2.24012e-05
657,2.15599e-05
658,2.0498e-05
659,1.95624e-05
660,1.93828e-05
661,1.9111e-05
662,1.90382e-05
663,1.98537e-05
664,2.00937e-05
665,2.04745e-05
666,2.19412e-05
667,2.32184e-05
668,2.43911e-05
669,2.64391e-05
670,2.81339e-05
671,3.03363e-05
672,3.12789e-05
673,3.20488e-05
674,3.1673e-05
675,3.1286e-05
676,3.01485e-05
677,2.69722e-05
678,2.5189e-05
679,2.31286e-05
680,2.15128e-05
681,1.97132e-05
682,1.84238e-05
683,1.73853e-05
684,1.60323e-05
685,1.53711e-05
686,1.4744e-05
687,1.48457e-05
688,1.50049e-05
689,1.49919e-05
690,1.5446e-05
691,1.61184e-05
692,1.72619e-05
693,1.95274e-05
694,2.00603e-05
695,2.30982e-05
696,2.64263e-05
697,3.02437e-05
698,3.41774e-05
699,3.9895e-05
700,4.65161e-05
701,5.04727e-05
702,5.10231e-05
703,5.01395e-05
704,4.70646e-05
705,4.16379e-05
706,3.54997e-05
707,3.18749e-05
708,2.68555e-05
709,2.40769e-05
710,2.21666e-05
711,1.91512e-05
712,1.7444e-05
713,1.64263e-05
714,1.62554e-05
715,1.54106e-05
716,1.5613e-05
717,1.6718e-05
718,1.68543e-05
719,1.68527e-05
720,1.90494e-05
721,2.0482e-05
722,2.26989e-05
723,2.73692e-05
724,3.19764e-05
725,3.85887e-05
726,4.67658e-05
727,5.77299e-05
728,6.9935e-05
729,7.82254e-05
730,8.22331e-05
731,7.89306e-05
732,7.02552e-05
733,5.84089e-05
734,4.7418e-05
735,3.84385e-05
736,3.18768e-05
737,2.59341e-05
738,2.3655e-05
739,1.98323e-05
740,1.89808e-05
741,1.77486e-05
742,1.59705e-05
743,1.60646e-05
744,1.53362e-05
745,1.59083e-05
746,1.62168e-05
747,1.79378e-05
748,1.82317e-05
749,1.89789e-05
750,2.25801e-05
751,2.65576e-05
752,3.31325e-05
753,4.34391e-05
754,5.78408e-05
755,8.58731e-05
756,0.00013549
757,0.00022246
758,0.000321972
759,0.000319807
760,0.000213019
761,0.000124905
762,7.62654e-05
763,4.82946e-05
764,3.56435e-05
765,2.68766e-05
766,2.0332e-05
767,1.77245e-05
768,1.43104e-05
769,1.29602e-05
770,1.0195e-05
771,1.00858e-05
772,9.36898e-06
773,8.63571e-06
774,8.11237e-06
775,8.53466e-06
776,7.98074e-06
777,8.42732e-06
778,8.4242e-06
779,9.49922e-06
780,1.0307e-05
781,1.03743e-05
782,1.21224e-05
783,1.36791e-05
784,1.6353e-05
785,1.90422e-05
786,2.71755e-05
787,3.54513e-05
788,5.61137e-05
789,9.81951e-05
790,0.000214762
791,0.000529134
792,0.000662578
793,0.000305955
794,0.000123115
795,5.85867e-05
796,3.34797e-05
797,2.36047e-05
798,1.8435e-05
799,1.28821e-05
800,8.53517e-06
801,8.31735e-06
802,6.34976e-06
803,6.21859e-06
804,5.34666e-06
805,4.47125e-06
806,3.74837e-06
807,2.69694e-06
808,3.38127e-06
809,3.44744e-06
810,3.41981e-06
811,3.41592e-06
812,2.76595e-06
813,3.64596e-06
814,3.32475e-06
815,2.88977e-06
816,2.62914e-06
817,3.17012e-06
818,2.9352e-06
819,2.87408e-06
820,4.46195e-06
821,3.4031e-06
822,3.16483e-06
823,3.99168e-06
824,5.56328e-06
825,6.04535e-06
826,6.32725e-06
827,7.94633e-06
828,8.01118e-06
829,8.89194e-06
830,1.44315e-05
831,1.64746e-05
832,2.07752e-05
833,2.91102e-05
834,4.40663e-05
835,5.03881e-05
836,5.84335e-05
837,5.16587e-05
838,3.77242e-05
839,2.78248e-05
840,1.79344e-05
841,1.80972e-05
842,1.02161e-05
843,9.74242e-06
844,5.63633e-06
845,3.93574e-06
846,3.03444e-06
847,6.15817e-06
848,6.37724e-06
849,4.22773e-06
850,5.05668e-06
851,6.16552e-06
852,5.20161e-06
853,2.19672e-06
854,2.65872e-06
855,2.90424e-06
856,3.25852e-06
857,4.81459e-06
858,2.85042e-06
859,1.78177e-06
860,3.70192e-06
861,3.32247e-06
862,2.75659e-06
863,1.7819e-06
864,3.64951e-06
865,2.68277e-06
866,4.0353e-06
867,3.20957e-06
868,3.20456e-06
869,3.25782e-06
870,1.82684e-06
871,2.37381e-06
872,4.75157e-06
873,1.70418e-06
874,3.36239e-06
875,1.42728e-06
876,2.77353e-06
877,3.81545e-06
878,1.18832e-06
879,4.10545e-06
880,2.41608e-06
881,4.60077e-06
882,3.07442e-06
883,2.97223e-06
884,4.8621e-06
885,3.99623e-06
886,5.03127e-06
887,4.43152e-06
888,6.37685e-06
889,7.39756e-06
890,9.32228e-06
891,1.03751e-05
892,1.02577e-05
893,1.17314e-05
894,1.09701e-05
895,1.17904e-05
896,1.26131e-05
897,8.82195e-06
898,8.87021e-06
899,7.5171e-06
900,7.24091e-06
901,5.53068e-06
902,4.81593e-06
903,5.24054e-06
904,6.73541e-06
905,4.01088e-06
906,3.74421e-06
907,3.53171e-06
908,3.07619e-06
909,4.19532e-06
910,3.76924e-06
911,2.83729e-06
912,4.3954e-06
913,3.43984e-06
914,4.45802e-06
915,1.49223e-06
916,2.65406e-06
917,9.5e-07
918,3.29364e-06
919,2.42306e-06
920,2.57197e-06
921,2.35819e-06
922,2.38199e-06
923,4.04985e-06
924,2.2227e-06
925,3.13773e-06
926,2.05434e-06
927,2.2468e-06
928,3.27572e-06
929,3.47311e-06
930,2.62579e-06
931,3.62675e-06
932,2.99075e-06
933,2.10398e-06
934,2.1714e-06
935,2.63886e-06
936,2.6064e-06
937,3.41794e-06
938,3.99048e-06
939,3.10696e-06
940,3.91547e-06
941,2.62762e-06
942,3.64612e-06
943,4.11949e-06
944,4.80293e-06
945,5.03517e-06
946,5.1259e-06
947,5.83713e-06
948,5.44879e-06
949,3.46491e-06
950,6.34029e-06
951,7.63187e-06
952,7.77907e-06
953,1.03328e-05
954,1.14037e-05
955,1.30599e-05
956,1.54391e-05
957,1.64522e-05
958,1.80388e-05
959,2.18107e-05
960,2.54226e-05
961,2.74869e-05
962,2.91192e-05
963,2.99733e-05
964,2.86754e-05
965,3.14606e-05
966,2.98954e-05
967,2.87015e-05
968,2.78903e-05
969,2.66633e-05
970,2.5559e-05
971,2.50832e-05
972,2.54495e-05
973,2.27203e-05
974,2.17225e-05
975,2.36119e-05
976,2.37993e-05
977,2.1885e-05
978,2.24837e-05
979,2.08218e-05
980,2.27617e-05
981,2.46072e-05
982,2.44241e-05
983,2.49142e-05
984,2.62552e-05
985,2.61075e-05
986,2.79641e-05
987,3.3052e-05
988,3.34207e-05
989,3.51564e-05
990,3.83186e-05
991,4.26985e-05
992,4.43288e-05
993,5.03991e-05
994,5.44795e-05
995,6.37084e-05
996,7.05789e-05
997,7.68203e-05
998,8.85178e-05
999,0.000101786
1000,0.00011563
1001,0.000134439
1002,0.000153507
1003,0.000180026
1004,0.000206773
1005,0.000241351
1006,0.000280848
1007,0.000323819
1008,0.000376589
1009,0.000431082
1010,0.000495426
1011,0.000554259
1012,0.000612513
1013,0.000669864
1014,0.000714964
1015,0.000746282
1016,0.000779576
1017,0.000805722
1018,0.000826638
1019,0.000852483
1020,0.000880167
1021,0.000911974
1022,0.000944267
1023,0.000980924
1024,0.00100125
1025,0.00104602
1026,0.0010703
1027,0.00111606
1028,0.00115101
1029,0.00118793
1030,0.00123176
1031,0.00128011
1032,0.00130696
1033,0.00136756
1034,0.00139275
1035,0.00145428
1036,0.00148013
1037,0.00152409
1038,0.0015649
1039,0.00160624
1040,0.0016424
1041,0.0016842
1042,0.0017263
1043,0.00176807
1044,0.00179235
1045,0.00183806
1046,0.00185164
1047,0.00188537
1048,0.00192381
1049,0.00196089
1050,0.00197039
