# name: Chroma Red
# kind: filter
# channel: red
# manufacturer: Chroma
# source: https://gitlab.com/free-astro/siril-spcc-database/-/blob/main/mono_filters/Chroma_RGB.json
# origin: High resolution OEM tabulated data from website
# license: GPL-3.0-or-later
wavelength_nm,value
300,1.04506e-06
301,9.5e-07
302,9.5e-07
303,9.5e-07
304,1.2002e-06
305,9.5e-07
306,9.5e-07
307,9.5e-07
308,9.5e-07
309,9.5e-07
310,9.5e-07
311,9.5e-07
312,9.5e-07
313,9.5e-07
314,9.5e-07
315,1.18317e-06
316,9.5e-07
317,9.5e-07
318,9.5e-07
319,9.5e-07
320,9.5e-07
321,9.5e-07
322,9.5e-07
323,9.5e-07
324,9.5e-07
325,9.5e-07
326,9.5e-07
327,9.5e-07
328,9.5e-07
329,9.5e-07
330,9.5e-07
331,9.5e-07
332,9.5e-07
333,9.5e-07
334,9.5e-07
335,9.5e-07
336,9.5e-07
337,9.5e-07
338,1.56831e-06
339,2.8194e-06
340,7.90002e-06
341,1.65142e-05
342,3.27309e-05
343,5.01717e-05
344,5.92522e-05
345,4.2427e-05
346,1.97201e-05
347,1.10369e-05
348,6.57672e-06
349,2.38415e-06
350,1.77893e-06
351,1.3019e-06
352,1.39641e-06
353,1.42293e-06
354,1.52127e-06
355,9.5e-07
356,9.5e-07
357,9.5e-07
358,9.5e-07
359,9.5e-07
360,9.98312e-07
361,9.5e-07
362,9.5e-07
363,9.5e-07
364,9.5e-07
365,9.5e-07
366,9.5e-07
367,9.5e-07
368,9.5e-07
369,9.5e-07
370,1.43319e-06
371,1.80149e-06
372,3.33151e-06
373,5.6436e-06
374,1.39715e-05
375,4.06604e-05
376,7.99176e-05
377,9.05248e-05
378,9.07743e-05
379,9.53767e-05
380,0.00010678
381,9.89795e-05
382,7.80197e-05
383,5.54554e-05
384,3.88142e-05
385,2.91518e-05
386,2.3203e-05
387,2.10881e-05
388,1.97009e-05
389,2.04525e-05
390,2.23239e-05
391,2.70022e-05
392,3.58184e-05
393,4.78077e-05
394,5.26991e-05
395,4.34138e-05
396,2.80558e-05
397,1.84101e-05
398,1.29085e-05
399,9.7382e-06
400,8.12296e-06
401,6.60744e-06
402,6.89127e-06
403,7.29129e-06
404,8.1398e-06
405,9.73719e-06
406,1.4386e-05
407,2.34845e-05
408,4.07431e-05
409,5.58597e-05
410,4.18359e-05
411,2.2723e-05
412,1.27475e-05
413,8.39778e-06
414,6.3709e-06
415,4.94641e-06
416,4.48472e-06
417,4.24946e-06
418,4.56538e-06
419,4.73995e-06
420,5.64651e-06
421,7.0142e-06
422,1.13484e-05
423,2.28207e-05
424,5.4084e-05
425,8.64213e-05
426,4.87563e-05
427,1.94115e-05
428,9.67834e-06
429,6.26069e-06
430,4.52749e-06
431,3.71949e-06
432,3.18234e-06
433,3.01599e-06
434,3.26709e-06
435,3.49148e-06
436,4.90516e-06
437,7.53245e-06
438,1.87224e-05
439,8.37291e-05
440,0.000108794
441,2.13916e-05
442,6.01839e-06
443,2.61277e-06
444,1.56891e-06
445,1.07336e-06
446,9.5e-07
447,9.5e-07
448,9.5e-07
449,9.5e-07
450,9.5e-07
451,9.5e-07
452,9.5e-07
453,9.5e-07
454,9.5e-07
455,9.5e-07
456,9.5e-07
457,9.5e-07
458,9.5e-07
459,9.5e-07
460,9.5e-07
461,9.5e-07
462,9.5e-07
463,9.5e-07
464,9.5e-07
465,9.5e-07
466,9.5e-07
467,9.5e-07
468,9.5e-07
469,9.5e-07
470,9.5e-07
471,9.5e-07
472,9.5e-07
473,9.5e-07
474,9.5e-07
475,9.5e-07
476,9.5e-07
477,9.5e-07
478,9.5e-07
479,9.5e-07
480,9.5e-07
481,9.5e-07
482,9.5e-07
483,9.5e-07
484,9.80009e-07
485,9.59918e-07
486,1.07842e-06
487,1.40777e-06
488,1.48838e-06
489,1.6736e-06
490,1.93933e-06
491,2.01223e-06
492,2.35569e-06
493,2.25398e-06
494,2.24442e-06
495,2.09278e-06
496,2.21023e-06
497,1.97525e-06
498,2.09786e-06
499,1.76058e-06
500,1.97374e-06
501,1.76146e-06
502,1.76278e-06
503,2.0066e-06
504,1.95386e-06
505,1.84553e-06
506,1.92505e-06
507,2.09629e-06
508,2.11655e-06
509,2.23153e-06
510,2.2899e-06
511,2.70593e-06
512,2.67492e-06
513,3.03977e-06
514,3.13438e-06
515,3.48559e-06
516,3.74252e-06
517,4.33691e-06
518,4.65142e-06
519,5.343e-06
520,5.72465e-06
521,6.79566e-06
522,7.68343e-06
523,8.10558e-06
524,8.70863e-06
525,9.67448e-06
526,1.11552e-05
527,1.2282e-05
528,1.35268e-05
529,1.48301e-05
530,1.59364e-05
531,1.71051e-05
532,1.8713e-05
533,2.02699e-05
534,2.16822e-05
535,2.24741e-05
536,2.4005e-05
537,2.50073e-05
538,2.61549e-05
539,2.87378e-05
540,3.09061e-05
541,3.23234e-05
542,3.47706e-05
543,3.84163e-05
544,4.1136e-05
545,4.55898e-05
546,5.02235e-05
547,5.37026e-05
548,6.15387e-05
549,6.82866e-05
550,7.66885e-05
551,8.60963e-05
552,9.84453e-05
553,0.000113348
554,0.000129643
555,0.000149192
556,0.000173251
557,0.000203099
558,0.000239168
559,0.000284461
560,0.000334899
561,0.000406011
562,0.000484272
563,0.000584232
564,0.000700608
565,0.000855367
566,0.00104153
567,0.00127606
568,0.00155127
569,0.00189976
570,0.00232449
571,0.00283
572,0.00348749
573,0.00424933
574,0.00519983
575,0.00637387
576,0.00773765
577,0.00944057
578,0.011505
579,0.0139893
580,0.0170251
581,0.0206943
582,0.0252732
583,0.0308733
584,0.0379175
585,0.0466554
586,0.0575317
587,0.0712782
588,0.0891086
589,0.11138
590,0.139983
591,0.175491
592,0.221637
593,0.278252
594,0.34588
595,0.426224
596,0.515438
597,0.610303
598,0.702431
599,0.783841
600,0.853869
601,0.904285
602,0.940027
603,0.963331
604,0.975021
605,0.978026
606,0.979353
607,0.97887
608,0.977336
609,0.974449
610,0.974905
611,0.974786
612,0.975323
613,0.97725
614,0.978152
615,0.97905
616,0.978337
617,0.977442
618,0.980419
619,0.97942
620,0.977283
621,0.973507
622,0.975653
623,0.973876
624,0.974725
625,0.974884
626,0.975636
627,0.976836
628,0.978207
629,0.980293
630,0.980945
631,0.981944
632,0.983133
633,0.985597
634,0.985354
635,0.984749
636,0.985167
637,0.984242
638,0.985097
639,0.984282
640,0.982356
641,0.983716
642,0.980159
643,0.980044
644,0.975686
645,0.974944
646,0.975087
647,0.973567
648,0.972033
649,0.974201
650,0.974426
651,0.976948
652,0.977665
653,0.978605
654,0.97965
655,0.979895
656,0.982202
657,0.979186
658,0.979241
659,0.979297
660,0.976791
661,0.977887
662,0.976187
663,0.977246
664,0.977078
665,0.976537
666,0.974907
667,0.979269
668,0.979403
669,0.978507
670,0.979592
671,0.979065
672,0.977065
673,0.976843
674,0.976168
675,0.976459
676,0.977136
677,0.978031
678,0.978504
679,0.979292
680,0.980595
681,0.981238
682,0.980618
683,0.979417
684,0.978525
685,0.976144
686,0.978292
687,0.97765
688,0.979777
689,0.975515
690,0.963377
691,0.940715
692,0.897018
693,0.826218
694,0.730095
695,0.622711
696,0.510181
697,0.408718
698,0.321643
699,0.251853
700,0.197929
701,0.155894
702,0.123175
703,0.0990945
704,0.080242
705,0.065485
706,0.0537388
707,0.0442035
708,0.0365129
709,0.0300283
710,0.0246887
711,0.0202145
712,0.0164826
713,0.01338
714,0.0108279
715,0.0087474
716,0.0070613
717,0.00569707
718,0.00464653
719,0.00378583
720,0.00310511
721,0.00257484
722,0.00214779
723,0.00180238
724,0.00153832
725,0.00131008
726,0.00114074
727,0.000994041
728,0.000874249
729,0.000784682
730,0.000697644
731,0.000632765
