# name: Optolong Blue
# kind: filter
# channel: blue
# manufacturer: Optolong
# source: https://gitlab.com/free-astro/siril-spcc-database/-/blob/main/mono_filters/Optolong_RGB.json
# origin: Scanned from OEM transmittance plot
# license: GPL-3.0-or-later
wavelength_nm,value
378,0.487103
382,0.641832
384,0.702067
386,0.747306
388,0.792559
390,0.822237
392,0.84495
394,0.871089
396,0.889818
398,0.90034
400,0.900255
402,0.911452
404,0.932061
406,0.943272
408,0.942841
410,0.931497
412,0.932145
414,0.949223
416,0.958034
418,0.958862
420,0.96115
422,0.95695
424,0.950615
426,0.958319
428,0.964633
430,0.962691
432,0.963774
434,0.964245
436,0.963791
438,0.961815
440,0.961697
442,0.968066
444,0.969004
446,0.96647
448,0.968639
450,0.965631
452,0.961919
454,0.965998
456,0.968974
458,0.961068
460,0.960942
462,0.962811
464,0.959943
466,0.961922
468,0.9626
470,0.964021
472,0.9676
474,0.963836
476,0.960556
478,0.966053
480,0.964567
482,0.954384
484,0.956556
486,0.963683
488,0.966899
490,0.959314
492,0.952424
494,0.958815
496,0.95878
498,0.950698
500,0.9508
502,0.932266
504,0.852827
506,0.716573
508,0.544945
510,0.326982
512,0.138395
514,0.044799
516,0.014681
518,0.004195
520,0
702,0
