# name: Optolong Green
# kind: filter
# channel: green
# manufacturer: Optolong
# source: https://gitlab.com/free-astro/siril-spcc-database/-/blob/main/mono_filters/Optolong_RGB.json
# origin: Scanned from OEM transmittance plot
# license: GPL-3.0-or-later
wavelength_nm,value
378,0
472,0
474,0.00211
476,0.031464
478,0.098462
480,0.282547
482,0.428682
484,0.579431
486,0.70095
488,0.783954
490,0.824455
492,0.860767
494,0.897699
496,0.913057
498,0.922797
500,0.94429
502,0.958425
504,0.966152
506,0.966793
508,0.966125
510,0.968089
512,0.96738
514,0.968383
516,0.965945
518,0.967077
520,0.965016
522,0.964923
524,0.967084
526,0.964595
528,0.964797
530,0.966811
532,0.966968
534,0.965919
536,0.969215
538,0.971862
540,0.969491
542,0.966879
544,0.968857
546,0.965309
548,0.965128
550,0.962766
552,0.956522
554,0.950539
556,0.947976
558,0.9423
560,0.890753
562,0.672564
564,0.274385
566,0.067188
568,0.010192
570,0
702,0
