# name: Optolong Red
# kind: filter
# channel: red
# manufacturer: Optolong
# source: https://gitlab.com/free-astro/siril-spcc-database/-/blob/main/mono_filters/Optolong_RGB.json
# origin: Scanned from OEM transmittance plot
# license: GPL-3.0-or-later
wavelength_nm,value
378,0
572,0
574,0.02392
576,0.064858
578,0.119023
580,0.272804
582,0.372528
584,0.630103
586,0.817813
588,0.941956
590,0.971376
592,0.967548
594,0.972185
596,0.973656
598,0.972037
600,0.972571
602,0.971647
604,0.967951
606,0.970224
608,0.968007
610,0.96926
612,0.970465
614,0.966566
616,0.966465
618,0.967856
620,0.969271
622,0.969676
624,0.966155
626,0.967553
628,0.967322
630,0.968854
632,0.966806
634,0.967249
636,0.968454
638,0.968244
640,0.966644
642,0.966334
644,0.969328
646,0.969359
648,0.968264
650,0.966955
652,0.965487
654,0.968318
656,0.968753
658,0.970422
660,0.972236
662,0.973576
664,0.973862
666,0.973514
668,0.974338
670,0.975678
672,0.976927
674,0.974341
676,0.964257
678,0.96429
680,0.960805
682,0.956705
684,0.901116
686,0.672745
688,0.371317
690,0.191692
692,0.107868
694,0.025254
696,0.014725
698,0.006082
702,0
