# name: SDSS g
# kind: filter
# channel: blue green
# manufacturer: Standard Sloan SDSS photometric series
# source: https://gitlab.com/free-astro/siril-spcc-database/-/blob/main/mono_filters/SDSS.json
# origin: High resolution tabulated data from https://chroma.com
# license: GPL-3.0-or-later
wavelength_nm,value
300.5,9.5e-07
301,9.5e-07
301.5,9.5e-07
302,9.5e-07
302.5,9.5e-07
303,9.5e-07
303.5,9.5e-07
304,9.5e-07
304.5,9.5e-07
305,9.5e-07
305.5,9.5e-07
306,9.5e-07
306.5,9.5e-07
307,9.5e-07
307.5,9.5e-07
308,9.5e-07
308.5,9.5e-07
309,9.5e-07
309.5,9.5e-07
310,9.5e-07
310.5,9.5e-07
311,9.5e-07
311.5,9.5e-07
312,9.5e-07
312.5,9.5e-07
313,9.5e-07
313.5,9.5e-07
314,9.5e-07
314.5,9.5e-07
315,9.5e-07
315.5,9.5e-07
316,9.5e-07
316.5,9.5e-07
317,9.5e-07
317.5,9.5e-07
318,9.5e-07
318.5,9.5e-07
319,9.5e-07
319.5,9.5e-07
320,9.5e-07
320.5,9.5e-07
321,9.5e-07
321.5,9.5e-07
322,9.95e-07
322.5,9.5e-07
323,9.5e-07
323.5,1.06e-06
324,9.5e-07
324.5,9.5e-07
325,9.5e-07
325.5,1.22e-06
326,9.5e-07
326.5,9.5e-07
327,9.5e-07
327.5,9.5e-07
328,9.5e-07
328.5,9.5e-07
329,9.5e-07
329.5,9.5e-07
330,9.5e-07
330.5,9.5e-07
331,9.5e-07
331.5,9.5e-07
332,9.5e-07
332.5,9.5e-07
333,9.5e-07
333.5,9.5e-07
334,1.1e-06
334.5,9.5e-07
335,1.07e-06
335.5,9.5e-07
336,1.12e-06
336.5,9.5e-07
337,1.27e-06
337.5,9.5e-07
338,1.06e-06
338.5,1.32e-06
339,9.5e-07
339.5,9.5e-07
340,9.5e-07
340.5,1.95e-06
341,9.5e-07
341.5,5.04e-06
342,5.1e-06
342.5,7.82e-06
343,1.67e-05
343.5,3.17e-05
344,6.16e-05
344.5,0.000113376
345,0.000203253
345.5,0.000335153
346,0.000474439
346.5,0.000577891
347,0.000569009
347.5,0.000459212
348,0.000315472
348.5,0.000190666
349,0.000123238
349.5,9.73e-05
350,8.55e-05
350.5,6.67e-05
351,5.32e-05
351.5,4.82e-05
352,5.89e-05
352.5,7.02e-05
353,7.83e-05
353.5,6.38e-05
354,4.54e-05
354.5,2.6e-05
355,1.04e-05
355.5,4e-06
356,2.75e-06
356.5,9.5e-07
357,1.08e-06
357.5,9.74e-07
358,1.12e-06
358.5,1.15e-06
359,1.75e-06
359.5,1.44e-06
360,3.68e-06
360.5,8.63e-06
361,1.83e-05
361.5,2.03e-05
362,1.9e-05
362.5,3.89e-05
363,0.000101547
363.5,0.00014834
364,0.00011543
364.5,0.000101823
365,0.00016732
365.5,0.000178161
366,9.83e-05
366.5,1.67e-05
367,3.51e-06
367.5,1.77e-06
368,1.9e-06
368.5,1.7e-06
369,1.48e-06
369.5,4.94e-06
370,1.51e-05
370.5,1.83e-05
371,9.53e-06
371.5,2.98e-06
372,2.66e-06
372.5,2.13e-06
373,2.92e-06
373.5,3.77e-06
374,5.22e-06
374.5,7.28e-06
375,5.31e-06
375.5,3.38e-06
376,1.34e-06
376.5,9.5e-07
377,1.09e-06
377.5,9.5e-07
378,1.19e-06
378.5,9.5e-07
379,9.5e-07
379.5,1.02e-06
380,9.79e-07
380.5,1.18e-06
381,1.31e-06
381.5,2.72e-06
382,6.41e-06
382.5,6.08e-06
383,3.24e-06
383.5,1.28e-06
384,1.09e-06
384.5,9.5e-07
385,9.5e-07
385.5,1.27e-06
386,9.5e-07
386.5,9.5e-07
387,1.07e-06
387.5,9.5e-07
388,9.71e-07
388.5,1.49e-06
389,1.64e-06
389.5,2.56e-06
390,8.35e-06
390.5,7.43e-05
391,0.000226591
391.5,0.000287892
392,0.000170031
392.5,8.3e-05
393,8.74e-05
393.5,0.000150281
394,0.000339738
394.5,0.000983483
395,0.00387896
395.5,0.0224103
396,0.149871
396.5,0.445154
397,0.694768
397.5,0.786451
398,0.846648
398.5,0.919183
399,0.95338
399.5,0.961543
400,0.963817
400.5,0.965376
401,0.966874
401.5,0.968106
402,0.969193
402.5,0.970205
403,0.970721
403.5,0.971657
404,0.972494
404.5,0.973305
405,0.97345
405.5,0.974216
406,0.974909
406.5,0.974856
407,0.976216
407.5,0.975991
408,0.97629
408.5,0.976603
409,0.976051
409.5,0.97635
410,0.976949
410.5,0.978125
411,0.978657
411.5,0.978384
412,0.978429
412.5,0.978117
413,0.978572
413.5,0.977727
414,0.977955
414.5,0.97785
415,0.978532
415.5,0.979829
416,0.981341
416.5,0.981119
417,0.981342
417.5,0.98166
418,0.980457
418.5,0.979339
419,0.977921
419.5,0.976811
420,0.976304
420.5,0.976435
421,0.977969
421.5,0.979908
422,0.98175
422.5,0.982737
423,0.983537
423.5,0.983315
424,0.984011
424.5,0.983912
425,0.98437
425.5,0.984227
426,0.983739
426.5,0.983502
427,0.983569
427.5,0.983581
428,0.984171
428.5,0.984494
429,0.984078
429.5,0.984669
430,0.984739
430.5,0.984612
431,0.985299
431.5,0.985603
432,0.984702
432.5,0.98508
433,0.984286
433.5,0.983603
434,0.982964
434.5,0.983464
435,0.983538
435.5,0.982835
436,0.9829
436.5,0.983425
437,0.983904
437.5,0.983463
438,0.9841
438.5,0.984736
439,0.984909
439.5,0.986062
440,0.986559
440.5,0.987152
441,0.987181
441.5,0.987036
442,0.987076
442.5,0.986924
443,0.98721
443.5,0.987256
444,0.987298
444.5,0.98713
445,0.987163
445.5,0.987324
446,0.987161
446.5,0.98706
447,0.987275
447.5,0.987671
448,0.987328
448.5,0.987515
449,0.987689
449.5,0.987951
450,0.988018
450.5,0.988525
451,0.988821
451.5,0.988296
452,0.988812
452.5,0.989434
453,0.98859
453.5,0.989096
454,0.988523
454.5,0.988886
455,0.988081
455.5,0.987369
456,0.987111
456.5,0.986944
457,0.987058
457.5,0.987477
458,0.988531
458.5,0.98852
459,0.989111
459.5,0.988631
460,0.98834
460.5,0.987747
461,0.987052
461.5,0.986998
462,0.986875
462.5,0.987102
463,0.986773
463.5,0.986892
464,0.986561
464.5,0.986273
465,0.986061
465.5,0.985556
466,0.98639
466.5,0.985919
467,0.98632
467.5,0.986577
468,0.987239
468.5,0.988119
469,0.988444
469.5,0.989061
470,0.989143
470.5,0.988868
471,0.988416
471.5,0.988008
472,0.987032
472.5,0.986551
473,0.986455
473.5,0.986061
474,0.985644
474.5,0.986323
475,0.986434
475.5,0.987046
476,0.98757
476.5,0.987742
477,0.988891
477.5,0.989375
478,0.989719
478.5,0.990028
479,0.990111
479.5,0.990474
480,0.990239
480.5,0.990058
481,0.989646
481.5,0.989781
482,0.990129
482.5,0.990011
483,0.990058
483.5,0.989964
484,0.990117
484.5,0.990204
485,0.989786
485.5,0.989801
486,0.989564
486.5,0.989976
487,0.989254
487.5,0.989277
488,0.989117
488.5,0.989091
489,0.98928
489.5,0.989615
490,0.990354
490.5,0.990476
491,0.990209
491.5,0.990186
492,0.989971
492.5,0.989697
493,0.988735
493.5,0.988644
494,0.987971
494.5,0.988295
495,0.988614
495.5,0.988502
496,0.988513
496.5,0.988925
497,0.988446
497.5,0.988973
498,0.988732
498.5,0.98893
499,0.989554
499.5,0.989961
500,0.989934
500.5,0.988756
501,0.987601
501.5,0.985216
502,0.982926
502.5,0.980986
503,0.978856
503.5,0.977517
504,0.978034
504.5,0.978577
505,0.980259
505.5,0.982175
506,0.984371
506.5,0.986233
507,0.987991
507.5,0.98927
508,0.990004
508.5,0.989982
509,0.989761
509.5,0.988917
510,0.988076
510.5,0.987208
511,0.986393
511.5,0.985509
512,0.984884
512.5,0.985433
513,0.985421
513.5,0.986277
514,0.986926
514.5,0.987343
515,0.987761
515.5,0.988304
516,0.988415
516.5,0.988654
517,0.988774
517.5,0.989064
518,0.989484
518.5,0.989559
519,0.989207
519.5,0.988172
520,0.986666
520.5,0.984197
521,0.98198
521.5,0.979934
522,0.978335
522.5,0.977374
523,0.977292
523.5,0.978027
524,0.979728
524.5,0.981642
525,0.983335
525.5,0.984596
526,0.985971
526.5,0.986293
527,0.987043
527.5,0.987493
528,0.987824
528.5,0.987485
529,0.987522
529.5,0.987003
530,0.986601
530.5,0.985535
531,0.984299
531.5,0.98423
532,0.983839
532.5,0.984171
533,0.98501
533.5,0.985463
534,0.985547
534.5,0.985714
535,0.985528
535.5,0.98565
536,0.986036
536.5,0.986559
537,0.987217
