# name: SDSS i
# kind: filter
# channel: red
# manufacturer: Standard Sloan SDSS photometric series
# source: https://gitlab.com/free-astro/siril-spcc-database/-/blob/main/mono_filters/SDSS.json
# origin: High resolution tabulated data from https://chroma.com
# license: GPL-3.0-or-later
wavelength_nm,value
301,9.5e-07
302,9.5e-07
303,9.6e-07
304,9.5e-07
305,9.5e-07
306,9.5e-07
307,9.5e-07
308,9.5e-07
309,9.5e-07
310,9.5e-07
311,9.5e-07
312,9.5e-07
313,9.5e-07
314,9.5e-07
315,9.5e-07
316,9.5e-07
317,9.5e-07
318,9.5e-07
319,9.5e-07
320,9.5e-07
321,9.5e-07
322,9.5e-07
323,9.5e-07
324,9.5e-07
325,9.5e-07
326,9.5e-07
327,9.5e-07
328,9.5e-07
329,9.5e-07
330,9.5e-07
331,9.5e-07
332,9.5e-07
333,9.5e-07
334,9.5e-07
335,9.5e-07
336,9.5e-07
337,9.5e-07
338,9.5e-07
339,9.5e-07
340,9.5e-07
341,9.5e-07
342,9.5e-07
343,9.5e-07
344,9.5e-07
345,9.5e-07
346,9.5e-07
347,9.5e-07
348,5.36e-06
349,3.25e-05
350,7.41e-05
351,7.22e-05
352,4.61e-05
353,5e-05
354,5.43e-05
355,2.96e-05
356,1.68e-05
357,2.14e-05
358,1.03e-05
359,9.89e-06
360,2.17e-05
361,1.54e-05
362,2.92e-06
363,2.94e-06
364,2.24e-06
365,2.14e-06
366,2.72e-06
367,4.42e-06
368,6.16e-06
369,7.19e-06
370,3.05e-06
371,4.01e-06
372,5.72e-06
373,3.95e-06
374,7.11e-06
375,2.59e-06
376,9.5e-07
377,4.5e-06
378,8.56e-06
379,9.5e-07
380,9.5e-07
381,9.5e-07
382,1.08e-06
383,5.27e-06
384,2.33e-06
385,2.38e-06
386,1.71e-06
387,2.52e-06
388,1.78e-06
389,1.45e-06
390,2.1e-06
391,9.5e-07
392,9.5e-07
393,9.5e-07
394,1.85e-06
395,9.5e-07
396,9.5e-07
397,1.57e-06
398,3.45e-06
399,3.23e-06
400,1.25e-06
401,9.5e-07
402,2.1e-06
403,4.88e-06
404,3.36e-06
405,7.99e-06
406,9.5e-07
407,9.5e-07
408,9.5e-07
409,3.94e-06
410,5.49e-06
411,1.22e-06
412,1.12e-06
413,1.3e-06
414,9.5e-07
415,9.33e-06
416,1.05e-05
417,9.5e-07
418,9.5e-07
419,9.5e-07
420,2.59e-06
421,3.64e-06
422,9.5e-07
423,1.93e-06
424,9.5e-07
425,9.5e-07
426,2.27e-06
427,4.33e-06
428,1.29e-05
429,4.57e-06
430,5.35e-06
431,5.41e-06
432,3.51e-05
433,3.12e-06
434,9.5e-07
435,9.5e-07
436,9.5e-07
437,9.5e-07
438,9.5e-07
439,9.5e-07
440,9.5e-07
441,9.5e-07
442,9.5e-07
443,9.5e-07
444,9.5e-07
445,9.5e-07
446,9.5e-07
447,9.5e-07
448,9.5e-07
449,9.5e-07
450,9.5e-07
451,9.5e-07
452,9.5e-07
453,9.5e-07
454,9.5e-07
455,9.5e-07
456,9.5e-07
457,9.5e-07
458,1.42e-05
459,1.15e-05
460,9.5e-07
461,9.5e-07
462,9.5e-07
463,4.57e-06
464,9.4e-06
465,9.5e-07
466,9.5e-07
467,9.5e-07
468,1.03e-06
469,1.6e-06
470,9.5e-07
471,9.5e-07
472,1.99e-06
473,5.58e-05
474,4.99e-06
475,9.5e-07
476,9.5e-07
477,9.5e-07
478,8.98e-06
479,4.73e-06
480,9.5e-07
481,8.9e-06
482,3.48e-06
483,9.5e-07
484,9.5e-07
485,9.5e-07
486,1.1e-05
487,1.38e-06
488,9.5e-07
489,9.5e-07
490,9.5e-07
491,9.5e-07
492,3.44e-06
493,9.5e-07
494,3.4e-06
495,9.5e-07
496,9.5e-07
