# name: SDSS r
# kind: filter
# channel: green red
# manufacturer: Standard Sloan SDSS photometric series
# source: https://gitlab.com/free-astro/siril-spcc-database/-/blob/main/mono_filters/SDSS.json
# origin: High resolution tabulated data from https://chroma.com
# license: GPL-3.0-or-later
wavelength_nm,value
301,9.5e-07
302,1.03e-06
303,9.5e-07
304,9.5e-07
305,9.5e-07
306,9.5e-07
307,9.5e-07
308,9.5e-07
309,9.5e-07
310,9.5e-07
311,9.5e-07
312,9.5e-07
313,9.5e-07
314,9.5e-07
315,9.5e-07
316,9.5e-07
317,9.5e-07
318,9.5e-07
319,9.5e-07
320,2.65e-06
321,1.51e-06
322,2.58e-06
323,1.85e-06
324,2.57e-06
325,2.9e-06
326,2.44e-06
327,2.36e-06
328,2.52e-06
329,9.5e-07
330,2.37e-06
331,3.62e-06
332,9.5e-07
333,1.76e-06
334,2.34e-06
335,9.5e-07
336,1.87e-06
337,9.5e-07
338,2.62e-06
339,1.67e-06
340,5.04e-06
341,1.6e-06
342,2.77e-06
343,3.08e-06
344,2.09e-06
345,2.11e-06
346,2.27e-06
347,1.52e-06
348,9.5e-07
349,9.5e-07
350,3.37e-06
351,1.57e-06
352,1.26e-06
353,3.39e-06
354,2.88e-06
355,3.64e-06
356,3.82e-06
357,6.51e-06
358,5.94e-06
359,1.75e-05
360,1.19e-05
361,6e-06
362,7.68e-06
363,1.53e-06
364,1.04e-06
365,1.03e-06
366,2.08e-06
367,1.11e-06
368,1.35e-06
369,1.94e-06
370,1.47e-06
371,1.46e-06
372,6.39e-06
373,2.86e-06
374,1.7e-06
375,9.5e-07
376,9.5e-07
377,9.5e-07
378,9.5e-07
379,1.36e-06
380,9.5e-07
381,1.77e-06
382,1.36e-06
383,1.32e-06
384,1.55e-06
385,1.06e-06
386,9.5e-07
387,9.5e-07
388,9.5e-07
389,1.01e-06
390,1.36e-06
391,9.5e-07
392,1.31e-06
393,2.73e-06
394,2.24e-06
395,1.87e-06
396,9.5e-07
397,9.5e-07
398,9.5e-07
399,3.05e-06
400,1.35e-05
401,1.06e-06
402,1.17e-06
403,1.05e-06
404,1.1e-06
405,9.5e-07
406,1.8e-06
407,9.5e-07
408,4.14e-06
409,9.5e-07
410,9.5e-07
411,9.5e-07
412,2e-06
413,9.5e-07
414,9.5e-07
415,9.5e-07
416,9.5e-07
417,9.5e-07
418,9.5e-07
419,9.66e-07
420,9.5e-07
421,9.5e-07
422,9.5e-07
423,9.5e-07
424,9.5e-07
425,9.5e-07
426,9.5e-07
427,9.5e-07
428,9.5e-07
429,9.5e-07
430,1.83e-06
431,1.31e-06
432,9.5e-07
433,9.5e-07
434,9.5e-07
435,9.5e-07
436,9.5e-07
437,1.22e-06
438,9.5e-07
439,9.5e-07
440,9.5e-07
441,9.5e-07
442,9.5e-07
443,9.5e-07
444,9.5e-07
445,9.5e-07
446,9.5e-07
447,9.5e-07
448,1.62e-05
449,7.05e-06
450,1.16e-06
451,9.5e-07
452,9.5e-07
453,9.5e-07
454,9.5e-07
455,9.5e-07
456,9.5e-07
457,1.15e-05
458,9.5e-07
459,9.5e-07
460,9.5e-07
461,9.5e-07
462,9.5e-07
463,9.5e-07
464,9.5e-07
465,9.5e-07
466,9.5e-07
467,9.5e-07
468,9.5e-07
469,9.5e-07
470,9.5e-07
471,9.5e-07
472,9.5e-07
473,9.5e-07
474,9.5e-07
475,9.5e-07
476,9.5e-07
477,9.5e-07
478,9.5e-07
479,9.5e-07
480,9.5e-07
481,1.73e-06
482,9.5e-07
483,9.5e-07
484,9.5e-07
485,9.5e-07
486,9.5e-07
487,9.5e-07
488,1.69e-06
489,9.5e-07
490,9.5e-07
491,9.5e-07
492,9.5e-07
493,9.5e-07
494,9.5e-07
495,9.5e-07
496,9.5e-07
497,9.5e-07
498,9.5e-07
499,9.5e-07
500,9.5e-07
501,9.5e-07
502,9.5e-07
503,9.5e-07
504,9.5e-07
505,9.5e-07
506,9.5e-07
507,9.5e-07
508,9.5e-07
509,9.5e-07
510,9.5e-07
511,9.5e-07
512,9.5e-07
513,9.5e-07
514,9.5e-07
515,9.5e-07
516,9.5e-07
517,9.5e-07
518,9.5e-07
519,2.24e-06
520,9.5e-07
521,9.5e-07
522,9.5e-07
523,2.89e-06
524,9.5e-07
525,9.5e-07
526,9.5e-07
527,9.5e-07
528,9.5e-07
529,9.5e-07
530,9.5e-07
531,9.5e-07
532,9.5e-07
533,2.03e-06
534,1.85e-06
535,2.18e-06
536,6.11e-06
537,2.09e-06
538,9.5e-07
539,9.5e-07
540,9.5e-07
541,9.5e-07
542,9.5e-07
543,9.5e-07
544,9.5e-07
545,9.5e-07
546,1.01e-06
547,1.73e-06
548,4.17e-06
549,1.15e-05
550,4.41e-05
551,0.000202867
552,0.00130164
553,0.0136713
554,0.251571
555,0.958244
556,0.98809
557,0.986935
558,0.985421
559,0.997306
560,0.986079
561,0.989179
562,0.994012
563,0.990467
564,0.981443
565,0.990924
566,0.991421
567,0.983295
568,0.984635
569,0.990043
570,0.99205
