# name: SDSS u
# kind: filter
# channel: uv
# manufacturer: Standard Sloan SDSS photometric series
# source: https://gitlab.com/free-astro/siril-spcc-database/-/blob/main/mono_filters/SDSS.json
# origin: High resolution tabulated data from https://chroma.com
# license: GPL-3.0-or-later
wavelength_nm,value
300.5,4.82e-06
301,1.01e-05
301.5,1.02e-05
302,6.64e-06
302.5,1.61e-06
303,9.5e-07
303.5,9.5e-07
304,9.5e-07
304.5,1.64e-06
305,2.8e-06
305.5,4.38e-06
306,3.65e-06
306.5,3.27e-06
307,1.29e-06
307.5,1.26e-06
308,3.36e-06
308.5,6.41e-06
309,7.64e-06
309.5,4.26e-06
310,1.89e-06
310.5,9.5e-07
311,9.5e-07
311.5,9.5e-07
312,9.5e-07
312.5,3.04e-06
313,1.39e-05
313.5,6.08e-05
314,0.000110846
314.5,0.000104977
315,4.85e-05
315.5,9.2e-06
316,7.42e-06
316.5,1.39e-05
317,1.53e-05
317.5,2.89e-05
318,7.9e-05
318.5,0.000207948
319,0.00105646
319.5,0.0387766
320,0.1992
320.5,0.464577
321,0.671112
321.5,0.734681
322,0.749017
322.5,0.799139
323,0.843666
323.5,0.853967
324,0.852178
324.5,0.850003
325,0.851057
325.5,0.866272
326,0.875703
326.5,0.882674
327,0.888724
327.5,0.886864
328,0.88972
328.5,0.892782
329,0.90275
329.5,0.910981
330,0.903827
330.5,0.911061
331,0.907498
331.5,0.907254
332,0.911731
332.5,0.911728
333,0.915103
333.5,0.925744
334,0.933665
334.5,0.933732
335,0.933112
335.5,0.931493
336,0.936956
336.5,0.936884
337,0.94171
337.5,0.943688
338,0.945257
338.5,0.939403
339,0.935476
339.5,0.93484
340,0.933569
340.5,0.939961
341,0.948637
341.5,0.951221
342,0.948443
342.5,0.945213
343,0.94999
343.5,0.954551
344,0.952959
344.5,0.94288
345,0.93477
345.5,0.929761
346,0.931486
346.5,0.9445
347,0.949015
347.5,0.954002
348,0.959259
348.5,0.961377
349,0.959877
349.5,0.960336
350,0.964013
350.5,0.963321
351,0.958474
351.5,0.958691
352,0.961348
352.5,0.962238
353,0.966078
353.5,0.967228
354,0.964128
354.5,0.966441
355,0.96227
355.5,0.959722
356,0.954661
356.5,0.956211
357,0.959214
357.5,0.964348
358,0.969627
358.5,0.970208
359,0.966335
