# name: SDSS z
# kind: filter
# channel: ir
# manufacturer: Standard Sloan SDSS photometric series
# source: https://gitlab.com/free-astro/siril-spcc-database/-/blob/main/mono_filters/SDSS.json
# origin: High resolution tabulated data from https://chroma.com
# license: GPL-3.0-or-later
wavelength_nm,value
300.5,9.5e-07
301,9.5e-07
301.5,9.5e-07
302,9.5e-07
302.5,9.5e-07
303,9.5e-07
303.5,9.5e-07
304,9.5e-07
304.5,9.5e-07
305,9.5e-07
305.5,9.5e-07
306,9.5e-07
306.5,9.5e-07
307,9.5e-07
307.5,9.5e-07
308,9.5e-07
308.5,9.5e-07
309,9.5e-07
309.5,9.5e-07
310,9.5e-07
310.5,9.5e-07
311,9.5e-07
311.5,9.5e-07
312,9.5e-07
312.5,9.5e-07
313,9.5e-07
313.5,9.5e-07
314,9.5e-07
314.5,9.5e-07
315,9.5e-07
315.5,9.5e-07
316,9.5e-07
316.5,9.5e-07
317,9.5e-07
317.5,9.5e-07
318,9.5e-07
318.5,9.5e-07
319,9.5e-07
319.5,9.5e-07
320,9.5e-07
320.5,9.5e-07
321,9.5e-07
321.5,9.5e-07
322,9.5e-07
322.5,9.5e-07
323,9.5e-07
323.5,9.5e-07
324,9.5e-07
324.5,9.5e-07
325,9.5e-07
325.5,9.5e-07
326,9.5e-07
326.5,9.5e-07
327,9.5e-07
327.5,9.5e-07
328,9.5e-07
328.5,9.5e-07
329,9.5e-07
329.5,9.5e-07
330,9.5e-07
330.5,9.5e-07
331,9.5e-07
331.5,9.5e-07
332,9.5e-07
332.5,9.5e-07
333,9.5e-07
333.5,9.5e-07
334,9.5e-07
334.5,9.5e-07
335,9.5e-07
335.5,9.5e-07
336,9.5e-07
336.5,9.5e-07
337,9.5e-07
337.5,9.5e-07
338,9.5e-07
338.5,9.5e-07
339,9.5e-07
339.5,9.5e-07
340,9.5e-07
340.5,9.5e-07
341,9.5e-07
341.5,9.5e-07
342,9.5e-07
342.5,9.5e-07
343,9.5e-07
343.5,9.5e-07
344,9.5e-07
344.5,9.5e-07
345,9.5e-07
345.5,9.5e-07
346,9.5e-07
346.5,9.5e-07
347,9.5e-07
347.5,9.5e-07
348,9.5e-07
348.5,9.5e-07
349,9.5e-07
349.5,9.5e-07
350,9.5e-07
350.5,9.5e-07
351,9.5e-07
351.5,9.5e-07
352,9.5e-07
352.5,9.5e-07
353,9.5e-07
353.5,1.08e-06
354,9.5e-07
354.5,9.5e-07
355,9.5e-07
355.5,9.79e-07
356,9.5e-07
356.5,9.5e-07
357,9.5e-07
357.5,9.5e-07
358,9.5e-07
358.5,9.5e-07
359,9.5e-07
359.5,9.5e-07
360,9.5e-07
360.5,9.5e-07
361,9.5e-07
361.5,9.5e-07
362,9.5e-07
362.5,9.5e-07
363,9.5e-07
363.5,9.5e-07
364,9.5e-07
364.5,9.5e-07
365,9.5e-07
365.5,9.5e-07
366,9.5e-07
366.5,9.5e-07
367,9.5e-07
367.5,9.5e-07
368,9.5e-07
368.5,9.5e-07
369,9.5e-07
369.5,9.5e-07
370,1.07e-06
370.5,9.5e-07
371,9.5e-07
371.5,9.5e-07
372,9.5e-07
372.5,9.75e-07
373,1.01e-06
373.5,1.04e-06
374,9.5e-07
374.5,9.5e-07
375,1.34e-06
375.5,9.5e-07
376,9.5e-07
376.5,9.5e-07
377,9.5e-07
377.5,9.5e-07
378,9.5e-07
378.5,9.5e-07
379,9.5e-07
379.5,9.5e-07
380,9.5e-07
380.5,9.5e-07
381,9.5e-07
381.5,9.5e-07
382,9.5e-07
382.5,9.5e-07
383,9.5e-07
383.5,9.5e-07
384,9.5e-07
384.5,9.5e-07
385,9.5e-07
385.5,9.5e-07
386,9.5e-07
386.5,9.5e-07
387,9.5e-07
387.5,9.5e-07
388,9.5e-07
388.5,9.5e-07
389,9.5e-07
389.5,9.5e-07
390,9.5e-07
390.5,9.5e-07
391,9.5e-07
391.5,9.5e-07
392,9.5e-07
392.5,9.5e-07
393,9.5e-07
393.5,9.5e-07
394,9.5e-07
394.5,9.5e-07
395,9.5e-07
395.5,9.5e-07
396,9.5e-07
396.5,9.5e-07
397,9.5e-07
397.5,9.5e-07
398,9.5e-07
398.5,9.5e-07
399,9.5e-07
399.5,9.5e-07
400,9.5e-07
400.5,9.5e-07
401,9.5e-07
401.5,9.5e-07
402,9.5e-07
402.5,9.5e-07
403,9.5e-07
403.5,9.5e-07
404,9.5e-07
404.5,9.5e-07
405,9.5e-07
405.5,9.5e-07
406,9.5e-07
406.5,9.5e-07
407,9.5e-07
407.5,9.5e-07
408,9.5e-07
408.5,9.5e-07
409,9.5e-07
409.5,9.5e-07
410,9.5e-07
410.5,9.5e-07
411,9.5e-07
411.5,9.5e-07
412,9.5e-07
412.5,9.5e-07
413,9.5e-07
413.5,9.5e-07
414,9.5e-07
414.5,9.5e-07
415,9.5e-07
415.5,9.5e-07
416,9.5e-07
416.5,9.5e-07
417,9.5e-07
417.5,9.5e-07
418,9.5e-07
418.5,9.5e-07
419,9.5e-07
419.5,9.5e-07
420,9.5e-07
420.5,9.5e-07
421,9.5e-07
421.5,9.5e-07
422,9.5e-07
422.5,9.5e-07
423,9.5e-07
423.5,9.5e-07
424,9.5e-07
424.5,9.5e-07
425,9.5e-07
425.5,9.5e-07
426,9.5e-07
426.5,9.5e-07
427,9.5e-07
427.5,9.5e-07
428,9.5e-07
428.5,9.5e-07
429,9.5e-07
429.5,9.5e-07
430,9.5e-07
430.5,9.5e-07
431,9.5e-07
431.5,9.5e-07
432,9.5e-07
432.5,9.5e-07
433,9.5e-07
433.5,9.5e-07
434,9.5e-07
434.5,9.5e-07
435,9.5e-07
435.5,9.5e-07
436,9.5e-07
436.5,9.5e-07
437,9.5e-07
437.5,9.5e-07
438,9.5e-07
438.5,9.5e-07
439,9.5e-07
439.5,9.5e-07
440,9.5e-07
440.5,9.5e-07
441,9.5e-07
441.5,9.5e-07
442,9.5e-07
442.5,9.5e-07
443,9.5e-07
443.5,9.5e-07
444,9.5e-07
444.5,9.5e-07
445,9.5e-07
445.5,9.5e-07
446,9.5e-07
446.5,9.5e-07
447,9.5e-07
447.5,9.5e-07
448,9.5e-07
448.5,9.5e-07
449,9.5e-07
449.5,9.5e-07
450,9.5e-07
450.5,9.5e-07
451,9.5e-07
451.5,9.5e-07
452,9.5e-07
452.5,9.5e-07
453,9.5e-07
453.5,9.5e-07
454,9.5e-07
454.5,9.5e-07
455,9.5e-07
455.5,9.5e-07
456,9.5e-07
456.5,9.5e-07
457,9.5e-07
457.5,9.5e-07
458,9.5e-07
458.5,9.5e-07
459,9.5e-07
459.5,9.5e-07
460,9.5e-07
460.5,9.5e-07
461,9.5e-07
461.5,9.5e-07
462,9.5e-07
462.5,9.5e-07
463,9.5e-07
463.5,9.5e-07
464,9.5e-07
464.5,9.5e-07
465,9.5e-07
465.5,9.5e-07
466,9.5e-07
466.5,9.5e-07
467,9.5e-07
467.5,9.5e-07
468,9.5e-07
468.5,9.5e-07
469,9.5e-07
469.5,9.5e-07
470,9.5e-07
470.5,9.5e-07
471,9.5e-07
471.5,9.5e-07
472,9.5e-07
472.5,9.5e-07
473,9.5e-07
473.5,9.5e-07
474,1.12e-06
474.5,1.88e-06
475,1.69e-06
475.5,9.5e-07
476,9.5e-07
476.5,9.5e-07
477,9.5e-07
477.5,9.5e-07
478,9.5e-07
478.5,9.5e-07
479,9.5e-07
479.5,9.5e-07
480,9.5e-07
480.5,9.5e-07
481,9.5e-07
481.5,9.5e-07
482,9.5e-07
482.5,9.5e-07
483,9.5e-07
483.5,9.5e-07
484,9.5e-07
484.5,9.5e-07
485,9.5e-07
485.5,9.5e-07
486,9.5e-07
486.5,9.5e-07
487,9.5e-07
487.5,9.5e-07
488,9.5e-07
488.5,9.5e-07
489,9.5e-07
489.5,9.67e-07
490,9.69e-07
490.5,9.5e-07
491,9.5e-07
491.5,9.5e-07
492,9.5e-07
492.5,9.5e-07
493,9.5e-07
493.5,9.5e-07
494,9.5e-07
494.5,9.5e-07
495,9.5e-07
495.5,9.5e-07
496,9.5e-07
496.5,9.5e-07
497,9.5e-07
497.5,9.5e-07
498,9.5e-07
498.5,9.5e-07
499,9.5e-07
499.5,9.5e-07
500,9.5e-07
500.5,9.5e-07
501,9.5e-07
501.5,9.5e-07
502,9.5e-07
502.5,9.5e-07
503,9.5e-07
503.5,9.5e-07
504,9.5e-07
504.5,9.5e-07
505,9.85e-07
505.5,9.5e-07
506,9.5e-07
506.5,9.5e-07
507,9.5e-07
507.5,9.5e-07
