# name: ZWO New L
# kind: filter
# channel: lum
# manufacturer: ZWO
# source: https://gitlab.com/free-astro/siril-spcc-database/-/blob/main/mono_filters/ZWO_new_LRGB.json
# origin: Scanned from Transmission Chart
# license: GPL-3.0-or-later
wavelength_nm,value
367.008,0.0532623
371.995,0.173103
378.133,0.652463
380.435,1.85087
381.202,4.12783
383.12,7.00399
383.887,9.88016
384.655,12.8762
385.422,17.9095
388.107,50.0266
388.875,75.4328
390.793,83.7017
392.711,86.8176
395.396,88.2557
397.698,90.1731
398.082,91.3715
400,92.2104
403.069,93.4088
406.138,94.3675
408.824,93.0493
409.974,91.8509
412.66,92.0905
413.811,94.008
415.345,95.6858
418.031,95.6858
420.716,95.4461
422.251,96.0453
425.32,95.8056
428.772,95.6858
430.691,96.0453
432.609,94.727
433.76,94.008
436.829,94.727
449.872,94.9667
451.79,96.0453
454.859,94.9667
457.161,95.4461
459.463,97.004
460.614,97.004
463.683,95.6858
465.601,94.2477
467.519,94.3675
470.205,96.0453
472.89,97.4834
474.808,97.2437
476.726,97.004
477.877,97.004
480.179,97.3635
483.632,97.4834
485.934,96.285
489.386,94.6072
491.688,94.9667
495.141,96.5246
498.21,96.1651
503.581,94.9667
506.266,95.8056
510.87,97.2437
513.171,97.2437
517.775,96.6445
521.228,96.6445
526.215,97.723
528.133,97.8429
530.435,98.3222
533.12,97.723
537.34,97.4834
540.409,96.7643
543.862,97.004
547.315,97.723
551.151,98.0826
555.371,98.2024
560.742,98.2024
565.729,98.3222
568.798,97.8429
572.634,97.3635
576.854,97.4834
579.923,97.8429
583.376,98.0826
586.829,98.4421
591.432,98.0826
596.419,98.0826
600.639,98.0826
602.558,97.6032
605.243,96.8842
611.381,97.004
614.834,97.3635
617.903,98.2024
620.972,98.5619
623.274,98.5619
626.726,98.2024
629.795,97.4834
634.399,97.8429
641.688,98.0826
648.593,97.6032
654.348,97.8429
658.951,97.723
663.939,96.8842
667.775,96.0453
671.228,96.5246
675.448,97.4834
678.9,97.4834
683.504,96.5246
686.189,95.0866
688.875,89.2144
691.56,79.028
695.78,55.0599
697.698,42.8362
700.384,24.1411
703.069,15.7523
704.604,12.1571
706.905,8.68176
709.207,5.56591
713.427,2.92943
720.716,1.73103
726.854,1.13182
733.76,0.772304
741.816,0.412783
753.708,0.292943
