# name: ZWO Optimized for CMOS Blue
# kind: filter
# channel: blue
# manufacturer: ZWO
# source: https://gitlab.com/free-astro/siril-spcc-database/-/blob/main/mono_filters/ZWO_new_LRGB.json
# origin: Scanned from Transmission Chart
# license: GPL-3.0-or-later
wavelength_nm,value
368.159,0.173103
381.969,1.13182
384.655,9.28096
385.806,18.3888
386.573,28.3356
388.107,50.1465
390.026,72.4368
391.176,77.3502
393.095,81.3049
395.396,84.4208
399.233,88.3755
402.302,90.0533
406.138,88.6152
409.207,90.1731
414.578,93.1691
420.332,93.0493
423.785,94.008
425.703,94.4874
428.772,94.2477
431.841,93.5286
437.596,94.727
442.967,94.3675
446.803,94.3675
450.256,94.4874
452.941,95.3262
455.243,95.2064
459.463,94.9667
461.765,94.727
466.752,94.9667
469.437,95.6858
472.89,95.6858
477.877,94.727
480.946,93.6485
482.481,92.4501
484.783,91.6112
487.084,91.2517
489.003,89.9334
489.77,85.3795
491.688,79.747
493.223,62.7297
493.99,49.3076
495.908,33.7284
497.442,15.3928
499.361,8.32224
501.279,3.88815
503.197,2.21039
505.499,0.892144
508.951,0.412783
515.473,0.173103
