# name: ZWO Optimized for CMOS Green
# kind: filter
# channel: green
# manufacturer: ZWO
# source: https://gitlab.com/free-astro/siril-spcc-database/-/blob/main/mono_filters/ZWO_new_LRGB.json
# origin: Scanned from Transmission Chart
# license: GPL-3.0-or-later
wavelength_nm,value
454.092,0.0532623
469.054,0.173103
475.192,0.412783
480.179,2.56991
482.097,4.96671
483.632,8.8016
485.166,15.1531
486.701,28.2157
487.468,37.8029
489.003,49.1877
490.153,63.5686
491.304,74.7137
492.455,81.6644
493.606,90.0533
494.757,93.8881
495.908,95.3262
497.442,96.8842
499.744,96.285
502.43,95.3262
506.65,95.9254
510.486,97.2437
514.706,97.6032
519.693,97.8429
523.529,97.8429
525.448,97.004
527.749,97.4834
530.051,96.8842
531.586,97.2437
538.875,97.4834
542.327,97.004
545.78,97.004
549.616,97.004
552.685,97.3635
555.371,96.6445
558.056,96.285
562.276,94.9667
564.962,92.3302
566.113,88.8549
568.414,77.47
570.716,55.1798
571.867,43.9148
573.018,27.6165
575.32,13.8349
577.238,5.44607
578.389,3.88815
580.307,2.21039
582.609,0.892144
587.212,0.173103
594.118,0.173103
604.092,0.173103
619.437,0.173103
