# name: ZWO Optimized for CMOS Red
# kind: filter
# channel: red
# manufacturer: ZWO
# source: https://gitlab.com/free-astro/siril-spcc-database/-/blob/main/mono_filters/ZWO_new_LRGB.json
# origin: Scanned from Transmission Chart
# license: GPL-3.0-or-later
wavelength_nm,value
554.604,0.173103
571.1,0.173103
575.703,1.13182
578.005,2.21039
579.923,4.12783
581.841,7.6032
583.376,15.5126
584.91,21.8642
585.678,29.8935
586.445,38.7617
587.212,53.7417
589.514,72.0772
589.898,82.3835
590.665,91.3715
592.199,93.7683
592.967,95.0866
594.118,96.285
597.187,95.4461
599.872,95.9254
602.558,97.004
605.627,98.0826
607.928,98.2024
611.381,97.004
616.752,96.8842
619.821,97.4834
621.355,97.6032
622.506,97.3635
624.425,97.6032
630.179,97.723
639.386,98.2024
643.223,98.2024
645.908,98.8016
648.21,98.2024
651.279,98.5619
653.964,98.0826
660.87,97.723
665.473,97.8429
670.077,98.3222
678.517,98.5619
682.737,98.3222
685.806,96.7643
687.724,94.727
689.642,90.1731
692.327,82.024
694.629,70.5193
696.931,58.2956
698.082,47.8695
700.384,37.2037
703.453,20.7856
707.673,10.2397
709.207,7.12383
711.893,4.60719
714.578,2.45007
719.949,1.01198
727.621,0.412783
739.898,0.412783
754.859,0.173103
