# name: Generic mono sensor
# kind: sensor
# channel: 
# manufacturer: Generic
# source: https://gitlab.com/free-astro/siril-spcc-database/-/blob/main/mono_sensors/Generic_mono.json
# origin: Generic
# license: GPL-3.0-or-later
wavelength_nm,value
378,0.6
402.126,0.703923
406.401,0.728323
410.676,0.751513
414.951,0.773664
419.582,0.796804
424.569,0.819499
429.912,0.842583
436.681,0.867177
444.025,0.890041
452.355,0.906224
460.192,0.910874
468.03,0.909251
475.867,0.903455
483.704,0.897603
491.541,0.894677
499.378,0.893298
507.216,0.892361
515.053,0.890983
523.444,0.882758
530.727,0.870889
538.564,0.858618
546.401,0.844365
554.239,0.829262
562.076,0.813309
569.913,0.796035
577.75,0.778572
585.587,0.760449
593.425,0.741664
601.262,0.722786
611.236,0.698055
619.074,0.678421
626.911,0.65907
634.748,0.639247
642.585,0.619614
650.422,0.599224
658.259,0.579119
666.097,0.559013
673.934,0.538605
681.771,0.518046
689.608,0.498129
697.623,0.479672
705.283,0.461315
713.12,0.444041
720.957,0.426862
728.794,0.408455
736.631,0.389199
744.468,0.370886
752.306,0.355878
760.143,0.341907
767.98,0.328881
775.817,0.316138
783.654,0.303489
791.492,0.291596
799.329,0.279985
807.166,0.268469
815.003,0.257142
822.84,0.245532
830.677,0.233827
838.515,0.221461
846.352,0.209001
854.189,0.19758
862.026,0.188046
869.863,0.180872
877.701,0.174831
885.538,0.162937
893.375,0.152082
901.212,0.144625
909.049,0.138206
916.886,0.126124
924.724,0.112814
932.561,0.102525
940.398,0.096484
948.235,0.0932746
956.072,0.0861007
963.91,0.0745847
971.747,0.066278
979.584,0.0617471
987.421,0.0585378
995.258,0.0549508
999.533,0.0509863
