# name: KAF8300
# kind: sensor
# channel: 
# manufacturer: Kodak
# source: https://gitlab.com/free-astro/siril-spcc-database/-/blob/main/mono_sensors/KAF_8300.json
# origin: Scanned from published QE plot
# license: GPL-3.0-or-later
wavelength_nm,value
374.966,0.285144
382.12,0.313256
386.889,0.3305
394.64,0.356013
403.296,0.375195
413.28,0.387668
438.59,0.394093
460.475,0.413721
471.944,0.432867
480.847,0.44956
494.679,0.471577
506.125,0.48783
518.526,0.508618
541.419,0.535076
564.885,0.538099
574.805,0.533375
586.388,0.523736
596.267,0.513342
610.48,0.497846
627.541,0.473926
686.41,0.380581
703.579,0.355541
