# name: Sony IMX183
# kind: sensor
# channel: 
# manufacturer: Sony
# source: https://gitlab.com/free-astro/siril-spcc-database/-/blob/main/mono_sensors/Sony_IMX183.json
# origin: https://www.touptekastro.com/en-eu/products/g3cmos183m
# license: GPL-3.0-or-later
wavelength_nm,value
359.204,0.488772
399.005,0.594386
413.93,0.650877
421.891,0.675439
430.846,0.697544
438.806,0.709825
447.761,0.724561
454.726,0.746667
461.692,0.761404
472.637,0.77614
485.572,0.795789
489.552,0.80807
500.498,0.820351
508.458,0.822807
523.383,0.837544
531.343,0.84
542.289,0.835088
552.239,0.832632
563.184,0.835088
576.119,0.830175
587.065,0.80807
595.025,0.790877
601.99,0.773684
610.945,0.758947
619.9,0.746667
628.856,0.727018
639.801,0.704912
649.751,0.680351
660.697,0.660702
673.632,0.650877
683.582,0.638596
695.522,0.621404
702.488,0.604211
711.443,0.582105
718.408,0.557544
725.373,0.537895
735.323,0.515789
744.279,0.501053
757.214,0.486316
772.139,0.461754
781.095,0.437193
788.06,0.415088
796.02,0.395439
809.95,0.361053
821.891,0.348772
838.806,0.329123
853.731,0.319298
866.667,0.292281
876.617,0.265263
885.572,0.257895
896.517,0.223509
902.488,0.20386
910.448,0.184211
923.383,0.176842
935.323,0.152281
942.289,0.137544
952.239,0.130175
961.194,0.130175
972.139,0.110526
980.1,0.0908772
990.05,0.0785965
1001,0.0761404
