# name: Sony IMX294 Blue
# kind: sensor
# channel: blue
# manufacturer: Sony
# source: https://gitlab.com/free-astro/siril-spcc-database/-/blob/main/osc_sensors/Sony_IMX294.json
# origin: https://player-one-astronomy.com/product/artemis-c-pro-imx294-usb3-0-color-cooled-camera/
# license: GPL-3.0-or-later
wavelength_nm,value
401.785,0.459043
404.054,0.486334
406.404,0.507301
408.722,0.525832
411.041,0.544157
413.391,0.562836
416.494,0.58207
419.445,0.60051
422.342,0.618959
424.95,0.637222
427.269,0.655032
429.587,0.673253
431.905,0.691063
434.513,0.709553
437.464,0.728967
441.111,0.748382
444.945,0.767333
448.539,0.785158
454.219,0.800843
460.594,0.80586
466.679,0.795452
470.669,0.775243
473.924,0.756909
476.564,0.738625
479.398,0.717761
481.458,0.693328
483.661,0.671421
485.225,0.652149
486.964,0.633824
488.606,0.613624
490.345,0.592851
492.084,0.571895
493.822,0.551123
495.561,0.529984
497.3,0.508297
498.773,0.488153
500.584,0.466934
502.178,0.442753
503.989,0.419281
505.8,0.396689
507.466,0.373263
509.278,0.351907
511.248,0.328646
512.948,0.306244
514.687,0.286021
516.426,0.266804
518.164,0.248044
520.131,0.228753
522.897,0.209885
525.248,0.191126
528.351,0.171551
531.591,0.151822
535.358,0.133056
539.415,0.115585
543.955,0.0992503
549.847,0.0822296
555.643,0.0652339
562.018,0.0508586
568.393,0.0415746
574.769,0.0359592
581.144,0.0319911
587.519,0.0286967
593.894,0.0254773
600.27,0.0224824
606.645,0.020386
613.02,0.0196373
619.395,0.0196373
625.771,0.0212096
632.146,0.0241296
638.521,0.0292208
644.896,0.034911
651.272,0.0413499
657.647,0.0484627
664.022,0.0539283
670.397,0.0577467
676.773,0.0603672
683.148,0.0624636
689.523,0.0638113
695.898,0.0644851
702.274,0.0638862
708.649,0.0605918
715.024,0.0557252
721.399,0.0505591
727.775,0.0465909
734.15,0.044794
740.525,0.0443448
746.9,0.045393
753.276,0.0487622
759.651,0.0536288
766.026,0.0633621
772.526,0.0788765
776.458,0.0988385
779.878,0.120773
782.351,0.140567
784.379,0.161202
786.118,0.180785
787.857,0.201009
789.595,0.221964
791.237,0.241696
792.879,0.261771
794.715,0.284255
796.55,0.306061
798.289,0.326559
800.027,0.346508
802.056,0.368013
804.172,0.3898
806.274,0.411828
808.914,0.431099
812.347,0.451321
815.289,0.469222
821.085,0.484962
827.46,0.487957
833.836,0.479721
840.211,0.468191
846.586,0.455388
852.961,0.441986
859.337,0.426412
864.553,0.408518
870.928,0.39272
877.303,0.37842
883.678,0.365093
906.914,0.298982
913.236,0.283858
919.612,0.273825
925.987,0.266113
932.362,0.25361
938.737,0.236464
945.113,0.219169
951.488,0.205468
957.863,0.197606
964.238,0.191841
970.614,0.181883
976.699,0.1664
980.321,0.152749
986.262,0.137859
