# name: Sony IMX294 Green
# kind: sensor
# channel: green
# manufacturer: Sony
# source: https://gitlab.com/free-astro/siril-spcc-database/-/blob/main/osc_sensors/Sony_IMX294.json
# origin: https://player-one-astronomy.com/product/artemis-c-pro-imx294-usb3-0-color-cooled-camera/
# license: GPL-3.0-or-later
wavelength_nm,value
402.637,0.0745928
409.012,0.0644851
415.388,0.0543775
421.763,0.0470402
428.138,0.0444197
434.513,0.0454679
440.889,0.0497355
447.264,0.054677
453.887,0.0663462
458.227,0.086224
460.652,0.107514
462.204,0.126978
463.637,0.14719
465.102,0.167425
466.068,0.188655
467.227,0.208036
468.515,0.2337
469.352,0.258842
470.394,0.283184
471.739,0.312199
472.765,0.344678
474.214,0.375974
474.793,0.399721
475.952,0.425075
477.178,0.456136
478.159,0.49034
479.035,0.521424
480.299,0.551603
481.748,0.583556
482.565,0.614564
483.342,0.640413
486.095,0.681695
486.674,0.702799
487.566,0.725511
488.284,0.751894
489.92,0.776263
491.182,0.798674
492.341,0.818147
493.05,0.836985
495.104,0.858719
497.265,0.882004
498.717,0.900139
500.874,0.920967
504.009,0.940703
507.056,0.958385
512.175,0.978962
518.551,0.991166
524.926,0.996407
531.301,0.998653
537.676,0.996856
544.052,0.985775
549.442,0.966758
552.745,0.949933
556.802,0.931579
560.859,0.912284
564.916,0.893282
568.683,0.874448
572.161,0.855711
575.348,0.836632
577.956,0.817586
580.275,0.79885
582.158,0.778981
583.989,0.760113
585.491,0.741405
587.229,0.724213
588.872,0.704218
590.345,0.683239
592.156,0.6613
593.721,0.636995
594.764,0.61797
596.097,0.599473
597.488,0.578933
598.821,0.559908
599.98,0.542201
601.139,0.523876
602.298,0.505881
603.457,0.488668
604.52,0.470229
606.21,0.447557
607.949,0.422369
610.122,0.397961
611.789,0.374705
613.832,0.352859
615.532,0.331226
617.27,0.312192
619.237,0.293217
622.004,0.27433
624.354,0.255457
627.457,0.236839
630.697,0.218533
634.42,0.201142
638.985,0.185672
644.896,0.169979
651.272,0.155753
657.647,0.14879
664.022,0.150138
670.397,0.160844
676.483,0.177601
682.182,0.194168
687.205,0.212944
691.574,0.230981
695.898,0.25079
701.694,0.268509
708.069,0.281013
714.445,0.284831
720.82,0.279815
727.195,0.274199
733.57,0.272328
739.946,0.278018
746.321,0.291345
752.406,0.30888
758.492,0.326459
764.867,0.343305
771.242,0.359028
777.618,0.371906
783.993,0.384859
790.368,0.398036
796.743,0.409716
803.119,0.420423
810.322,0.429429
815.869,0.435996
841.37,0.431953
847.745,0.42761
854.314,0.422438
860.496,0.407919
866.498,0.393838
873.023,0.376935
879.621,0.362472
885.997,0.350867
891.213,0.341178
896.139,0.324528
902.119,0.305421
907.924,0.290665
914.454,0.28269
920.539,0.276842
