# name: Sony IMX294 Red
# kind: sensor
# channel: red
# manufacturer: Sony
# source: https://gitlab.com/free-astro/siril-spcc-database/-/blob/main/osc_sensors/Sony_IMX294.json
# origin: https://player-one-astronomy.com/product/artemis-c-pro-imx294-usb3-0-color-cooled-camera/
# license: GPL-3.0-or-later
wavelength_nm,value
401.478,0.0845827
406.926,0.0598282
413.069,0.0484627
419.445,0.0389541
425.82,0.033189
432.195,0.0274988
438.57,0.0230814
444.945,0.0195624
451.321,0.0172414
457.696,0.016343
464.071,0.0173912
470.446,0.0197122
476.822,0.0221829
483.197,0.0242793
489.572,0.0253275
495.947,0.0271993
502.323,0.0313921
508.698,0.0387295
515.073,0.0489119
521.448,0.0577467
527.824,0.0611908
534.199,0.0572226
540.574,0.0484627
546.949,0.040751
553.325,0.0377561
559.41,0.040474
564.626,0.065052
567.003,0.0897242
567.814,0.110231
569.19,0.129277
570.277,0.153332
571.425,0.184417
572.54,0.217044
574.015,0.246781
574.189,0.267889
574.986,0.287096
575.566,0.306965
576.145,0.327348
576.725,0.348041
577.087,0.367895
577.884,0.387985
578.504,0.410107
578.826,0.430723
579.55,0.45068
580.13,0.472299
580.933,0.496597
581.124,0.500396
581.434,0.509999
582.448,0.557025
583.205,0.579582
583.68,0.60119
584.042,0.621324
584.839,0.640516
585.273,0.661929
586.103,0.682713
588.331,0.765419
589.481,0.800711
590.364,0.830941
591.721,0.860378
592.946,0.88964
593.967,0.913328
595.376,0.933906
597.372,0.955136
600.006,0.974245
606.065,0.979486
612.151,0.964452
617.947,0.945756
624.032,0.931493
630.407,0.926851
636.783,0.922209
643.158,0.912476
648.548,0.8942
651.561,0.877124
654.749,0.859033
657.647,0.84075
660.545,0.821725
663.153,0.803277
665.471,0.785878
667.789,0.767554
669.818,0.749567
672.394,0.730847
674.744,0.712476
677.095,0.694975
680.197,0.675958
683.201,0.656941
687.071,0.640049
693.58,0.62834
699.955,0.62572
706.331,0.629837
712.706,0.636426
719.081,0.635528
725.456,0.628789
731.832,0.621152
738.207,0.611045
744.582,0.604606
750.957,0.604306
757.333,0.605729
763.708,0.607676
770.083,0.605504
776.458,0.597418
782.834,0.584915
789.209,0.571513
795.584,0.557811
801.959,0.543511
808.335,0.532131
814.71,0.522547
821.085,0.512365
827.46,0.501508
833.836,0.489903
839.217,0.478373
852.961,0.449548
909.179,0.303773
915.555,0.289174
921.93,0.281162
928.305,0.272402
934.68,0.258252
940.766,0.240769
946.735,0.223886
952.879,0.211038
959.747,0.202885
966.412,0.196708
