# name: Sony IMX455 Blue
# kind: sensor
# channel: blue
# manufacturer: Sony
# source: https://gitlab.com/free-astro/siril-spcc-database/-/blob/main/osc_sensors/Sony_IMX455.json
# origin: https://player-one-astronomy.com/product/zeus-455c-pro-imx455-usb3-0-color-cooled-camera/
# license: GPL-3.0-or-later
wavelength_nm,value
400.568,0.284978
402.498,0.306942
404.565,0.329461
406.909,0.350745
409.666,0.371926
412.699,0.390433
415.732,0.407996
418.765,0.427191
421.522,0.447837
424.141,0.468538
427.036,0.488558
430.069,0.50801
432.964,0.527832
435.722,0.548951
438.341,0.569873
441.098,0.590548
444.131,0.608626
447.164,0.621469
450.197,0.629248
453.23,0.634109
456.262,0.63588
459.295,0.635248
462.328,0.635046
465.361,0.636474
468.394,0.64039
471.427,0.64096
474.46,0.632604
476.803,0.610965
478.458,0.588605
480.388,0.567657
483.007,0.547804
485.902,0.526357
488.935,0.500538
491.141,0.480925
493.346,0.460486
495.552,0.439103
497.62,0.418312
499.55,0.398061
499.826,0.392136
501.48,0.377136
503.41,0.355267
505.34,0.333264
507.27,0.31126
509.2,0.28966
511.13,0.268196
513.06,0.247406
514.99,0.22702
517.058,0.206398
519.264,0.185605
521.745,0.16495
524.64,0.144674
527.673,0.12722
530.706,0.112856
533.739,0.101152
536.772,0.0903922
539.805,0.0797185
542.838,0.0687014
545.871,0.0586284
548.903,0.0488987
551.707,0.0415317
551.844,0.0372818
554.969,0.0333874
558.002,0.027005
561.035,0.0222533
564.068,0.018789
567.101,0.0160114
570.134,0.0137487
573.167,0.0126876
576.199,0.0115406
579.232,0.0108228
582.265,0.00984754
585.298,0.00955887
588.331,0.00849775
591.364,0.00760829
594.397,0.00637552
597.43,0.00565772
600.463,0.00562653
603.495,0.00473707
606.528,0.00419092
609.561,0.00364477
612.594,0.00361358
615.627,0.0035824
618.66,0.00355121
621.693,0.00352003
624.726,0.00348884
627.758,0.00371513
630.791,0.00437057
633.824,0.005026
636.857,0.00550978
639.89,0.00668017
642.923,0.0073356
645.956,0.00859183
648.989,0.00993388
652.022,0.0112759
655.054,0.0127896
658.087,0.0142175
661.12,0.0157312
664.153,0.0170733
667.186,0.0185011
670.219,0.0198432
673.252,0.0200695
676.285,0.0208966
679.318,0.0214662
682.35,0.02195
685.383,0.0229487
688.416,0.0236041
691.449,0.023573
694.482,0.0244
697.515,0.025313
699.721,0.0255649
