# name: Sony IMX455 Green
# kind: sensor
# channel: green
# manufacturer: Sony
# source: https://gitlab.com/free-astro/siril-spcc-database/-/blob/main/osc_sensors/Sony_IMX455.json
# origin: https://player-one-astronomy.com/product/zeus-455c-pro-imx455-usb3-0-color-cooled-camera/
# license: GPL-3.0-or-later
wavelength_nm,value
401.119,0.0469853
404.152,0.0458383
407.185,0.045378
410.218,0.044746
413.251,0.0443715
416.283,0.0438254
419.316,0.0425068
422.349,0.040759
425.382,0.0390971
428.415,0.0382935
431.448,0.0401505
434.481,0.0444107
437.514,0.0498725
440.547,0.0556775
443.579,0.0601094
446.612,0.0619664
449.645,0.0615061
452.678,0.0601875
455.711,0.061787
458.744,0.0690511
461.639,0.08532
463.983,0.105756
465.775,0.126126
467.291,0.146723
468.67,0.168234
469.91,0.190361
471.151,0.212455
472.254,0.236597
473.357,0.262903
474.42,0.286916
475.333,0.310914
476.344,0.333876
477.355,0.356839
478.43,0.382256
479.561,0.408113
480.663,0.430288
481.766,0.451283
483.007,0.473409
484.386,0.496431
486.276,0.525702
486.426,0.529061
488.383,0.549794
490.038,0.569289
491.83,0.589928
493.76,0.611218
495.69,0.631833
497.758,0.653274
499.964,0.673903
502.307,0.694466
505.064,0.715112
508.097,0.733191
511.13,0.748265
514.163,0.760936
517.196,0.771719
520.229,0.782073
523.262,0.791655
526.295,0.797803
529.327,0.799317
532.36,0.797741
535.393,0.794706
538.426,0.790555
541.459,0.78443
544.492,0.776417
547.525,0.767803
550.558,0.75773
553.591,0.745339
556.623,0.73046
559.656,0.713092
562.689,0.694694
565.722,0.675351
568.755,0.656009
571.788,0.636409
574.683,0.616064
577.302,0.594984
579.784,0.573349
582.127,0.550915
584.195,0.53004
586.125,0.508305
587.917,0.486932
589.572,0.466145
591.226,0.445043
592.88,0.422997
594.535,0.400794
596.051,0.380102
597.43,0.360073
598.946,0.33891
600.463,0.316613
601.841,0.29734
603.358,0.274665
605.012,0.252462
606.666,0.23136
608.458,0.210414
610.388,0.190164
612.594,0.169775
615.213,0.148789
618.108,0.129981
621.141,0.114586
624.174,0.10314
627.207,0.093582
630.24,0.085998
636.306,0.0753789
639.339,0.0704556
642.372,0.0658755
645.404,0.0616388
648.437,0.0580887
651.47,0.0555685
654.503,0.0540783
657.536,0.0531888
660.569,0.0541875
663.602,0.0572461
666.635,0.061163
669.668,0.0655948
672.7,0.0707991
675.733,0.0772908
678.766,0.0852416
681.799,0.0941364
684.832,0.103289
687.865,0.111926
690.898,0.120821
693.931,0.130488
696.963,0.141271
699.445,0.15054
