# name: Sony IMX455 Red
# kind: sensor
# channel: red
# manufacturer: Sony
# source: https://gitlab.com/free-astro/siril-spcc-database/-/blob/main/osc_sensors/Sony_IMX455.json
# origin: https://player-one-astronomy.com/product/zeus-455c-pro-imx455-usb3-0-color-cooled-camera/
# license: GPL-3.0-or-later
wavelength_nm,value
401.119,0.0595161
404.152,0.0523612
407.185,0.04526
410.218,0.0375365
413.251,0.0316691
416.283,0.0264024
419.316,0.0220799
422.349,0.017929
425.382,0.0143789
428.415,0.0119445
431.448,0.00993929
434.481,0.00784825
437.514,0.00695879
440.547,0.00538271
443.579,0.00500821
446.612,0.00343214
449.645,0.00340095
452.678,0.00336976
455.711,0.00333858
458.744,0.00330739
461.777,0.0032762
464.81,0.00375998
467.843,0.00510203
470.875,0.00507085
473.908,0.00624124
476.941,0.00689667
479.974,0.00686549
483.007,0.00855085
486.04,0.00869132
489.073,0.00883178
492.106,0.0105171
495.139,0.0107434
498.171,0.012343
501.204,0.0130842
504.237,0.0145121
507.27,0.0167124
510.303,0.0190844
513.336,0.0214564
516.369,0.024
519.402,0.026372
522.435,0.0284865
525.467,0.030086
528.5,0.0309131
531.533,0.0308819
534.566,0.0299067
537.599,0.0289314
540.632,0.0289002
543.665,0.028869
546.698,0.0291811
549.731,0.0306948
552.763,0.0314361
556.011,0.0352458
558.829,0.0375533
561.862,0.0421568
564.895,0.0501075
567.928,0.0642378
570.271,0.0855561
571.65,0.10647
572.753,0.127228
573.994,0.151857
574.711,0.171864
575.483,0.194326
576.062,0.217356
576.613,0.239537
577.164,0.26337
577.716,0.287438
578.267,0.311979
578.819,0.336284
579.37,0.359645
579.922,0.382062
580.473,0.403535
581.024,0.425951
581.576,0.448604
582.127,0.471021
582.679,0.492493
583.368,0.516561
584.195,0.54711
584.912,0.568471
585.712,0.593009
586.815,0.616364
588.055,0.637924
589.572,0.658899
591.64,0.68012
594.397,0.695998
597.43,0.706524
600.463,0.709926
603.495,0.70835
606.528,0.705744
609.561,0.703653
612.594,0.699158
615.627,0.695179
618.66,0.693002
621.693,0.691512
624.726,0.688992
627.758,0.685957
630.791,0.683522
633.824,0.683148
636.857,0.681143
639.89,0.676048
642.923,0.665803
645.956,0.656932
648.989,0.653811
652.022,0.648973
655.054,0.64199
658.087,0.631745
661.12,0.622101
664.153,0.614947
667.186,0.604444
670.219,0.590252
673.252,0.570394
676.285,0.551481
679.318,0.534542
682.35,0.519749
685.383,0.506414
688.416,0.493251
691.449,0.483178
694.482,0.47877
697.515,0.482086
699.721,0.487797
