# name: Sony IMX533 Blue
# kind: sensor
# channel: blue
# manufacturer: Sony
# source: https://gitlab.com/free-astro/siril-spcc-database/-/blob/main/osc_sensors/Sony_IMX533.json
# origin: https://player-one-astronomy.com/product/saturn-c-sqr-usb3-0-color-camera-imx533/
# license: GPL-3.0-or-later
wavelength_nm,value
400.373,0.418518
401.241,0.441319
403.448,0.472714
404.887,0.498727
406.971,0.522175
409.402,0.544774
411.833,0.566969
416.6,0.588844
420.168,0.61131
423.64,0.633335
426.853,0.655263
429.892,0.675962
433.712,0.698647
437.532,0.722211
441.699,0.745821
447.256,0.767619
454.549,0.783426
462.189,0.797186
469.829,0.797362
475.27,0.778163
477.172,0.757418
479.851,0.732607
482.331,0.710013
484.415,0.689222
486.846,0.666582
488.93,0.642649
491.013,0.619363
493.097,0.5953
494.833,0.572014
496.62,0.547979
498.22,0.52452
499.869,0.50002
502.04,0.473096
503.466,0.448596
505.484,0.422723
507.567,0.394262
509.651,0.3658
511.735,0.337555
513.818,0.310388
516.365,0.28543
518.449,0.260688
520.83,0.23597
523.013,0.212683
526.089,0.189051
530.951,0.167081
536.16,0.144661
541.717,0.122224
547.273,0.099665
553.177,0.0766616
560.123,0.0552864
567.763,0.0414381
575.403,0.0353519
583.043,0.0316472
590.684,0.0275016
598.324,0.0235323
605.964,0.0200041
613.604,0.0177989
621.244,0.0184164
628.885,0.0213272
636.525,0.0262667
644.165,0.0335878
651.805,0.0423202
659.446,0.05167
667.086,0.0597849
674.726,0.0654301
682.366,0.0673706
690.007,0.0709871
697.647,0.0723101
705.287,0.0704578
712.927,0.0633131
720.567,0.0543162
728.208,0.0467304
735.848,0.0439961
743.488,0.0430258
751.128,0.0430258
758.769,0.0452309
766.409,0.0505233
774.049,0.0634014
780.377,0.0856096
783.426,0.107427
786.154,0.132429
788.288,0.155415
790.371,0.176275
792.802,0.199481
795.581,0.222525
798.436,0.244625
802.084,0.269891
805.304,0.293111
808.16,0.314053
811.121,0.335075
816.417,0.362155
823.016,0.355087
829.614,0.33287
837.254,0.339133
844.895,0.353687
851.493,0.341382
856.702,0.31969
862.953,0.301028
870.594,0.29847
878.234,0.301028
884.485,0.286146
888.147,0.263276
892.056,0.241736
899.071,0.221819
906.711,0.225436
914.351,0.23355
920.95,0.219978
926.159,0.19332
932.41,0.167651
939.356,0.155312
946.996,0.16034
954.636,0.160163
961.582,0.142316
967.486,0.120404
974.084,0.101065
981.724,0.0931267
989.364,0.0921565
997.005,0.0877462
