# name: Sony IMX533 Green
# kind: sensor
# channel: green
# manufacturer: Sony
# source: https://gitlab.com/free-astro/siril-spcc-database/-/blob/main/osc_sensors/Sony_IMX533.json
# origin: https://player-one-astronomy.com/product/saturn-c-sqr-usb3-0-color-camera-imx533/
# license: GPL-3.0-or-later
wavelength_nm,value
403.151,0.0720455
410.791,0.0617254
418.431,0.0536987
426.071,0.0434668
433.712,0.0455838
441.352,0.057668
448.992,0.0591675
456.632,0.0604024
462.189,0.082397
464.669,0.107156
466.009,0.130673
467.547,0.154329
468.638,0.181496
469.829,0.211731
471.681,0.243547
471.913,0.270068
472.955,0.297666
474.344,0.338471
474.607,0.3547
475.038,0.36952
475.783,0.394816
476.477,0.421845
476.891,0.447626
477.767,0.475902
478.395,0.50374
479.355,0.530653
479.9,0.556134
480.595,0.579259
480.942,0.599958
482.133,0.626571
482.331,0.648859
483.026,0.670981
484.068,0.695529
485.418,0.725553
486.499,0.75617
488.285,0.784308
489.475,0.80898
491.658,0.83795
493.841,0.863731
496.84,0.888256
499.695,0.910927
502.126,0.931788
507.336,0.954751
514.281,0.97201
521.922,0.98577
529.562,0.990269
537.202,0.983036
544.842,0.969187
551.441,0.948404
556.303,0.926937
560.47,0.906561
564.637,0.886994
568.805,0.865487
572.972,0.842524
575.48,0.820423
578.799,0.796598
581.654,0.77315
584.135,0.750349
586.516,0.727547
588.898,0.700726
590.684,0.675444
592.47,0.652352
594.388,0.623675
596.501,0.596804
597.977,0.573114
599.366,0.551606
600.755,0.527996
601.301,0.506258
603.302,0.482879
604.691,0.458461
606.361,0.433627
607.7,0.410594
609.09,0.39106
610.429,0.370005
612.476,0.346112
614.993,0.320521
617.375,0.296126
619.558,0.272701
622.634,0.249983
627.061,0.228104
633.052,0.203658
639.65,0.183908
646.943,0.162986
654.584,0.149843
662.224,0.149226
669.517,0.163339
676.115,0.185762
681.672,0.207
686.186,0.228508
690.701,0.251771
695.91,0.273827
702.509,0.296265
710.149,0.308173
717.789,0.300852
725.429,0.28321
733.07,0.274831
740.71,0.278712
748.35,0.289473
755.99,0.303851
763.63,0.315141
771.271,0.31223
778.911,0.319551
786.551,0.342838
794.191,0.352452
801.832,0.351217
809.472,0.362331
817.112,0.374327
823.363,0.362936
828.572,0.34114
835.171,0.328107
842.811,0.346101
850.451,0.348747
856.008,0.325502
859.828,0.302744
865.732,0.28912
873.372,0.293354
881.29,0.292901
886.453,0.266726
892.125,0.242724
899.765,0.227976
907.406,0.236726
915.046,0.241401
920.95,0.227565
924.77,0.204478
928.86,0.182097
935.883,0.162633
943.523,0.161927
950.816,0.166055
958.456,0.153054
965.749,0.132378
973.389,0.108739
981.03,0.0955083
988.67,0.0872169
996.31,0.0853646
1000.48,0.0808661
