# name: Sony IMX533 Red
# kind: sensor
# channel: red
# manufacturer: Sony
# source: https://gitlab.com/free-astro/siril-spcc-database/-/blob/main/osc_sensors/Sony_IMX533.json
# origin: https://player-one-astronomy.com/product/saturn-c-sqr-usb3-0-color-camera-imx533/
# license: GPL-3.0-or-later
wavelength_nm,value
403.151,0.0798958
410.328,0.0601671
417.042,0.0473479
424.682,0.0369396
432.323,0.0320001
439.963,0.0275016
447.603,0.0220328
455.243,0.0184164
462.883,0.0185928
470.524,0.0219446
478.164,0.0257375
485.804,0.0265313
493.444,0.0267959
501.085,0.0291775
508.725,0.0357929
516.365,0.0499059
524.005,0.0668414
531.645,0.0658711
539.286,0.0474361
546.926,0.0331467
554.566,0.0289129
562.206,0.0317355
568.11,0.0439961
570.888,0.0641291
572.799,0.0907143
574.014,0.121894
575.172,0.14264
575.577,0.165886
576.197,0.1991
576.879,0.231257
577.641,0.267696
578.355,0.303542
579.03,0.340574
579.918,0.385853
580.181,0.399035
580.265,0.423369
581.257,0.456358
581.809,0.500452
582.212,0.528675
582.627,0.540383
583.429,0.591244
583.549,0.607939
583.622,0.62195
584.587,0.655263
585.127,0.712508
585.301,0.691011
587.779,0.761463
589.592,0.796921
589.905,0.805795
591.031,0.823118
593.539,0.845974
597.282,0.870661
603.88,0.884157
611.521,0.886009
619.161,0.870838
626.801,0.863252
634.441,0.853285
641.04,0.844343
646.596,0.822269
653.195,0.804772
660.14,0.788405
666.391,0.766088
671.948,0.74425
675.999,0.720594
678.276,0.699679
681.903,0.677255
688.617,0.659408
696.258,0.650147
703.898,0.648647
711.538,0.647677
718.831,0.635178
726.124,0.61363
733.764,0.598723
741.057,0.582299
747.655,0.5605
754.601,0.541477
761.894,0.522725
767.451,0.499697
772.313,0.475521
778.911,0.465267
786.551,0.4725
793.15,0.460482
799.053,0.437061
805.999,0.42381
813.639,0.425222
819.89,0.412004
823.616,0.386058
830.309,0.360302
837.949,0.362948
845.589,0.372034
852.188,0.356057
857.05,0.33362
861.564,0.312898
881.88,0.304027
923.381,0.222201
927.201,0.202149
951.009,0.168945
957.831,0.162271
963.202,0.146521
