# name: Sony IMX571 Blue
# kind: sensor
# channel: blue
# manufacturer: Sony
# source: https://gitlab.com/free-astro/siril-spcc-database/-/blob/main/osc_sensors/Sony_IMX571.json
# origin: https://player-one-astronomy.com/product/poseidon-c-pro-imx571-usb3-0-color-cooled-camera/
# license: GPL-3.0-or-later
wavelength_nm,value
400.395,0.342178
401.509,0.356332
402.489,0.36881
403.469,0.381093
404.571,0.394159
405.918,0.406747
407.388,0.419421
408.858,0.432009
410.111,0.443696
411.798,0.455983
413.636,0.467855
415.669,0.479667
417.433,0.491612
419.299,0.504079
420.741,0.515992
422.066,0.528008
423.313,0.539773
424.538,0.55129
426.008,0.563725
427.938,0.575784
429.705,0.586356
431.153,0.598868
432.601,0.611586
433.848,0.62366
435.095,0.635201
436.521,0.64746
437.79,0.659338
439.116,0.671013
440.341,0.682459
441.566,0.694271
442.891,0.70652
444.138,0.718418
445.241,0.729642
447.323,0.741148
449.773,0.753275
452.468,0.76026
455.163,0.765106
457.858,0.77038
460.553,0.775559
463.248,0.780453
465.943,0.783019
468.638,0.783019
471.333,0.77822
474.028,0.768099
476.145,0.752817
477.58,0.73807
478.805,0.725735
480.03,0.713819
481.378,0.701963
482.848,0.690203
484.318,0.677877
485.665,0.6661
486.89,0.654183
488.115,0.641901
489.34,0.629879
490.565,0.617336
491.668,0.604922
492.648,0.594077
493.628,0.58284
494.716,0.570644
495.587,0.558723
496.567,0.546646
497.547,0.53384
498.527,0.52097
499.507,0.508295
500.487,0.494641
501.467,0.48066
502.447,0.467108
503.182,0.454713
504.057,0.442095
505.115,0.427958
506.122,0.413563
507.102,0.400235
508.082,0.387103
509.062,0.373841
510.042,0.360644
511.022,0.347904
512.002,0.33536
512.982,0.322816
513.962,0.310076
514.942,0.297663
515.922,0.285185
516.902,0.272641
517.882,0.260424
518.862,0.248337
519.965,0.235009
521.19,0.222779
522.515,0.211228
523.784,0.199207
525.321,0.187328
527.376,0.17425
529.005,0.162882
531.48,0.150129
533.807,0.138694
536.135,0.127602
538.584,0.116104
540.912,0.104954
543.239,0.0935771
545.812,0.0817982
548.507,0.0711075
551.202,0.0612719
553.897,0.0523392
556.592,0.0446893
559.287,0.0378947
561.982,0.0329532
564.677,0.0286294
567.372,0.0253984
570.067,0.0227376
572.762,0.020932
575.457,0.0194115
578.152,0.0183662
580.847,0.017511
583.541,0.0167032
586.236,0.0157529
588.931,0.0146126
591.626,0.0137098
594.321,0.0129971
597.016,0.0120468
599.711,0.0111915
602.406,0.0101462
605.101,0.00929094
607.796,0.00834064
610.491,0.00743787
613.186,0.00739035
615.881,0.00739035
618.576,0.00739035
621.271,0.00739035
623.966,0.00739035
626.661,0.00834064
629.356,0.00914839
632.051,0.0100987
634.746,0.011144
637.441,0.0119518
640.136,0.0127595
642.831,0.0136623
645.526,0.0149927
648.221,0.0167982
650.916,0.0185563
653.611,0.0204569
656.306,0.0221199
659.001,0.023973
661.696,0.0257785
664.391,0.0277741
667.086,0.0288194
669.781,0.0296272
672.476,0.03053
675.17,0.0314327
677.865,0.0314327
680.56,0.0316228
683.255,0.0325256
685.95,0.033951
688.645,0.0356615
691.34,0.0366594
694.035,0.0366594
696.73,0.037182
699.058,0.0379007
