# name: Sony IMX571 Green
# kind: sensor
# channel: green
# manufacturer: Sony
# source: https://gitlab.com/free-astro/siril-spcc-database/-/blob/main/osc_sensors/Sony_IMX571.json
# origin: https://player-one-astronomy.com/product/poseidon-c-pro-imx571-usb3-0-color-cooled-camera/
# license: GPL-3.0-or-later
wavelength_nm,value
401.019,0.0576608
403.714,0.0559503
406.408,0.054905
409.103,0.0537646
411.798,0.0533845
414.493,0.0533845
417.188,0.0527193
419.883,0.0517215
422.578,0.050011
425.273,0.0483004
427.968,0.0473026
430.663,0.0481104
433.358,0.0523392
436.053,0.0572807
438.748,0.06303
441.443,0.0683991
444.138,0.0737208
446.833,0.0768092
449.528,0.0783772
452.223,0.0782346
454.918,0.0784247
457.613,0.0852668
460.157,0.0932273
461.424,0.105496
462.635,0.11762
463.765,0.130099
465.096,0.143425
465.861,0.15722
466.494,0.169285
467.339,0.182011
468.066,0.1952
468.699,0.206949
469.569,0.220375
470.169,0.233572
470.659,0.245854
471.149,0.258921
471.639,0.271595
472.129,0.284531
472.721,0.297948
473.048,0.310384
473.599,0.322489
474.089,0.335687
474.64,0.349015
475.008,0.359888
475.498,0.374108
476.138,0.392139
476.478,0.408337
477.049,0.421105
477.48,0.43697
478.029,0.453046
478.462,0.467855
478.958,0.483338
479.295,0.496585
479.755,0.50823
480.122,0.522342
481.024,0.537601
481.378,0.550435
482.143,0.563371
482.603,0.575448
483.031,0.584669
483.674,0.599445
484.563,0.617626
485.431,0.632683
486.033,0.646381
487.695,0.670647
488.646,0.686501
489.267,0.698603
490.116,0.711821
490.779,0.72435
491.766,0.737443
492.756,0.753343
493.658,0.765902
494.362,0.778912
495.342,0.790349
496.445,0.802044
497.67,0.815424
499.058,0.828752
500.12,0.842289
501.445,0.853911
502.584,0.865832
503.895,0.877336
505.265,0.88925
506.763,0.900376
508.216,0.911689
510.097,0.923441
510.655,0.932828
513.105,0.944521
515.187,0.95631
517.515,0.967623
520.087,0.978827
522.782,0.989148
525.477,0.996787
528.172,0.99769
530.867,0.997595
533.562,0.996502
536.257,0.994079
538.952,0.991228
541.647,0.983958
544.342,0.973363
547.037,0.962767
549.732,0.951838
552.304,0.940444
554.632,0.929132
556.196,0.916096
557.594,0.903706
559.042,0.891863
560.606,0.879349
562.454,0.866421
564.379,0.853205
565.681,0.841505
567.004,0.829902
568.329,0.817562
569.577,0.805316
570.924,0.794518
572.394,0.783542
573.892,0.772325
575.434,0.760735
576.573,0.74893
577.784,0.737652
579.009,0.725631
580.22,0.713621
581,0.701259
582.072,0.689985
582.96,0.677703
583.786,0.666167
584.766,0.653922
585.746,0.640398
586.726,0.625959
587.706,0.612557
588.404,0.598339
589.666,0.583437
590.279,0.571733
590.973,0.559611
591.708,0.54788
592.443,0.536033
593.178,0.524012
593.913,0.512165
594.873,0.497989
595.689,0.485893
596.281,0.471588
597.114,0.458342
597.721,0.444988
598.486,0.432139
599.319,0.419247
600.038,0.405193
600.716,0.391609
601.263,0.383183
601.724,0.371909
602.985,0.356005
603.713,0.342067
604.336,0.330525
605.071,0.318439
605.972,0.306468
606.816,0.292502
607.596,0.280267
608.605,0.265794
609.348,0.252751
610.491,0.241346
611.594,0.229312
612.819,0.21635
614.044,0.203162
615.369,0.190654
616.638,0.179393
618.086,0.168239
619.65,0.156429
622.006,0.144734
624.334,0.132359
626.906,0.122091
629.601,0.11273
632.296,0.105793
634.991,0.100376
637.686,0.0951974
640.381,0.0896857
643.076,0.084364
645.771,0.07947
648.466,0.0756213
651.161,0.0733882
653.856,0.0723904
656.551,0.0715351
659.246,0.0708699
661.941,0.0724854
664.636,0.0756689
667.331,0.0806104
670.026,0.085932
672.72,0.0918238
675.415,0.0980007
678.11,0.104795
680.805,0.113681
683.5,0.124989
686.073,0.136697
688.523,0.148143
691.095,0.157632
693.79,0.165852
696.363,0.175844
698.813,0.186924
