# name: Sony IMX571 Red
# kind: sensor
# channel: red
# manufacturer: Sony
# source: https://gitlab.com/free-astro/siril-spcc-database/-/blob/main/osc_sensors/Sony_IMX571.json
# origin: https://player-one-astronomy.com/product/poseidon-c-pro-imx571-usb3-0-color-cooled-camera/
# license: GPL-3.0-or-later
wavelength_nm,value
401.019,0.0644079
403.371,0.0574613
405.918,0.0488231
408.613,0.0434539
411.308,0.037087
414.003,0.0303874
416.698,0.0250658
419.393,0.0206469
422.088,0.0173209
424.783,0.0145651
427.478,0.0118092
430.173,0.00933845
432.868,0.00838816
435.563,0.00748538
438.258,0.00663012
440.953,0.00553728
443.648,0.00444444
446.343,0.00373173
449.038,0.00377924
451.733,0.00373173
454.428,0.00373173
457.123,0.00373173
459.818,0.00373173
462.513,0.00373173
465.208,0.0039693
467.903,0.00520468
470.598,0.00620249
473.293,0.00724781
475.988,0.00796053
478.683,0.0088633
481.378,0.00976608
484.073,0.0108114
486.768,0.0116192
489.463,0.0125219
492.158,0.0134722
494.852,0.014375
497.547,0.0154203
500.242,0.0163706
502.937,0.0182237
505.632,0.0200768
508.327,0.0217873
511.022,0.0236404
513.717,0.0255409
516.412,0.0276791
519.107,0.03053
521.802,0.0328107
524.497,0.0343311
527.192,0.035519
529.887,0.0365643
532.582,0.0366594
535.277,0.0364218
537.972,0.035519
540.667,0.0345687
543.362,0.0345687
546.057,0.0351864
548.752,0.0359942
551.447,0.0374196
554.142,0.0392251
556.627,0.0415873
559.532,0.04678
562.227,0.0521491
564.983,0.0591773
566.969,0.0707816
568.508,0.0829386
569.846,0.0955632
570.557,0.111818
571.322,0.128386
571.782,0.141864
572.544,0.155768
573.129,0.171179
573.823,0.185327
574.507,0.19875
574.858,0.214016
575.457,0.230709
575.674,0.248279
575.824,0.260881
576.437,0.276866
576.738,0.297909
577.11,0.317459
577.294,0.327259
577.706,0.34061
577.784,0.355134
578.352,0.3714
578.642,0.390344
578.887,0.403194
579.377,0.419143
579.622,0.434927
579.793,0.450032
580.332,0.467123
580.567,0.483161
580.908,0.496601
581.092,0.509966
581.214,0.521166
581.547,0.533635
581.851,0.548919
582.072,0.563427
582.562,0.580314
582.807,0.600515
583.321,0.61906
583.419,0.63319
583.603,0.647258
584.477,0.683096
584.766,0.698721
585.134,0.710021
585.777,0.723044
586.201,0.734412
586.994,0.748713
587.461,0.763009
587.979,0.77576
588.511,0.790411
589.176,0.804056
589.666,0.817365
590.891,0.82791
592.361,0.840642
593.742,0.851868
595.301,0.864844
597.751,0.876053
600.446,0.883085
603.141,0.878523
605.836,0.874342
608.531,0.872299
611.226,0.867405
613.921,0.86042
616.616,0.853341
619.311,0.846499
622.006,0.846451
624.701,0.848304
627.396,0.844218
630.091,0.839419
632.786,0.836188
635.481,0.834762
638.176,0.836378
640.871,0.833052
643.566,0.821696
646.261,0.814141
648.956,0.81129
651.651,0.809627
654.346,0.808012
656.673,0.798046
658.633,0.786351
660.593,0.774983
662.553,0.763746
664.881,0.751992
667.576,0.745387
670.026,0.737652
671.142,0.726107
672.353,0.71476
673.578,0.702216
674.803,0.690247
676.028,0.677128
677.253,0.663486
678.464,0.65096
679.807,0.638242
682.52,0.63197
685.215,0.626126
687.91,0.618761
690.483,0.609485
692.933,0.597736
695.505,0.589492
698.2,0.59163
699.793,0.59277
