# name: Sony IMX585
# kind: sensor
# channel: 
# manufacturer: Sony
# source: https://gitlab.com/free-astro/siril-spcc-database/-/blob/main/mono_sensors/Sony_IMX585.json
# origin: https://www.touptekastro.com/en-eu/products/atr585m
# license: GPL-3.0-or-later
wavelength_nm,value
380,0.666314
404.714,0.696036
413.697,0.711508
422.68,0.726561
431.99,0.743041
440.646,0.754958
449.875,0.770352
458.613,0.780326
467.759,0.79453
476.579,0.810581
484.927,0.829794
493.729,0.847404
503.038,0.860532
511.695,0.87634
520.678,0.888125
529.661,0.900875
538.644,0.912293
547.546,0.925577
556.61,0.934363
565.866,0.943719
574.577,0.954993
583.315,0.969644
592.452,0.981431
601.526,0.985219
610.509,0.990257
619.492,0.996134
628.475,0.997633
637.458,0.996014
646.351,0.995944
655.588,0.995108
663.999,0.993723
673.663,0.990227
682.374,0.986239
691.194,0.983201
700.34,0.985939
710.303,0.990886
719.123,0.989087
728.106,0.977513
736.763,0.961761
746.345,0.947567
755.056,0.93982
763.494,0.935143
773.022,0.925817
782.005,0.90973
789.763,0.885852
796.296,0.863645
803.238,0.842346
811.323,0.823128
820.387,0.80307
828.962,0.787339
838.109,0.776784
847.337,0.766082
856.32,0.753998
865.303,0.73908
873.061,0.720228
879.186,0.701406
886.128,0.678619
893.886,0.657725
901.644,0.634262
909.81,0.613742
918.957,0.593177
928.185,0.576722
937.168,0.557981
944.926,0.540723
951.868,0.519927
957.992,0.499292
963.301,0.475387
968.201,0.453796
972.692,0.433362
977.592,0.40737
982.9,0.384317
988.208,0.363149
992.7,0.345325
997.328,0.321231
1000.87,0.307119
