# name: ZWO Seestar S50 Blue
# kind: sensor
# channel: blue
# manufacturer: ZWO
# source: https://gitlab.com/free-astro/siril-spcc-database/-/blob/main/osc_sensors/ZWO_Seestar_S50.json
# origin: Scanned from QE curve
# license: GPL-3.0-or-later
wavelength_nm,value
380,0.2
400.225,0.440274
401.191,0.4543
403.758,0.47298
405.248,0.486968
406.794,0.500907
409.885,0.515673
412.976,0.5307
416.067,0.54429
419.159,0.556965
422.25,0.570555
425.341,0.584015
428.432,0.596559
431.523,0.609104
434.743,0.621591
438.654,0.633766
443.115,0.645693
447.656,0.657976
452.389,0.665381
457.026,0.668865
461.663,0.667297
465.913,0.65693
467.845,0.647435
471.065,0.637039
474.607,0.625961
477.119,0.611543
478.664,0.599347
480.854,0.584654
483.172,0.569321
485.523,0.553699
487.165,0.539586
488.711,0.527041
490.257,0.514148
491.802,0.500558
493.348,0.486271
494.893,0.471636
496.053,0.458046
497.046,0.445202
498.714,0.430401
500.137,0.414289
501.806,0.398226
503.229,0.382181
504.747,0.367881
506.292,0.351939
507.838,0.33652
509.521,0.321399
510.929,0.305027
513.054,0.28944
514.729,0.273535
516.587,0.25763
517.691,0.242696
518.85,0.230848
521.003,0.217458
522.659,0.204316
525.75,0.192368
528.124,0.179799
530.498,0.168474
533.662,0.157323
537.398,0.145998
542.034,0.138158
546.478,0.127181
549.183,0.117381
553.571,0.110529
558.263,0.104008
562.9,0.0987813
567.537,0.0973875
572.174,0.0994783
576.811,0.101569
581.447,0.102614
586.084,0.105402
590.721,0.106796
595.358,0.104357
599.995,0.100698
604.631,0.0980844
609.268,0.0944256
613.905,0.0911152
618.542,0.0881533
623.179,0.0898956
627.816,0.0928575
632.452,0.0963421
637.089,0.0991298
641.726,0.103311
646.363,0.109409
650.944,0.115906
655.637,0.124045
660.549,0.131139
664.91,0.139551
669.547,0.145998
674.184,0.152793
678.821,0.161505
683.457,0.171261
688.094,0.180321
692.786,0.18968
697.644,0.198342
702.005,0.205411
706.642,0.210289
711.278,0.21238
715.915,0.21238
720.552,0.21238
725.189,0.212728
729.826,0.215516
734.462,0.219349
739.099,0.227712
743.561,0.235569
748.566,0.248315
752.237,0.259004
756.101,0.271967
759.772,0.285034
762.339,0.299296
765.319,0.313633
767.886,0.327372
770.067,0.343053
771.557,0.358037
773.268,0.371129
774.648,0.387221
775.679,0.402989
777.611,0.420063
779.285,0.440379
780.927,0.461313
781.217,0.483135
781.604,0.476863
783.149,0.497248
784.824,0.51833
785.081,0.534568
786.337,0.55017
786.627,0.567114
787.689,0.584799
788.724,0.602906
789.332,0.618513
790.104,0.632451
790.877,0.645867
791.65,0.659283
792.423,0.672176
792.809,0.684267
793.968,0.702352
795.643,0.725548
796.287,0.742217
797.961,0.759698
798.219,0.775843
800.151,0.791524
800.924,0.80703
802.469,0.822232
803.822,0.83922
805.303,0.855989
807.161,0.87172
808.817,0.887102
810.363,0.900393
812.516,0.914879
815.027,0.930952
818.874,0.9432
823.335,0.955475
827.972,0.958786
832.609,0.956695
837.245,0.950771
841.882,0.943105
844.742,0.934742
848.782,0.928021
851.735,0.917101
855.793,0.911395
860.43,0.901638
865.011,0.892478
868.08,0.883727
871.635,0.876462
873.567,0.868186
878.204,0.862959
881.604,0.851111
885.656,0.844092
889.496,0.832526
892.942,0.823931
895.399,0.813085
899.07,0.801873
902.934,0.788388
906.669,0.774798
909.889,0.759117
912.98,0.744482
916.071,0.730761
919.163,0.719523
922.199,0.706549
923.799,0.693083
926.835,0.679369
929.264,0.665032
932.3,0.653664
935.391,0.642034
938.483,0.628052
941.519,0.614107
943.948,0.600069
946.984,0.588327
950.204,0.578497
953.81,0.567579
957.03,0.554091
960.121,0.540501
963.341,0.529945
966.948,0.519607
970.168,0.505872
973.259,0.490453
976.35,0.475425
979.57,0.462111
983.305,0.450937
986.976,0.437922
989.543,0.422652
992.579,0.411003
995.67,0.399504
997.795,0.388266
998.375,0.37546
