# name: ZWO Seestar S50 Green
# kind: sensor
# channel: green
# manufacturer: ZWO
# source: https://gitlab.com/free-astro/siril-spcc-database/-/blob/main/osc_sensors/ZWO_Seestar_S50.json
# origin: Scanned from QE curve
# license: GPL-3.0-or-later
wavelength_nm,value
380,0.1
401.384,0.0604505
406.021,0.054004
410.658,0.0477317
415.295,0.0414593
419.931,0.0358839
424.568,0.0346643
429.205,0.0346643
433.842,0.0346643
438.479,0.0348386
443.115,0.0376263
448.028,0.0404886
452.389,0.0461636
456.06,0.0614524
458.627,0.0769278
460.933,0.0920444
462.436,0.110063
463.466,0.125961
465.312,0.144081
466.134,0.164143
466.944,0.180321
467.802,0.198093
468.715,0.217607
469.004,0.234333
469.998,0.250014
470.771,0.26674
471.544,0.283466
472.316,0.30064
473.089,0.317665
473.862,0.335437
474.635,0.35276
475.408,0.370831
476.18,0.388154
477.215,0.406691
477.505,0.4232
478.793,0.441087
479.051,0.458046
479.92,0.474119
481.112,0.493705
481.369,0.510315
482.625,0.526649
482.915,0.541677
485.62,0.585374
486.392,0.602309
486.779,0.614854
488.104,0.629937
488.711,0.644473
488.969,0.658411
490.643,0.675355
492.532,0.696278
493.734,0.714613
495.721,0.730294
497.212,0.743959
498.923,0.756578
500.303,0.770094
502.621,0.78229
504.995,0.794063
508.031,0.805767
511.431,0.818599
515.483,0.829606
520.396,0.839089
525.033,0.844664
529.67,0.847626
534.306,0.847452
538.943,0.842225
543.58,0.835604
548.217,0.825673
551.437,0.812548
555.172,0.800619
558.907,0.788504
562.072,0.775096
564.446,0.762427
566.819,0.750156
569.855,0.737164
572.947,0.723966
575.983,0.710133
578.356,0.695697
580.509,0.680713
582.027,0.666731
584.442,0.652749
586.084,0.639246
587.63,0.626701
589.175,0.613111
590.721,0.599173
591.623,0.58506
592.874,0.571545
594.392,0.555528
595.937,0.53841
597.483,0.521161
599.179,0.502417
600.602,0.483732
601.637,0.466278
603.73,0.448753
605.211,0.429298
606.453,0.411899
607.766,0.393116
608.624,0.377551
610.685,0.360825
613.036,0.343053
614.678,0.328766
616.224,0.317616
617.769,0.306987
619.48,0.295563
623.05,0.28335
626.27,0.27053
629.361,0.260206
633.998,0.254718
638.635,0.24862
643.272,0.244787
647.908,0.243742
652.545,0.245658
657.182,0.251756
661.819,0.2589
666.28,0.271777
670.191,0.287648
673.411,0.302675
676.502,0.317441
679.593,0.332077
682.685,0.346712
685.721,0.361273
688.094,0.374938
690.413,0.387482
692.731,0.400027
695.05,0.413094
697.368,0.426684
699.742,0.439826
702.778,0.451381
706.178,0.463168
710.506,0.474075
715.142,0.480522
719.779,0.486445
724.416,0.490278
729.439,0.496464
733.69,0.505437
738.017,0.518783
741.418,0.53449
743.791,0.550786
746.827,0.564936
749.863,0.579908
752.237,0.593075
754.555,0.604574
756.929,0.616944
759.965,0.629881
763.056,0.642687
766.147,0.656277
769.239,0.670912
772.33,0.685548
775.366,0.700127
777.74,0.713643
780.058,0.72671
782.376,0.740126
784.75,0.751949
786.24,0.764867
787.952,0.777635
789.497,0.790628
791.65,0.804765
793.968,0.818181
796.287,0.830726
798.605,0.843619
800.979,0.857533
803.739,0.872168
812.902,0.901289
816.38,0.913834
821.017,0.9215
825.653,0.923243
830.29,0.920281
834.927,0.916099
839.564,0.90913
842.913,0.900593
847.292,0.895714
851.331,0.885134
855.406,0.876462
857.918,0.869405
861.975,0.865224
866.612,0.857732
871.249,0.848672
875.886,0.839263
880.467,0.829755
883.034,0.81988
887.478,0.814871
891.342,0.803337
895.206,0.790479
899.07,0.777516
902.805,0.765273
906.025,0.753237
909.116,0.740561
912.207,0.727494
915.299,0.715603
918.39,0.702797
921.095,0.687682
923.744,0.673395
925.731,0.661478
928.436,0.649743
931.527,0.637591
934.619,0.625046
937.323,0.612589
939.642,0.600567
942.402,0.587823
946.984,0.576174
950.654,0.562715
954.656,0.5478
958.962,0.532477
962.826,0.521605
966.304,0.50927
969.008,0.497422
971.327,0.485574
974.032,0.473204
977.509,0.459927
981.373,0.448637
984.465,0.436093
986.783,0.424593
989.488,0.413094
992.579,0.401072
995.67,0.387221
997.989,0.37546
