# name: ZWO Seestar S50 Red
# kind: sensor
# channel: red
# manufacturer: ZWO
# source: https://gitlab.com/free-astro/siril-spcc-database/-/blob/main/osc_sensors/ZWO_Seestar_S50.json
# origin: Scanned from QE curve
# license: GPL-3.0-or-later
wavelength_nm,value
380,0.15
400.998,0.115972
403.896,0.104705
407.567,0.0933105
411.606,0.0803762
415.681,0.0715142
417.999,0.061583
421.863,0.054788
423.718,0.047418
430.554,0.0402341
439.251,0.0278693
443.888,0.0256043
448.525,0.0221197
453.162,0.0221197
457.799,0.0221197
462.436,0.0221197
467.072,0.0229909
471.709,0.0242105
476.346,0.0263012
480.983,0.0294374
485.62,0.0325736
490.257,0.0357097
494.893,0.0388459
499.53,0.041982
504.167,0.0477317
508.804,0.0541782
513.385,0.0618444
518.077,0.0710786
522.714,0.0756086
527.351,0.078919
531.988,0.0785705
536.625,0.0754344
541.262,0.0722982
545.898,0.0709044
550.535,0.0740405
555.481,0.0805568
559.091,0.0900698
561.354,0.112023
562.803,0.128096
564.349,0.145737
565.384,0.163097
565.605,0.177464
566.378,0.202972
566.764,0.192779
568.31,0.214784
568.696,0.232242
569.565,0.248576
570.532,0.268569
571.015,0.282421
571.272,0.294478
572.367,0.313782
572.671,0.331405
573.43,0.349456
574.396,0.368927
574.879,0.383301
575.136,0.394858
575.651,0.415969
576.596,0.437254
577.369,0.45944
578.141,0.481509
578.914,0.504043
579.687,0.526344
580.46,0.548297
581.447,0.583492
581.576,0.570018
582.177,0.595572
582.703,0.615376
583.269,0.635015
585.268,0.682455
586.181,0.700837
586.954,0.719131
587.243,0.734864
588.403,0.753472
589.047,0.772359
589.783,0.787641
590.721,0.803023
591.88,0.819749
593.426,0.839481
595.358,0.859579
597.676,0.876026
600.05,0.887849
604.631,0.895191
609.268,0.892578
613.905,0.885957
618.266,0.877694
623.179,0.87289
627.816,0.867314
632.452,0.861042
637.089,0.85355
641.726,0.84449
646.363,0.834733
650.613,0.824192
652.932,0.81731
657.182,0.810341
661.819,0.8025
666.263,0.794137
671.093,0.788214
675.729,0.783509
680.366,0.779154
685.003,0.779502
690.026,0.78486
693.968,0.793615
697.368,0.807466
700.588,0.820214
704.194,0.831946
707.543,0.846
711.454,0.857668
715.915,0.869405
720.166,0.881427
724.996,0.892665
730.102,0.902932
734.462,0.912614
739.375,0.919658
743.427,0.927424
748.373,0.938662
753.01,0.94659
757.647,0.95112
762.283,0.953907
766.92,0.957392
771.557,0.96018
776.194,0.963664
780.831,0.967149
785.468,0.974118
790.104,0.981262
794.741,0.987534
799.378,0.993632
804.015,0.997291
808.652,0.999207
813.288,0.999556
817.925,0.998336
822.562,0.993806
827.033,0.985368
831.063,0.97363
834.927,0.96471
839.564,0.955998
848.065,0.922197
852.701,0.910001
857.338,0.898676
861.975,0.888048
866.612,0.876897
871.249,0.865224
875.886,0.85477
878.977,0.844316
883.227,0.835848
887.478,0.826544
891.728,0.816613
895.592,0.80365
899.456,0.790269
902.934,0.777934
906.025,0.766173
908.987,0.753193
912.934,0.738113
917.801,0.71763
921.586,0.700073
924.831,0.67959
930.239,0.656181
935.647,0.637162
939.432,0.61229
945.381,0.591807
949.166,0.577176
956.196,0.552304
962.145,0.530358
968.094,0.514265
971.338,0.498171
978.909,0.464521
984.858,0.444038
991.888,0.413314
999.459,0.379663
