# name: Average Spiral Galaxy
# kind: white_reference
# channel: 
# manufacturer: SWIRE Template Library
# source: https://gitlab.com/free-astro/siril-spcc-database/-/blob/main/wb_refs/Average_spiral_galaxy.json
# origin: http://www.iasf-milano.inaf.it/~polletta/templates/swire_templates.html
# license: GPL-3.0-or-later
wavelength_nm,value
100.5,0.745289
101.5,0.729958
102.5,0.439516
103.5,0.567174
104.5,0.901613
105.5,0.886673
106.5,0.730604
107.5,0.833079
108.5,0.691303
109.5,0.860056
110.5,0.835762
111.5,0.80701
112.5,0.736855
113.5,0.895194
114.5,0.82387
115.5,0.866311
116.5,0.885627
117.5,0.651271
118.5,0.848051
119.5,0.612515
120.5,0.486904
121.5,0.38056
122.5,0.606791
123.5,0.856459
124.5,0.93172
125.5,0.88952
126.5,0.768876
127.5,0.978155
128.5,1.02233
129.5,0.823419
130.5,0.802607
131.5,0.986079
132.5,0.94784
133.5,0.837206
134.5,0.988803
135.5,0.954741
136.5,0.854333
137.5,0.895124
138.5,0.898363
139.5,0.792595
140.5,0.811948
141.5,0.823422
142.5,0.842227
143.5,0.829696
144.2,0.871248
144.7,0.886122
145.5,0.856279
146.5,0.788925
147.5,0.781012
148.5,0.793235
149.5,0.803551
150.5,0.759858
151.2,0.678443
151.7,0.72361
152.5,0.691992
153.5,0.60363
154.5,0.659871
155.5,0.621151
156.5,0.626351
157.5,0.660493
158.5,0.6906
159.5,0.701848
160.5,0.683615
161.5,0.683287
162.5,0.644281
163.5,0.680146
164.5,0.687866
165.5,0.632966
166.5,0.6852
167.2,0.60622
167.7,0.683039
168.5,0.711411
169.5,0.666628
170.5,0.636784
171.5,0.600625
172.5,0.593186
173.5,0.625106
174.5,0.607564
175.5,0.642852
176.5,0.583696
177.5,0.594979
178.5,0.599829
179.5,0.634339
180.5,0.623734
181.5,0.574793
182.5,0.580154
183.5,0.553937
184.5,0.50726
185.5,0.50473
186.5,0.515726
187.5,0.552419
188.5,0.508021
189.5,0.486417
190.5,0.507465
191.5,0.487744
192.5,0.476602
193.5,0.484317
194.5,0.501192
195.5,0.468826
196.7,0.507161
197.6,0.517009
198.4,0.488232
199.5,0.471757
200.5,0.481466
201.5,0.462167
202.5,0.480144
203.5,0.454762
204.5,0.470269
205.5,0.44714
206.5,0.446529
207.4,0.474631
207.8,0.456144
208.5,0.470736
209.5,0.443908
210.5,0.442857
211.5,0.445255
212.5,0.448205
213.5,0.413904
214.5,0.425654
215.5,0.437912
216.5,0.420852
217.5,0.414834
218.5,0.40887
219.5,0.424867
220.5,0.410733
221.5,0.387413
222.5,0.376079
223.5,0.403905
224.5,0.385291
225.5,0.367798
226.5,0.37472
227.5,0.385129
228.5,0.397846
229.5,0.375316
230.5,0.376732
231.5,0.358551
232.5,0.286322
233.5,0.332368
234.5,0.319864
235.5,0.34932
236.5,0.318169
237.5,0.329111
238.5,0.303578
239.5,0.324321
240.5,0.311757
241.5,0.319476
242.5,0.342543
243.5,0.330078
244.5,0.350502
245.5,0.345823
246.5,0.341183
247.5,0.327532
248.5,0.330809
249.5,0.314354
250.5,0.351961
251.3,0.309542
251.8,0.315536
252.5,0.302828
253.5,0.310321
254.5,0.305439
255.5,0.334864
256.5,0.321102
257.5,0.342283
258.5,0.335619
259.5,0.329096
260.5,0.315804
261.5,0.310004
262.5,0.327296
263.5,0.349432
264.5,0.385145
265.5,0.410004
266.5,0.354472
267.5,0.373158
268.5,0.379731
269.5,0.349389
270.5,0.367386
271.5,0.337552
272.5,0.328502
273.5,0.350371
274.5,0.296557
275.5,0.308774
276.5,0.326847
277.5,0.341221
278.5,0.310998
279.5,0.246927
280.5,0.264801
281.5,0.332332
282.5,0.360088
283.5,0.344542
284.5,0.322541
285.5,0.299872
286.5,0.349863
287.5,0.367818
288.5,0.36083
289.5,0.373681
291,0.424137
293,0.397362
295,0.383713
297,0.390212
299,0.390842
301,0.392514
303,0.398244
305,0.400687
307,0.411508
309,0.408438
311,0.426355
313,0.411114
315,0.412094
317,0.424136
319,0.391444
321,0.411454
323,0.379227
325,0.437974
327,0.47195
329,0.46587
331,0.451144
333,0.453853
335,0.442906
337,0.387746
339,0.407192
341,0.411511
343,0.41865
345,0.427147
347,0.431748
349,0.457091
351,0.474177
353,0.444801
355,0.482109
357,0.391468
359,0.392134
361,0.440086
363,0.453525
364,0.463726
365,0.504469
367,0.517574
369,0.47139
371,0.50208
373,0.408121
375,0.474558
377,0.547477
379,0.595009
381,0.612235
383,0.438177
385,0.574852
387,0.601555
389,0.527666
391,0.705532
393,0.490372
395,0.639342
397,0.423032
399,0.788098
401,0.860547
403,0.851575
405,0.830452
407,0.78937
409,0.838942
411,0.748678
413,0.828184
415,0.831868
417,0.836611
419,0.824891
421,0.829628
423,0.797276
425,0.828981
427,0.789097
429,0.759313
431,0.683725
433,0.804383
435,0.770598
437,0.904566
439,0.834426
441,0.865996
443,0.906636
445,0.913909
447,0.954783
449,0.968592
451,1.07329
453,0.959394
455,0.989325
457,1.05422
459,1.00362
461,1.02451
463,0.998627
465,1.01
467,1.044
469,1.02486
471,0.990741
473,1.02397
475,1.04889
477,1.0351
479,1.0348
481,1.02902
483,1.05129
485,0.964869
487,0.865372
489,1.0081
491,1.01424
493,0.99331
495,1.03263
497,1.01424
499,0.949681
501,0.899498
503,0.950179
505,0.943092
507,0.980104
509,0.93016
511,0.95035
513,0.917404
515,0.883946
517,0.823172
519,0.847393
521,0.90689
523,0.966488
525,1.00486
527,0.894081
529,1.01366
531,1.06867
533,0.947532
535,1.03056
537,1.02319
539,1.00022
541,0.983775
543,0.997077
545,1.02275
547,1.00091
549,1.00678
551,0.993221
553,1.02571
555,1.03846
557,1.01644
559,0.991444
561,1.02461
563,1.01659
565,1.03003
567,1.00437
569,1.03453
571,0.999932
573,1.07997
575,1.039
577,1.04846
579,1.00745
581,1.04728
583,1.0758
585,1.04155
587,1.0387
589,0.924532
591,1.02019
593,1.02747
595,1.0265
597,1.04321
599,1.02475
601,1.01079
603,1.03683
605,1.05429
607,1.05086
609,1.01301
611,1.01631
613,0.96092
615,0.985243
617,0.933788
619,0.991267
621,0.981498
623,0.950033
625,0.919428
627,0.962643
629,0.97998
631,0.953843
633,0.966824
635,0.96657
637,0.961201
639,0.980026
641,0.960585
643,0.969415
645,0.961552
647,0.959214
649,0.939641
651,0.971904
653,0.968862
655,0.936735
657,0.874467
659,0.950567
661,0.962335
663,0.952769
665,0.952087
667,0.929469
669,0.942002
671,0.905153
673,0.928599
675,0.911913
677,0.916601
679,0.904597
681,0.909206
683,0.919823
685,0.895429
687,0.910243
689,0.923087
691,0.920183
693,0.912743
695,0.912261
697,0.923741
699,0.919346
701,0.905385
703,0.924773
705,0.928781
707,0.898961
709,0.870284
711,0.847932
713,0.829873
715,0.826928
717,0.837145
719,0.816903
721,0.836347
723,0.855021
725,0.861248
727,0.867176
729,0.854732
731,0.879679
733,0.882776
735,0.892245
737,0.915393
739,0.897892
741,0.897488
743,0.91983
745,0.919203
747,0.934398
749,0.93249
751,0.942682
753,0.958229
755,0.96512
757,0.96073
759,0.939169
761,0.921046
763,0.899775
765,0.879546
767,0.835935
769,0.856493
771,0.840137
773,0.842133
775,0.836113
777,0.846218
779,0.854147
781,0.852909
783,0.845634
785,0.833989
787,0.848655
789,0.836696
791,0.817361
793,0.820962
795,0.81437
797,0.842407
799,0.84291
801,0.851833
803,0.855233
805,0.855822
807,0.867815
809,0.859616
811,0.869515
813,0.89602
815,0.906989
817,0.916069
819,0.886856
821,0.875017
823,0.88033
825,0.879056
827,0.888072
829,0.877841
831,0.846842
833,0.840636
835,0.840253
837,0.845337
839,0.815921
841,0.843237
843,0.801297
845,0.782224
847,0.782667
849,0.789343
851,0.754061
853,0.789188
855,0.727035
857,0.815044
859,0.802326
861,0.811506
863,0.83255
865,0.832767
867,0.74925
869,0.814255
871,0.845969
873,0.851757
875,0.836837
877,0.858968
879,0.871901
881,0.855066
883,0.863806
885,0.858736
887,0.819524
889,0.838749
891,0.850644
893,0.834688
895,0.837269
897,0.840364
899,0.840611
901,0.80833
903,0.842962
905,0.874537
907,0.874883
909,0.857668
911,0.869311
913,0.885574
915,0.879141
917,0.878159
919,0.887473
921,0.849789
923,0.820151
925,0.823254
927,0.830719
929,0.819899
931,0.825715
933,0.827094
935,0.823743
937,0.80949
939,0.82477
941,0.807739
943,0.829816
945,0.817246
947,0.837255
949,0.838781
951,0.822515
953,0.825621
955,0.804694
957,0.819417
959,0.837453
961,0.825385
963,0.830419
965,0.814783
967,0.815027
969,0.8288
971,0.815518
973,0.807243
975,0.804184
977,0.808485
979,0.796371
981,0.817242
983,0.808327
985,0.814614
987,0.808616
989,0.80761
991,0.799388
993,0.804767
995,0.806645
997,0.807055
999,0.804172
1003,0.800705
1007,0.789454
1013,0.80045
1017,0.790996
1022,0.793112
1028,0.794585
1032,0.784318
1038,0.778326
1043,0.781198
1048,0.76951
1052,0.762366
1058,0.747
1063,0.740048
1068,0.731646
1072,0.73587
1078,0.730171
1082,0.718987
1087,0.716204
1092,0.712029
1098,0.704137
1102,0.700561
1108,0.68948
1113,0.686726
1117,0.68138
1122,0.681037
1128,0.671275
1133,0.669991
1138,0.664722
1143,0.657119
1147,0.665255
1153,0.662303
1157,0.654287
1162,0.643667
1167,0.642733
1173,0.64505
1177,0.630026
1183,0.62358
1187,0.612522
1192,0.621696
1198,0.600786
1203,0.611719
1207,0.606107
1212,0.606321
1218,0.60707
1223,0.602785
1227,0.598035
1232,0.593169
1237,0.59142
1243,0.582226
1248,0.580217
1253,0.574268
1258,0.57203
1262,0.568319
1267,0.56281
1272,0.562634
1278,0.561793
1283,0.541199
1288,0.551228
1292,0.544876
1298,0.549937
1302,0.542449
1308,0.543695
1313,0.531316
1318,0.529633
1323,0.529272
1328,0.519576
1332,0.519205
1338,0.513062
1343,0.514473
1347,0.5098
1352,0.505588
1357,0.498182
1363,0.495394
1367,0.49739
1373,0.498119
1377,0.496494
1382,0.496624
1388,0.491486
1393,0.470567
1397,0.467306
1402,0.462178
1408,0.465438
1412,0.459183
1418,0.463421
1423,0.458342
1428,0.450816
1433,0.45824
1438,0.461537
1442,0.450086
1448,0.457657
1452,0.453595
1457,0.455781
1462,0.446194
1467,0.443317
1472,0.439128
1477,0.441699
1483,0.443654
1488,0.438527
1492,0.449764
1498,0.445369
1503,0.438563
1507,0.439528
1512,0.447459
1517,0.448746
1522,0.448225
1528,0.450871
1533,0.449492
1537,0.44878
1543,0.445224
1548,0.446041
1552,0.441749
1557,0.429657
1562,0.433926
1567,0.431568
1572,0.440595
1578,0.414347
1583,0.416083
1587,0.414254
1593,0.427056
1598,0.419151
1605,0.421943
1615,0.4271
1625,0.416247
1635,0.426617
1645,0.410135
1655,0.418629
1665,0.40909
1675,0.406079
1685,0.39894
1695,0.400218
1705,0.39165
1715,0.385771
1725,0.377295
1735,0.366082
1745,0.361751
1755,0.35466
1765,0.34741
1775,0.337909
1785,0.33232
1795,0.323827
1805,0.315193
1815,0.309004
1825,0.304874
1835,0.300683
1845,0.293001
1855,0.289754
1865,0.282181
1875,0.274974
1885,0.274866
1895,0.264948
1905,0.268147
1915,0.263287
1925,0.259927
1935,0.25297
1945,0.246582
1955,0.245782
1965,0.241597
1975,0.23532
1985,0.232896
1995,0.230174
2005,0.22897
2015,0.22581
2025,0.220724
2035,0.218531
2045,0.217903
2055,0.214391
2065,0.211708
2075,0.209913
2085,0.206992
2095,0.203421
2105,0.203349
2115,0.199736
2125,0.197396
2135,0.196773
2145,0.194087
2155,0.191266
2165,0.187768
2175,0.185458
2185,0.18373
2195,0.18162
2205,0.177195
2215,0.177398
2225,0.173257
2235,0.171266
2245,0.16917
2255,0.167283
2265,0.163719
2275,0.163339
2285,0.159539
2295,0.136233
2305,0.144364
2315,0.143513
2325,0.124163
2335,0.132401
2345,0.127608
2355,0.114496
2365,0.122814
2375,0.118196
2385,0.107744
2395,0.113901
2405,0.111596
2415,0.102528
2425,0.106496
2435,0.103892
2445,0.0984775
2455,0.0967646
2465,0.0977508
2475,0.0935968
2485,0.0854852
2495,0.0848799
2505,0.0861341
