# name: Galaxy, spiral, Sb
# kind: white_reference
# channel: 
# manufacturer: SWIRE Template Library
# source: https://gitlab.com/free-astro/siril-spcc-database/-/blob/main/wb_refs/Sb.json
# origin: http://www.iasf-milano.inaf.it/~polletta/templates/swire_templates.html
# license: GPL-3.0-or-later
wavelength_nm,value
100.5,0.168124
101.5,0.156867
102.5,0.0751298
103.5,0.107188
104.5,0.202814
105.5,0.211685
106.5,0.172223
107.5,0.202385
108.5,0.157173
109.5,0.207341
110.5,0.216947
111.5,0.210401
112.5,0.205567
113.5,0.248638
114.5,0.22435
115.5,0.24613
116.5,0.26118
117.5,0.209482
118.5,0.244417
119.5,0.128234
120.5,0.105721
121.5,0.0648515
122.5,0.132029
123.5,0.249985
124.5,0.298256
125.5,0.281615
126.5,0.208381
127.5,0.32854
128.5,0.359069
129.5,0.27929
130.5,0.252921
131.5,0.339798
132.5,0.333679
133.5,0.275864
134.5,0.360538
135.5,0.345304
136.5,0.299602
137.5,0.331355
138.5,0.337228
139.5,0.323523
140.5,0.32695
141.5,0.307984
142.5,0.325297
143.5,0.309696
144.2,0.334536
144.7,0.348792
145.5,0.335086
146.5,0.305475
147.5,0.297338
148.5,0.309696
149.5,0.321444
150.5,0.307616
151.2,0.270357
151.7,0.296175
152.5,0.270724
153.5,0.235117
154.5,0.281799
155.5,0.257571
156.5,0.249373
157.5,0.263689
158.5,0.282532
159.5,0.291342
160.5,0.277944
161.5,0.279474
162.5,0.256654
163.5,0.272071
164.5,0.277699
165.5,0.244662
166.5,0.27464
167.2,0.226613
167.7,0.270541
168.5,0.292994
169.5,0.271458
170.5,0.255001
171.5,0.23989
172.5,0.23732
173.5,0.254084
174.5,0.247904
175.5,0.271153
176.5,0.235117
177.5,0.250596
178.5,0.251759
179.5,0.274028
180.5,0.266381
181.5,0.2487
182.5,0.248026
183.5,0.23524
184.5,0.214072
185.5,0.214561
186.5,0.221475
187.5,0.240562
188.5,0.223493
189.5,0.217314
190.5,0.222514
191.5,0.217926
192.5,0.215417
193.5,0.2145
194.5,0.225758
195.5,0.214194
196.7,0.233893
197.6,0.237564
198.4,0.224778
199.5,0.215723
200.5,0.218599
201.5,0.20728
202.5,0.21658
203.5,0.208381
204.5,0.21817
205.5,0.206546
206.5,0.2052
207.4,0.219884
207.8,0.218599
208.5,0.224839
209.5,0.211257
210.5,0.207341
211.5,0.209604
212.5,0.211257
213.5,0.188559
214.5,0.202569
215.5,0.208381
216.5,0.196513
217.5,0.193637
218.5,0.193882
219.5,0.203792
220.5,0.194738
221.5,0.179014
222.5,0.173875
223.5,0.194922
224.5,0.180972
225.5,0.168981
226.5,0.172285
227.5,0.180361
228.5,0.190885
229.5,0.178525
230.5,0.178158
231.5,0.166474
232.5,0.125238
233.5,0.149037
234.5,0.138451
235.5,0.161518
236.5,0.138085
237.5,0.147323
238.5,0.128786
239.5,0.143224
240.5,0.13625
241.5,0.142
242.5,0.160661
243.5,0.154298
244.5,0.168614
245.5,0.166106
246.5,0.162374
247.5,0.153135
248.5,0.15283
249.5,0.149954
250.5,0.172896
251.3,0.141389
251.8,0.142428
252.5,0.135087
253.5,0.142979
254.5,0.141389
255.5,0.16629
256.5,0.153992
257.5,0.170754
258.5,0.165249
259.5,0.160111
260.5,0.150566
261.5,0.146527
262.5,0.161518
263.5,0.184705
264.5,0.215357
265.5,0.243316
266.5,0.193087
267.5,0.208748
268.5,0.217436
269.5,0.190394
270.5,0.208932
271.5,0.181278
272.5,0.170878
273.5,0.190028
274.5,0.146773
275.5,0.159009
276.5,0.176016
277.5,0.186602
278.5,0.15858
279.5,0.110797
280.5,0.123279
281.5,0.179687
282.5,0.207831
283.5,0.19743
284.5,0.174855
285.5,0.152891
286.5,0.200734
287.5,0.223921
288.5,0.21609
289.5,0.233404
291,0.284002
293,0.258855
295,0.246865
297,0.253962
299,0.256103
301,0.258305
303,0.266258
305,0.270724
307,0.284858
309,0.282349
311,0.305475
313,0.290424
315,0.292137
317,0.307923
319,0.276536
321,0.297215
323,0.264912
325,0.329948
327,0.368124
329,0.36274
331,0.346651
333,0.352523
335,0.342612
337,0.283145
339,0.305965
341,0.311349
343,0.32077
345,0.33166
347,0.338329
349,0.367879
351,0.38709
353,0.355949
355,0.397307
357,0.299235
359,0.302171
361,0.356439
363,0.372101
364,0.383664
365,0.42643
367,0.444661
369,0.399695
371,0.426185
373,0.320709
375,0.374671
377,0.452614
379,0.487181
381,0.488895
383,0.325053
385,0.437442
387,0.454818
389,0.434996
391,0.57461
393,0.356561
395,0.508717
397,0.333373
399,0.674212
401,0.743346
403,0.736005
405,0.712756
407,0.673599
409,0.754359
411,0.682778
413,0.726214
415,0.724379
417,0.73111
419,0.719484
421,0.725603
423,0.691954
425,0.729274
427,0.690118
429,0.657692
431,0.583296
433,0.740899
435,0.720097
437,0.82961
439,0.750687
441,0.786171
443,0.832669
445,0.840623
447,0.889568
449,0.905474
451,1.0205
453,0.897521
455,0.933617
457,1.00398
459,0.95136
461,0.973997
463,0.948301
465,0.961149
467,1.0003
469,0.98195
471,0.948301
473,0.982563
475,1.01071
477,0.996021
479,0.997858
481,0.994184
483,1.02356
485,0.946466
487,0.853471
489,0.981338
491,0.98562
493,0.964208
495,1.00642
497,0.986233
499,0.917711
501,0.865708
503,0.920158
505,0.914652
507,0.95442
509,0.901191
511,0.92444
513,0.889568
515,0.854694
517,0.787395
519,0.814927
521,0.883449
523,0.95136
525,0.994184
527,0.874272
529,1.00582
531,1.06882
533,0.936065
535,1.02722
537,1.01989
539,0.996021
541,0.979504
543,0.9948
545,1.02234
547,1.0003
549,1.00704
551,0.992963
553,1.03028
555,1.04497
557,1.02172
559,0.9948
561,1.03212
563,1.02417
565,1.04007
567,1.01315
569,1.04681
571,1.00948
573,1.09819
575,1.05414
577,1.06516
579,1.0205
581,1.06516
583,1.09758
585,1.06026
587,1.05843
589,0.930558
591,1.03824
593,1.04742
595,1.04742
597,1.06638
599,1.04681
601,1.03212
603,1.0621
605,1.08167
607,1.07861
609,1.03763
611,1.04191
613,0.981338
615,1.00948
617,0.951973
619,1.01561
621,1.00582
623,0.97155
625,0.939124
627,0.986233
629,1.00642
631,0.97828
633,0.992963
635,0.993578
637,0.988069
639,1.00948
641,0.988681
643,0.99908
645,0.991127
647,0.988681
649,0.96849
651,1.00459
653,1.00276
655,0.972773
657,0.913428
659,0.985011
661,0.996637
663,0.98562
665,0.985011
667,0.960537
669,0.973997
671,0.933617
673,0.959926
675,0.942184
677,0.947689
679,0.934841
681,0.940348
683,0.952584
685,0.926277
687,0.942794
689,0.957477
691,0.955032
693,0.947077
695,0.947689
697,0.961149
699,0.956256
701,0.942184
703,0.963597
705,0.96849
707,0.935452
709,0.903027
711,0.879166
713,0.859589
715,0.855918
717,0.867542
719,0.846129
721,0.867542
723,0.888956
725,0.896298
727,0.903638
729,0.890791
731,0.918935
733,0.922605
735,0.933617
737,0.959926
739,0.94096
741,0.941571
743,0.966655
745,0.966044
747,0.983787
749,0.98195
751,0.993578
753,1.01132
755,1.01927
757,1.01499
759,0.990515
761,0.970325
763,0.946466
765,0.923829
767,0.875496
769,0.898133
771,0.880391
773,0.882838
775,0.87672
777,0.888344
779,0.896909
781,0.895685
783,0.888344
785,0.875496
787,0.892015
789,0.879778
791,0.858978
793,0.86326
795,0.856529
797,0.887121
799,0.888344
801,0.898133
803,0.902414
805,0.903638
807,0.917711
809,0.909146
811,0.920771
813,0.950748
815,0.963597
817,0.973997
819,0.941571
821,0.928722
823,0.934229
825,0.933005
827,0.942794
829,0.931782
831,0.897521
833,0.890791
835,0.890179
837,0.896298
839,0.863872
841,0.894462
843,0.847965
845,0.826552
847,0.827776
849,0.833894
851,0.797185
853,0.833282
855,0.767205
857,0.862037
859,0.850412
861,0.861425
863,0.882226
865,0.883449
867,0.794738
869,0.86326
871,0.898133
873,0.905474
875,0.89385
877,0.914652
879,0.928111
881,0.909757
883,0.920158
885,0.915874
887,0.875496
889,0.892015
891,0.904251
893,0.887121
895,0.890179
897,0.89385
899,0.895074
901,0.863872
903,0.900579
905,0.933617
907,0.934229
909,0.916486
911,0.928722
913,0.947077
915,0.939735
917,0.939124
919,0.950137
921,0.909146
923,0.879778
925,0.879778
927,0.887121
929,0.874272
931,0.880391
933,0.882226
935,0.878554
937,0.86326
939,0.880391
941,0.862649
943,0.886508
945,0.873048
947,0.895685
949,0.897521
951,0.879778
953,0.884674
955,0.865708
957,0.878554
959,0.897521
961,0.884062
963,0.890179
965,0.872437
967,0.873048
969,0.888344
971,0.87366
973,0.864483
975,0.861425
977,0.866319
979,0.852858
981,0.876107
983,0.866319
985,0.87366
987,0.866931
989,0.866319
991,0.857143
993,0.86326
995,0.865708
997,0.866319
999,0.86326
1003,0.861425
1007,0.8498
1013,0.861425
1017,0.851023
1022,0.853471
1028,0.855918
1032,0.844906
1038,0.838787
1043,0.841847
1048,0.82961
1052,0.821044
1058,0.803914
1063,0.796572
1068,0.788007
1072,0.792902
1078,0.787395
1082,0.775159
1087,0.772101
1092,0.769654
1098,0.759865
1102,0.754969
1108,0.742122
1113,0.739674
1117,0.734169
1122,0.734169
1128,0.723768
1133,0.722545
1138,0.717038
1143,0.709084
1147,0.71826
1153,0.715203
1157,0.706637
1162,0.695012
1167,0.694401
1173,0.696847
1177,0.680329
1183,0.672988
1187,0.660751
1192,0.671153
1198,0.648515
1203,0.660751
1207,0.654633
1212,0.655246
1218,0.655858
1223,0.651575
1227,0.646679
1232,0.641173
1237,0.639339
1243,0.628938
1248,0.627102
1253,0.620985
1258,0.618538
1262,0.614255
1267,0.608442
1272,0.608442
1278,0.607891
1283,0.586478
1288,0.596511
1292,0.589538
1298,0.595166
1302,0.587029
1308,0.588497
1313,0.574854
1318,0.573202
1323,0.572834
1328,0.562252
1332,0.561761
1338,0.555093
1343,0.556684
1347,0.551606
1352,0.546956
1357,0.539063
1363,0.536004
1367,0.53839
1373,0.539307
1377,0.537655
1382,0.537961
1388,0.532333
1393,0.50835
1397,0.504679
1402,0.499296
1408,0.502966
1412,0.496175
1418,0.500946
1423,0.495686
1428,0.487427
1433,0.495626
1438,0.499481
1442,0.487244
1448,0.495441
1452,0.491282
1457,0.493667
1462,0.482777
1467,0.479534
1472,0.475252
1477,0.478188
1483,0.480513
1488,0.474884
1492,0.487549
1498,0.4829
1503,0.47519
1507,0.47672
1512,0.485592
1517,0.487121
1522,0.486693
1528,0.489751
1533,0.488406
1537,0.487427
1543,0.483573
1548,0.484489
1552,0.479962
1557,0.466993
1562,0.471213
1567,0.46895
1572,0.479105
1578,0.450045
1583,0.451758
1587,0.450412
1593,0.464239
1598,0.455552
1605,0.45806
1615,0.464423
1625,0.451819
1635,0.464117
1645,0.445885
1655,0.45549
1665,0.444906
1675,0.442153
1685,0.43469
1695,0.435852
1705,0.426735
1715,0.420189
1725,0.411134
1735,0.399143
1745,0.394126
1755,0.386294
1765,0.378282
1775,0.367818
1785,0.361639
1795,0.352278
1805,0.342857
1815,0.336311
1825,0.33166
1835,0.327072
1845,0.318629
1855,0.315081
1865,0.306882
1875,0.299174
1885,0.298928
1895,0.288101
1905,0.291587
