# name: Star, type A0(v)
# kind: white_reference
# channel: 
# manufacturer: A. Pickles (A.J. Pickles, PASP 110,863, 1998)
# source: https://gitlab.com/free-astro/siril-spcc-database/-/blob/main/wb_refs/Star_a0v.json
# origin: https://www.eso.org/sci/facilities/paranal/decommissioned/isaac/tools/lib.html
# license: GPL-3.0-or-later
wavelength_nm,value
115,0.181751
115.5,0.203323
116,0.142062
116.5,0
117,0.00556
117.5,0
118,0
118.5,0
119,0
119.5,0
120,0.001004
120.5,0.010154
121,0.022296
121.5,0.030977
122,0.038257
122.5,0.03288
123,0.034612
123.5,0.036263
124,0.032804
124.5,0.044974
125,0.08978
125.5,0.107513
126,0.102995
126.5,0.163623
127,0.287057
127.5,0.339408
128,0.464954
128.5,0.543897
129,0.583538
129.5,0.652544
130,0.56833
130.5,0.465444
131,0.558746
131.5,0.815444
132,0.91704
132.5,0.916888
133,0.866914
133.5,0.921322
134,1.12917
134.5,1.1484
135,1.0411
135.5,0.968124
136,0.997185
136.5,1.00589
137,1.01463
137.5,1.07566
138,1.0692
138.5,1.10406
139,1.12531
139.5,1.07873
140,1.1006
140.5,1.15421
141,1.13758
141.5,1.1848
142,1.26911
142.5,1.30451
143,1.21999
143.5,1.18674
144,1.30985
144.5,1.4068
145,1.48666
145.5,1.48458
146,1.45136
146.5,1.36587
147,1.31562
147.5,1.33258
148,1.38742
148.5,1.51995
149,1.62769
149.5,1.64812
150,1.68452
150.5,1.54849
151,1.37271
151.5,1.42765
152,1.56351
152.5,1.45553
153,1.41006
153.5,1.45765
154,1.57857
154.5,1.60338
155,1.5613
155.5,1.5036
156,1.46959
156.5,1.54003
157,1.51355
157.5,1.53142
158,1.6506
158.5,1.63429
159,1.60441
159.5,1.58461
160,1.62031
160.5,1.57499
161,1.56623
161.5,1.57018
162,1.5451
162.5,1.54871
163,1.56556
163.5,1.53556
164,1.49662
164.5,1.52779
165,1.45642
165.5,1.30714
166,1.37676
166.5,1.4695
167,1.33426
167.5,1.41123
168,1.52983
168.5,1.53379
169,1.51936
169.5,1.50192
170,1.49516
170.5,1.47683
171,1.49811
171.5,1.48997
172,1.4391
172.5,1.44489
173,1.50496
173.5,1.49987
174,1.52096
174.5,1.55713
175,1.59724
175.5,1.65085
176,1.55438
176.5,1.48154
177,1.54791
177.5,1.61863
178,1.61189
178.5,1.42746
179,1.24052
179.5,1.56454
180,1.69243
180.5,1.62237
181,1.61068
181.5,1.62451
182,1.63644
182.5,1.61523
183,1.5701
183.5,1.54561
184,1.47433
184.5,1.45012
185,1.49297
185.5,1.49384
186,1.50223
186.5,1.5232
187,1.56563
187.5,1.55951
188,1.55931
188.5,1.55041
189,1.51548
189.5,1.46653
190,1.4325
190.5,1.45118
191,1.45412
191.5,1.4494
192,1.45092
192.5,1.45128
193,1.47497
193.5,1.49421
194,1.51055
194.5,1.51365
195,1.51681
195.5,1.51734
196,1.51285
196.5,1.49429
197,1.55698
197.5,1.61251
198,1.5771
198.5,1.57575
199,1.46247
199.5,1.3463
200,1.41597
200.5,1.44713
201,1.4088
201.5,1.41038
202,1.40568
202.5,1.3852
203,1.4238
203.5,1.39491
204,1.35179
204.5,1.38579
205,1.40817
205.5,1.4156
206,1.40248
206.5,1.35899
207,1.3773
207.5,1.46374
208,1.52661
208.5,1.54047
209,1.51575
209.5,1.44425
210,1.37661
210.5,1.37253
211,1.41242
211.5,1.39184
212,1.35797
212.5,1.44159
213,1.41903
213.5,1.31145
214,1.22976
214.5,1.26993
215,1.35926
215.5,1.39373
216,1.42712
216.5,1.30544
217,1.24055
217.5,1.17919
218,1.18299
218.5,1.28843
219,1.35252
219.5,1.37848
220,1.39761
220.5,1.31498
221,1.2191
221.5,1.15542
222,1.14299
222.5,1.14497
223,1.1685
223.5,1.14432
224,1.17765
224.5,1.11767
225,1.16166
225.5,1.16458
226,1.14834
226.5,1.14307
227,1.15886
227.5,1.15564
228,1.16762
228.5,1.17851
229,1.23165
229.5,1.2585
230,1.22708
230.5,1.2135
231,1.23425
231.5,1.22196
232,1.11871
232.5,1.11494
233,1.16287
233.5,1.14467
234,1.10467
234.5,1.08239
235,1.0646
235.5,1.02845
236,1.04052
236.5,1.0226
237,1.03288
237.5,1.01622
238,1.08148
238.5,1.01178
239,0.897727
239.5,0.887073
240,0.960789
240.5,0.9454
241,0.878021
241.5,0.924556
242,0.97092
242.5,1.00937
243,1.06437
243.5,1.01774
244,0.982849
244.5,1.04086
245,1.08663
245.5,1.0977
246,1.10261
246.5,1.07713
247,1.01505
247.5,0.990589
248,1.00385
248.5,0.959149
249,0.914129
249.5,0.890856
250,1.04817
250.5,1.03285
251,0.991732
251.5,1.03193
252,0.983655
252.5,0.927448
253,0.917317
253.5,0.986263
254,0.991221
254.5,0.941384
255,0.95825
255.5,0.986258
256,0.994516
256.5,1.0164
257,1.07436
257.5,1.03931
258,0.793666
258.5,0.766393
259,0.950952
259.5,1.04149
260,1.04067
260.5,1.01807
261,1.02571
261.5,1.01542
262,1.04884
262.5,1.03989
263,1.01722
263.5,1.0596
264,1.06471
264.5,1.10017
265,1.14433
265.5,1.15093
266,1.10812
266.5,1.06543
267,1.0119
267.5,1.00832
268,1.06555
268.5,1.09049
269,1.05573
269.5,0.997226
270,1.0155
270.5,1.05422
271,0.997694
271.5,0.992235
272,0.993181
272.5,0.978159
273,0.996837
273.5,1.03514
274,1.03107
274.5,0.98061
275,0.959419
275.5,0.921392
276,0.93869
276.5,0.981846
277,0.989572
277.5,1.02603
278,1.08719
278.5,1.0394
279,1.01321
279.5,0.95979
280,0.854565
280.5,0.847115
281,0.920482
281.5,1.02754
282,1.06846
282.5,1.03637
283,1.00269
283.5,1.02312
284,1.05093
284.5,1.03585
285,0.998238
285.5,0.961054
286,0.959937
286.5,0.992102
287,1.00349
287.5,0.990969
288,0.981512
288.5,1.00346
289,1.02557
289.5,1.00737
290,0.995669
290.5,1.01671
291,1.07656
291.5,1.08248
292,1.08602
292.5,1.04087
293,1.02706
293.5,1.04456
294,1.04255
294.5,1.06867
295,1.0226
295.5,1.06524
296,1.09538
296.5,1.07101
297,1.06161
297.5,1.08071
298,1.07243
298.5,1.05478
299,1.0799
299.5,1.0702
300,1.07597
300.5,1.04276
301,1.06643
301.5,1.04253
302,1.00171
302.5,1.01439
303,1.01993
303.5,1.02289
304,1.05764
304.5,1.05159
305,1.03662
305.5,1.03642
306,1.00597
306.5,0.974454
307,0.956507
307.5,0.972521
308,1.04536
308.5,1.04663
309,1.01376
309.5,1.02799
310,1.01114
310.5,0.982877
311,0.95348
311.5,0.946203
312,0.965026
312.5,1.0131
313,1.05412
313.5,1.00773
314,0.985666
314.5,1.03404
315,1.03831
315.5,1.02404
316,1.0035
316.5,1.02523
317,1.05274
317.5,1.04552
318,0.998782
318.5,1.01468
319,1.07333
319.5,1.07159
320,1.02561
320.5,1.02712
321,1.02881
321.5,1.01181
322,0.989788
322.5,0.97996
323,0.98122
323.5,0.98717
324,0.988567
324.5,0.980252
325,0.976231
325.5,0.988487
326,1.00172
326.5,1.00003
327,0.992324
327.5,0.989331
328,0.984206
328.5,0.971932
329,0.972359
329.5,0.999411
330,1.01843
330.5,0.998059
331,0.968613
331.5,0.96423
332,0.972542
332.5,0.975001
333,0.974833
333.5,0.978138
334,0.980742
334.5,0.977971
335,0.97343
335.5,0.970812
336,0.965897
336.5,0.955103
337,0.945304
337.5,0.942864
338,0.941656
338.5,0.935501
339,0.930504
339.5,0.934256
340,0.947981
340.5,0.968577
341,0.981979
341.5,0.977178
342,0.966353
342.5,0.962162
343,0.955995
343.5,0.939342
344,0.925386
344.5,0.926828
345,0.932775
345.5,0.931227
346,0.929353
346.5,0.93483
347,0.938193
347.5,0.930411
348,0.921333
348.5,0.920843
349,0.920065
349.5,0.910705
350,0.905543
350.5,0.916023
351,0.922815
351.5,0.919272
352,0.916501
352.5,0.917938
353,0.925882
353.5,0.934025
354,0.934882
354.5,0.928635
355,0.922378
355.5,0.919969
356,0.917202
356.5,0.90607
357,0.894498
357.5,0.893153
358,0.892547
358.5,0.887421
359,0.889092
